Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -2,     0.5663635, ,            -2,     0.5663635, ,            -2,     0.5663635, ,            -2,     0.5663635, ,            -2,     0.5663635, , 
         -1.8,     0.5665661, ,          -1.8,     0.5665661, ,          -1.8,     0.5665661, ,          -1.8,     0.5665661, ,          -1.8,     0.5665661, , 
         -1.6,     0.5667401, ,          -1.6,     0.5667401, ,          -1.6,     0.5667401, ,          -1.6,     0.5667401, ,          -1.6,     0.5667401, , 
         -1.4,     0.5668882, ,          -1.4,     0.5668882, ,          -1.4,     0.5668882, ,          -1.4,     0.5668882, ,          -1.4,     0.5668882, , 
         -1.2,     0.5670131, ,          -1.2,     0.5670131, ,          -1.2,     0.5670131, ,          -1.2,     0.5670131, ,          -1.2,     0.5670131, , 
           -1,      0.567117, ,            -1,      0.567117, ,            -1,      0.567117, ,            -1,      0.567117, ,            -1,      0.567117, , 
         -0.8,     0.5672017, ,          -0.8,     0.5672017, ,          -0.8,     0.5672017, ,          -0.8,     0.5672017, ,          -0.8,     0.5672017, , 
         -0.6,      0.567269, ,          -0.6,      0.567269, ,          -0.6,      0.567269, ,          -0.6,      0.567269, ,          -0.6,      0.567269, , 
         -0.4,     0.5673202, ,          -0.4,     0.5673202, ,          -0.4,     0.5673202, ,          -0.4,     0.5673202, ,          -0.4,     0.5673202, , 
         -0.2,     0.5673567, ,          -0.2,     0.5673567, ,          -0.2,     0.5673567, ,          -0.2,     0.5673567, ,          -0.2,     0.5673567, , 
            0,     0.5673796, ,             0,     0.5673796, ,             0,     0.5673796, ,             0,     0.5673796, ,             0,     0.5673796, , 
          0.2,     0.5673898, ,           0.2,     0.5673898, ,           0.2,     0.5673898, ,           0.2,     0.5673898, ,           0.2,     0.5673898, , 
          0.4,     0.5673884, ,           0.4,     0.5673884, ,           0.4,     0.5673884, ,           0.4,     0.5673884, ,           0.4,     0.5673884, , 
          0.6,     0.5673761, ,           0.6,     0.5673761, ,           0.6,     0.5673761, ,           0.6,     0.5673761, ,           0.6,     0.5673761, , 
          0.8,     0.5673535, ,           0.8,     0.5673535, ,           0.8,     0.5673535, ,           0.8,     0.5673535, ,           0.8,     0.5673535, , 
            1,     0.5673214, ,             1,     0.5673214, ,             1,     0.5673214, ,             1,     0.5673214, ,             1,     0.5673214, , 
          1.2,     0.5672804, ,           1.2,     0.5672804, ,           1.2,     0.5672804, ,           1.2,     0.5672804, ,           1.2,     0.5672804, , 
          1.4,     0.5672308, ,           1.4,     0.5672308, ,           1.4,     0.5672308, ,           1.4,     0.5672308, ,           1.4,     0.5672308, , 
          1.6,     0.5671733, ,           1.6,     0.5671733, ,           1.6,     0.5671733, ,           1.6,     0.5671733, ,           1.6,     0.5671733, , 
          1.8,     0.5671083, ,           1.8,     0.5671083, ,           1.8,     0.5671083, ,           1.8,     0.5671083, ,           1.8,     0.5671083, , 
            2,     0.5670361, ,             2,     0.5670361, ,             2,     0.5670361, ,             2,     0.5670361, ,             2,     0.5670361, , 
          2.2,      0.566957, ,           2.2,      0.566957, ,           2.2,      0.566957, ,           2.2,      0.566957, ,           2.2,      0.566957, , 
          2.4,     0.5668716, ,           2.4,     0.5668716, ,           2.4,     0.5668716, ,           2.4,     0.5668716, ,           2.4,     0.5668716, , 
          2.6,     0.5667799, ,           2.6,     0.5667799, ,           2.6,     0.5667799, ,           2.6,     0.5667799, ,           2.6,     0.5667799, , 
          2.8,     0.5666824, ,           2.8,     0.5666824, ,           2.8,     0.5666824, ,           2.8,     0.5666824, ,           2.8,     0.5666824, , 
            3,     0.5665792, ,             3,     0.5665792, ,             3,     0.5665792, ,             3,     0.5665792, ,             3,     0.5665792, , 
          3.2,     0.5664706, ,           3.2,     0.5664706, ,           3.2,     0.5664706, ,           3.2,     0.5664706, ,           3.2,     0.5664706, , 
          3.4,     0.5663569, ,           3.4,     0.5663569, ,           3.4,     0.5663569, ,           3.4,     0.5663569, ,           3.4,     0.5663569, , 
          3.6,     0.5662382, ,           3.6,     0.5662382, ,           3.6,     0.5662382, ,           3.6,     0.5662382, ,           3.6,     0.5662382, , 
          3.8,     0.5661147, ,           3.8,     0.5661147, ,           3.8,     0.5661147, ,           3.8,     0.5661147, ,           3.8,     0.5661147, , 
            4,     0.5659866, ,             4,     0.5659866, ,             4,     0.5659866, ,             4,     0.5659866, ,             4,     0.5659866, , 
          4.2,     0.5658541, ,           4.2,     0.5658541, ,           4.2,     0.5658541, ,           4.2,     0.5658541, ,           4.2,     0.5658541, , 
          4.4,     0.5657172, ,           4.4,     0.5657172, ,           4.4,     0.5657172, ,           4.4,     0.5657172, ,           4.4,     0.5657172, , 
          4.6,     0.5655763, ,           4.6,     0.5655763, ,           4.6,     0.5655763, ,           4.6,     0.5655763, ,           4.6,     0.5655763, , 
          4.8,     0.5654313, ,           4.8,     0.5654313, ,           4.8,     0.5654313, ,           4.8,     0.5654313, ,           4.8,     0.5654313, , 
            5,     0.5652825, ,             5,     0.5652825, ,             5,     0.5652825, ,             5,     0.5652825, ,             5,     0.5652825, , 
          5.2,     0.5651299, ,           5.2,     0.5651299, ,           5.2,     0.5651299, ,           5.2,     0.5651299, ,           5.2,     0.5651299, , 
          5.4,     0.5649737, ,           5.4,     0.5649737, ,           5.4,     0.5649737, ,           5.4,     0.5649737, ,           5.4,     0.5649737, , 
          5.6,     0.5648139, ,           5.6,     0.5648139, ,           5.6,     0.5648139, ,           5.6,     0.5648139, ,           5.6,     0.5648139, , 
          5.8,     0.5646508, ,           5.8,     0.5646508, ,           5.8,     0.5646508, ,           5.8,     0.5646508, ,           5.8,     0.5646508, , 
            6,     0.5644843, ,             6,     0.5644843, ,             6,     0.5644843, ,             6,     0.5644843, ,             6,     0.5644843, , 
          6.2,     0.5643146, ,           6.2,     0.5643146, ,           6.2,     0.5643146, ,           6.2,     0.5643146, ,           6.2,     0.5643146, , 
          6.4,     0.5641418, ,           6.4,     0.5641418, ,           6.4,     0.5641418, ,           6.4,     0.5641418, ,           6.4,     0.5641418, , 
          6.6,     0.5639659, ,           6.6,     0.5639659, ,           6.6,     0.5639659, ,           6.6,     0.5639659, ,           6.6,     0.5639659, , 
          6.8,      0.563787, ,           6.8,      0.563787, ,           6.8,      0.563787, ,           6.8,      0.563787, ,           6.8,      0.563787, , 
            7,     0.5636053, ,             7,     0.5636053, ,             7,     0.5636053, ,             7,     0.5636053, ,             7,     0.5636053, , 
          7.2,     0.5634207, ,           7.2,     0.5634207, , , , ,           7.2,     0.5634207, ,           7.2,     0.5634207, , 
          7.4,     0.5632335, ,           7.4,     0.5632335, , , , ,           7.4,     0.5632335, ,           7.4,     0.5632335, , 
          7.6,     0.5630435, ,           7.6,     0.5630435, , , , ,           7.6,     0.5630435, ,           7.6,     0.5630435, , 
          7.8,      0.562851, ,           7.8,      0.562851, , , , ,           7.8,      0.562851, ,           7.8,      0.562851, , 
            8,     0.5626559, ,             8,     0.5626559, , , , ,             8,     0.5626559, ,             8,     0.5626559, , 

