Alpha,T1-15.8 m/s-VLM2, , 
           -2,     0.2344048, , 
         -1.8,     0.2424371, , 
         -1.6,     0.2504614, , 
         -1.4,     0.2584772, , 
         -1.2,     0.2664845, , 
           -1,     0.2744827, , 
         -0.8,     0.2824716, , 
         -0.6,     0.2904509, , 
         -0.4,     0.2984203, , 
         -0.2,     0.3063795, , 
            0,     0.3143281, , 
          0.2,     0.3222659, , 
          0.4,     0.3301925, , 
          0.6,     0.3381076, , 
          0.8,      0.346011, , 
            1,     0.3539023, , 
          1.2,     0.3617812, , 
          1.4,     0.3696474, , 
          1.6,     0.3775007, , 
          1.8,     0.3853407, , 
            2,      0.393167, , 
          2.2,     0.4009795, , 
          2.4,     0.4087779, , 
          2.6,     0.4165617, , 
          2.8,     0.4243308, , 
            3,     0.4320848, , 
          3.2,     0.4398234, , 
          3.4,     0.4475464, , 
          3.6,     0.4552535, , 
          3.8,     0.4629443, , 
            4,     0.4706186, , 
          4.2,     0.4782762, , 
          4.4,     0.4859166, , 
          4.6,     0.4935397, , 
          4.8,     0.5011451, , 
            5,     0.5087326, , 
          5.2,     0.5163019, , 
          5.4,     0.5238527, , 
          5.6,     0.5313848, , 
          5.8,     0.5388978, , 
            6,     0.5463915, , 
          6.2,     0.5538657, , 
          6.4,       0.56132, , 
          6.6,     0.5687542, , 
          6.8,      0.576168, , 
            7,     0.5835612, , 
          7.2,     0.5909335, , 
          7.4,     0.5982847, , 
          7.6,     0.6056144, , 
          7.8,     0.6129224, , 
            8,     0.6202085, , 

