Alpha,T1-15.8 m/s-VLM2, , 
           -1,      2.105031, , 
         -0.8,      2.020898, , 
         -0.6,      1.947228, , 
         -0.4,      1.882807, , 
         -0.2,      1.826501, , 
            0,      1.777222, , 
          0.2,      1.734034, , 
          0.4,      1.696174, , 
          0.6,      1.662812, , 
          0.8,      1.633279, , 
            1,      1.607055, , 
          1.2,      1.583731, , 
          1.4,      1.562932, , 
          1.6,      1.544426, , 
          1.8,      1.527971, , 
            2,      1.513317, , 
          2.2,      1.500277, , 
          2.4,      1.488676, , 
          2.6,      1.478377, , 
          2.8,       1.46925, , 
            3,      1.461194, , 
          3.2,      1.454111, , 
          3.4,      1.447915, , 
          3.6,      1.442542, , 
          3.8,       1.43793, , 
            4,      1.434017, , 
          4.2,      1.430745, , 
          4.4,      1.428087, , 
          4.6,      1.425996, , 
          4.8,      1.424427, , 
            5,       1.42336, , 
          5.2,      1.422779, , 
          5.4,      1.422658, , 
          5.6,      1.423002, , 
          5.8,      1.423881, , 
            6,      1.425325, , 
          6.2,       1.42739, , 
          6.4,      1.430207, , 
          6.6,      1.433701, , 
          6.8,      1.437869, , 
            7,       1.44268, , 
          7.2,      1.447945, , 
          7.4,      1.453506, , 
          7.6,      1.459384, , 
          7.8,      1.465776, , 
            8,      1.472849, , 

