Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      2.089485, ,            -1,      1.950452, ,            -1,      2.988833, ,            -1,      1.860362, ,            -1,      1.821148, ,            -1,      1.787612, ,            -1,      1.779645, ,            -1,      1.775266, ,            -1,       2.79201, ,            -1,      2.579717, ,            -1,      2.235325, , 
         -0.8,      2.005585, ,          -0.8,      1.872828, ,          -0.8,      2.857809, ,          -0.8,      1.789319, ,          -0.8,      1.753132, ,          -0.8,      1.721863, ,          -0.8,      1.713996, ,          -0.8,      1.708875, ,          -0.8,      2.672158, ,          -0.8,      2.471252, ,          -0.8,      2.144494, , 
         -0.6,      1.932473, ,          -0.6,      1.805286, ,          -0.6,      2.741096, ,          -0.6,      1.727293, ,          -0.6,      1.693731, ,          -0.6,      1.664369, ,          -0.6,      1.656218, ,          -0.6,       1.65104, ,          -0.6,      2.565712, ,          -0.6,      2.375464, ,          -0.6,      2.065091, , 
         -0.4,      1.868566, ,          -0.4,       1.74654, ,          -0.4,      2.636777, ,          -0.4,      1.673069, ,          -0.4,      1.641656, ,          -0.4,      1.613837, ,          -0.4,      1.605371, ,          -0.4,      1.600288, ,          -0.4,      2.470778, ,          -0.4,      2.290435, ,          -0.4,      1.995298, , 
         -0.2,      1.812597, ,          -0.2,      1.695424, ,          -0.2,      2.543175, ,          -0.2,      1.625677, ,          -0.2,      1.596066, ,          -0.2,      1.569377, ,          -0.2,      1.560847, ,          -0.2,      1.555928, ,          -0.2,      2.385786, ,          -0.2,        2.2146, ,          -0.2,      1.933709, , 
            0,      1.763258, ,             0,       1.65084, ,             0,      2.459043, ,             0,      1.584347, ,             0,      1.556267, ,             0,      1.530205, ,             0,      1.521754, ,             0,        1.5172, ,             0,      2.309484, ,             0,      2.146764, ,             0,      1.879047, , 
          0.2,      1.719635, ,           0.2,      1.611849, ,           0.2,      2.383079, ,           0.2,      1.548103, ,           0.2,       1.52139, ,           0.2,      1.496097, ,           0.2,      1.487728, ,           0.2,      1.483296, ,           0.2,      2.240699, ,           0.2,      2.085814, ,           0.2,      1.830445, , 
          0.4,      1.680905, ,           0.4,      1.577514, ,           0.4,      2.314449, ,           0.4,      1.516475, ,           0.4,      1.490703, ,           0.4,      1.465954, ,           0.4,       1.45801, ,           0.4,      1.453871, ,           0.4,      2.178683, ,           0.4,       2.03096, ,           0.4,      1.787045, , 
          0.6,      1.646438, ,           0.6,      1.547178, ,           0.6,      2.252233, ,           0.6,      1.488663, ,           0.6,      1.463887, ,           0.6,      1.439756, ,           0.6,      1.432014, ,           0.6,      1.428026, ,           0.6,      2.122538, ,           0.6,      1.981439, ,           0.6,      1.748196, , 
          0.8,      1.615692, ,           0.8,      1.520289, ,           0.8,      2.195727, ,           0.8,      1.464104, ,           0.8,      1.440324, ,           0.8,       1.41704, ,           0.8,      1.409519, ,           0.8,      1.405663, ,           0.8,      2.071631, ,           0.8,      1.936625, ,           0.8,      1.713305, , 
            1,      1.588199, ,             1,      1.496381, ,             1,      2.144352, ,             1,      1.442419, ,             1,      1.419504, ,             1,      1.396964, ,             1,      1.389791, ,             1,      1.386159, ,             1,      2.025422, ,             1,      1.896017, ,             1,      1.681886, , 
          1.2,      1.563584, ,           1.2,      1.475135, ,           1.2,       2.09769, ,           1.2,      1.423214, ,           1.2,      1.401114, ,           1.2,      1.379314, ,           1.2,      1.372421, ,           1.2,      1.368958, ,           1.2,      1.983509, ,           1.2,      1.859254, ,           1.2,      1.653573, , 
          1.4,      1.541497, ,           1.4,      1.456264, ,           1.4,      2.055221, ,           1.4,      1.406142, ,           1.4,      1.384892, ,           1.4,      1.363847, ,           1.4,      1.357141, ,           1.4,      1.353831, ,           1.4,      1.945419, ,           1.4,      1.825914, ,           1.4,       1.62801, , 
          1.6,      1.521618, ,           1.6,      1.439464, ,           1.6,      2.016562, ,           1.6,      1.391053, ,           1.6,      1.370527, ,           1.6,      1.350182, ,           1.6,      1.343728, ,           1.6,      1.340498, ,           1.6,      1.910802, ,           1.6,      1.795634, ,           1.6,       1.60487, , 
          1.8,      1.503736, ,           1.8,       1.42449, ,           1.8,      1.981236, ,           1.8,      1.377749, ,           1.8,      1.357809, ,           1.8,      1.338107, ,           1.8,      1.331908, ,           1.8,      1.328789, ,           1.8,      1.879232, ,           1.8,      1.768085, ,           1.8,      1.583943, , 
            2,      1.487642, ,             2,      1.411138, ,             2,      1.948913, ,             2,      1.365983, ,             2,      1.346686, ,             2,      1.327556, ,             2,      1.321507, ,             2,      1.318522, ,             2,      1.850399, ,             2,      1.742991, ,             2,       1.56501, , 
          2.2,      1.473176, ,           2.2,      1.399247, ,           2.2,      1.919345, ,           2.2,      1.355587, ,           2.2,      1.336932, ,           2.2,      1.318385, ,           2.2,      1.312494, ,           2.2,       1.30957, ,           2.2,       1.82407, ,           2.2,      1.720132, ,           2.2,      1.547892, , 
          2.4,      1.460184, ,           2.4,      1.388661, ,           2.4,      1.892321, ,           2.4,      1.346409, ,           2.4,      1.328367, ,           2.4,      1.310413, ,           2.4,      1.304697, ,           2.4,      1.301824, ,           2.4,      1.800028, ,           2.4,      1.699303, ,           2.4,      1.532421, , 
          2.6,      1.448546, ,           2.6,      1.379274, ,           2.6,      1.867574, ,           2.6,       1.33834, ,           2.6,      1.320877, ,           2.6,       1.30349, ,           2.6,      1.297946, ,           2.6,      1.295162, ,           2.6,      1.778047, ,           2.6,      1.680321, ,           2.6,      1.518465, , 
          2.8,      1.438133, ,           2.8,      1.370972, ,           2.8,      1.845112, ,           2.8,      1.331278, ,           2.8,      1.314361, ,           2.8,      1.297508, ,           2.8,      1.292133, ,           2.8,      1.289432, ,           2.8,      1.758085, ,           2.8,      1.663099, ,           2.8,      1.505888, , 
            3,      1.428826, ,             3,      1.363645, ,             3,      1.824582, ,             3,      1.325118, ,             3,      1.308713, ,             3,      1.292362, ,             3,      1.287148, ,             3,      1.284528, ,             3,      1.739864, ,             3,      1.647431, ,             3,      1.494555, , 
          3.2,      1.420568, ,           3.2,      1.357232, ,           3.2,      1.805868, ,           3.2,      1.319796, ,           3.2,      1.303863, ,           3.2,      1.287982, ,           3.2,      1.282919, ,           3.2,      1.280375, ,           3.2,      1.723273, ,           3.2,      1.633226, ,           3.2,      1.484398, , 
          3.4,      1.413243, ,           3.4,      1.351654, ,           3.4,      1.788798, ,           3.4,      1.315247, ,           3.4,      1.299757, ,           3.4,      1.284316, ,           3.4,      1.279393, ,           3.4,      1.276921, ,           3.4,      1.708162, ,           3.4,      1.620348, ,           3.4,      1.475301, , 
          3.6,      1.406791, ,           3.6,      1.346836, ,           3.6,      1.773241, ,           3.6,      1.311389, ,           3.6,      1.296317, ,           3.6,       1.28129, ,           3.6,      1.276497, ,           3.6,       1.27409, ,           3.6,      1.694431, ,           3.6,      1.608704, ,           3.6,      1.467191, , 
          3.8,      1.401149, ,           3.8,      1.342728, ,           3.8,      1.759087, ,           3.8,      1.308184, ,           3.8,      1.293502, ,           3.8,      1.278867, ,           3.8,      1.274198, ,           3.8,       1.27185, ,           3.8,      1.681981, ,           3.8,      1.598206, ,           3.8,      1.459995, , 
            4,      1.396258, ,             4,      1.339283, ,             4,      1.746244, ,             4,      1.305589, ,             4,      1.291276, ,             4,      1.277006, ,             4,      1.272455, ,             4,      1.270167, ,             4,      1.670738, ,             4,       1.58879, ,             4,      1.453652, , 
          4.2,      1.392077, ,           4.2,      1.336455, ,           4.2,      1.734676, ,           4.2,      1.303556, ,           4.2,      1.289589, ,           4.2,       1.27566, ,           4.2,      1.271219, ,           4.2,      1.268987, ,           4.2,      1.660655, ,           4.2,      1.580399, ,           4.2,      1.448114, , 
          4.4,      1.388552, ,           4.4,      1.334196, ,           4.4,      1.724304, ,           4.4,      1.302045, ,           4.4,      1.288401, ,           4.4,      1.274795, ,           4.4,      1.270456, ,           4.4,      1.268275, ,           4.4,      1.651646, ,           4.4,      1.572953, ,           4.4,      1.443317, , 
          4.6,      1.385644, ,           4.6,       1.33248, ,           4.6,      1.715028, ,           4.6,      1.301037, ,           4.6,      1.287692, ,           4.6,      1.274389, ,           4.6,      1.270147, ,           4.6,      1.268012, ,           4.6,      1.643645, ,           4.6,      1.566401, ,           4.6,      1.439217, , 
          4.8,      1.383333, ,           4.8,      1.331282, ,           4.8,      1.706816, ,           4.8,      1.300507, ,           4.8,      1.287441, ,           4.8,      1.274424, ,           4.8,      1.270274, ,           4.8,      1.268184, ,           4.8,      1.636615, ,           4.8,      1.560708, ,           4.8,      1.435793, , 
            5,      1.381581, ,             5,      1.330586, ,             5,      1.699627, ,             5,      1.300445, ,             5,      1.287646, ,             5,      1.274905, ,             5,      1.270841, ,             5,      1.268797, ,             5,      1.630503, ,             5,      1.555827, ,             5,      1.433002, , 
          5.2,      1.380407, ,           5.2,      1.330421, ,           5.2,       1.69342, ,           5.2,      1.300904, ,           5.2,      1.288377, ,           5.2,      1.275925, ,           5.2,      1.271954, ,           5.2,      1.269956, ,           5.2,      1.625289, ,           5.2,      1.551751, ,           5.2,      1.430857, , 
          5.4,      1.379812, ,           5.4,      1.330816, ,           5.4,      1.688134, ,           5.4,      1.301945, ,           5.4,      1.289716, ,           5.4,      1.277594, ,           5.4,      1.273736, ,           5.4,      1.271793, ,           5.4,      1.620922, ,           5.4,      1.548443, ,           5.4,      1.429352, , 
          5.6,      1.379818, ,           5.6,      1.331831, ,           5.6,      1.683809, ,           5.6,       1.30366, ,           5.6,      1.291769, ,           5.6,      1.280019, ,           5.6,      1.276288, ,           5.6,       1.27441, ,           5.6,      1.617436, ,           5.6,      1.545923, ,           5.6,      1.428497, , 
          5.8,      1.380531, ,           5.8,      1.333619, ,           5.8,      1.680518, ,           5.8,      1.306215, ,           5.8,      1.294697, ,           5.8,      1.283371, ,           5.8,      1.279787, ,           5.8,      1.277986, ,           5.8,      1.614909, ,           5.8,      1.544269, ,           5.8,      1.428373, , 
            6,      1.381935, ,             6,      1.336122, ,             6,       1.67815, ,             6,      1.309534, ,             6,      1.298442, ,             6,       1.28759, ,             6,      1.284166, ,             6,      1.282448, ,             6,      1.613247, ,             6,       1.54342, ,             6,      1.428968, , 
          6.2,      1.384046, ,           6.2,      1.339373, ,           6.2,      1.676706, ,           6.2,      1.313678, ,           6.2,      1.302978, ,           6.2,      1.292461, ,           6.2,      1.289123, ,           6.2,      1.287447, ,           6.2,      1.612452, ,           6.2,      1.543377, ,           6.2,      1.430295, , 
