Alpha,T1-15.8 m/s-VLM2, , 
           -1,      1.534047, , 
         -0.8,       1.47503, , 
         -0.6,      1.424209, , 
         -0.4,       1.38017, , 
         -0.2,      1.341739, , 
            0,      1.308041, , 
          0.2,      1.278423, , 
          0.4,       1.25225, , 
          0.6,      1.228997, , 
          0.8,      1.208276, , 
            1,      1.189768, , 
          1.2,      1.173226, , 
          1.4,      1.158446, , 
          1.6,      1.145253, , 
          1.8,      1.133475, , 
            2,      1.122974, , 
          2.2,      1.113639, , 
          2.4,      1.105355, , 
          2.6,      1.098042, , 
          2.8,      1.091617, , 
            3,      1.086014, , 
          3.2,      1.081164, , 
          3.4,      1.077023, , 
          3.6,      1.073538, , 
          3.8,      1.070708, , 
            4,       1.06852, , 
          4.2,      1.067037, , 
          4.4,      1.066395, , 
          4.6,      1.066632, , 
          4.8,      1.067859, , 
            5,      1.069996, , 
          5.2,      1.073038, , 
          5.4,      1.076631, , 
          5.6,      1.080859, , 
          5.8,      1.085984, , 
            6,      1.092406, , 
          6.2,      1.100501, , 
          6.4,      1.110644, , 

