Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      1.122076, ,            -1,      1.036481, ,            -1,      1.343439, , 
         -0.8,      1.079706, ,          -0.8,        0.9981, ,          -0.8,      1.287875, , 
         -0.6,       1.04267, ,          -0.6,     0.9652258, ,          -0.6,      1.238806, , 
         -0.4,      1.010001, ,          -0.4,     0.9367317, ,          -0.4,      1.195282, , 
         -0.2,     0.9810482, ,          -0.2,     0.9116313, ,          -0.2,      1.156542, , 
            0,     0.9553298, ,             0,     0.8894125, ,             0,      1.121978, , 
          0.2,     0.9324153, ,           0.2,     0.8696667, ,           0.2,      1.091021, , 
          0.4,     0.9119778, ,           0.4,     0.8521063, ,           0.4,      1.063265, , 
          0.6,     0.8937236, ,           0.6,     0.8364749, ,           0.6,      1.038354, , 
          0.8,     0.8773992, ,           0.8,     0.8225602, ,           0.8,      1.015959, , 
            1,     0.8627874, ,             1,     0.8101484, ,             1,     0.9957957, , 
          1.2,     0.8497074, ,           1.2,     0.7990776, ,           1.2,     0.9776419, , 
          1.4,     0.8380112, ,           1.4,     0.7892157, ,           1.4,     0.9612889, , 
          1.6,     0.8275674, ,           1.6,       0.78045, ,           1.6,     0.9465955, , 
          1.8,     0.8182499, ,           1.8,     0.7726715, ,           1.8,     0.9333747, , 
            2,     0.8099638, ,             2,     0.7658005, ,             2,     0.9215131, , 
          2.2,     0.8026245, ,           2.2,     0.7597551, ,           2.2,     0.9109084, , 
          2.4,     0.7961632, ,           2.4,     0.7544756, ,           2.4,       0.90146, , 
          2.6,     0.7905386, ,           2.6,     0.7499336, ,           2.6,     0.8931153, , 
          2.8,     0.7857192, ,           2.8,     0.7461285, ,           2.8,     0.8858022, , 
            3,     0.7817666, ,             3,     0.7432077, ,             3,     0.8795341, , 
          3.2,     0.7787865, ,           3.2,     0.7413829, ,           3.2,     0.8743379, , 
          3.4,     0.7769396, ,           3.4,     0.7408165, ,           3.4,     0.8702859, , 
          3.6,     0.7763305, ,           3.6,     0.7416659, ,           3.6,     0.8674708, , 
          3.8,     0.7769777, ,           3.8,     0.7434781, ,           3.8,     0.8658605, , 
            4,     0.7788944, ,             4,     0.7463794, ,             4,     0.8654651, , 
          4.2,     0.7821377, ,           4.2,     0.7511515, ,           4.2,     0.8661778, , 
          4.4,     0.7873442, ,           4.4,     0.7590492, ,           4.4,     0.8680988, , 
          4.6,     0.7952502, ,           4.6,      0.770632, ,           4.6,     0.8715707, , 
          4.8,     0.8061982, , , , ,           4.8,     0.8771888, , 
            5,     0.8196649, , , , ,             5,     0.8854676, , 

