Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      2.616799, ,            -1,      2.436478, ,            -1,      2.394544, ,            -1,      3.408476, ,            -1,      3.019043, , 
         -0.8,      2.511109, ,          -0.8,      2.339965, ,          -0.8,      2.301915, ,          -0.8,      3.262651, ,          -0.8,      2.893093, , 
         -0.6,      2.417942, ,          -0.6,      2.256112, ,          -0.6,      2.221464, ,          -0.6,      3.133232, ,          -0.6,      2.781695, , 
         -0.4,      2.335814, ,          -0.4,      2.183201, ,          -0.4,      2.151572, ,          -0.4,      3.018216, ,          -0.4,      2.683058, , 
         -0.2,       2.26286, ,          -0.2,      2.119338, ,          -0.2,      2.090242, ,          -0.2,      2.915538, ,          -0.2,      2.595324, , 
            0,      2.198066, ,             0,      2.063127, ,             0,      2.036075, ,             0,        2.8237, ,             0,      2.517416, , 
          0.2,      2.140626, ,           0.2,      2.013475, ,           0.2,      1.988063, ,           0.2,      2.741209, ,           0.2,      2.448037, , 
          0.4,      2.089721, ,           0.4,       1.96918, ,           0.4,      1.945275, ,           0.4,      2.666904, ,           0.4,      2.385981, , 
          0.6,      2.044624, ,           0.6,      1.929869, ,           0.6,      1.907076, ,           0.6,       2.59973, ,           0.6,        2.3303, , 
          0.8,      2.004644, ,           0.8,      1.894899, ,           0.8,      1.872995, ,           0.8,      2.538832, ,           0.8,      2.280238, , 
            1,      1.969126, ,             1,      1.864064, ,             1,      1.842524, ,             1,      2.483635, ,             1,      2.235064, , 
          1.2,      1.937654, ,           1.2,      1.836825, ,           1.2,      1.815783, ,           1.2,      2.433465, ,           1.2,      2.194328, , 
          1.4,      1.909708, ,           1.4,      1.812617, ,           1.4,      1.792094, ,           1.4,       2.38779, ,           1.4,      2.157492, , 
          1.6,      1.884801, ,           1.6,      1.791079, ,           1.6,      1.770854, ,           1.6,      2.346131, ,           1.6,      2.124104, , 
          1.8,       1.86258, ,           1.8,      1.771947, ,           1.8,      1.751918, ,           1.8,      2.308103, ,           1.8,      2.093865, , 
            2,      1.842802, ,             2,      1.755334, ,             2,      1.735854, ,             2,      2.273373, ,             2,      2.066501, , 
          2.2,      1.825133, ,           2.2,      1.740604, ,           2.2,       1.72163, ,           2.2,       2.24162, ,           2.2,      2.041649, , 
          2.4,      1.809348, ,           2.4,      1.727505, ,           2.4,      1.709044, ,           2.4,        2.2126, ,           2.4,      2.019098, , 
          2.6,      1.795273, ,           2.6,      1.715962, ,           2.6,      1.697993, ,           2.6,       2.18609, ,           2.6,      1.998636, , 
          2.8,      1.782729, ,           2.8,      1.705843, ,           2.8,      1.688305, ,           2.8,      2.161846, ,           2.8,      1.980019, , 
            3,       1.77157, ,             3,      1.696919, ,             3,      1.679851, ,             3,      2.139636, ,             3,      1.963108, , 
          3.2,      1.761713, ,           3.2,      1.689167, ,           3.2,      1.672542, ,           3.2,      2.119308, ,           3.2,      1.947768, , 
          3.4,      1.753022, ,           3.4,       1.68249, ,           3.4,      1.666281, ,           3.4,      2.100691, ,           3.4,      1.933856, , 
          3.6,      1.745403, ,           3.6,      1.676741, ,           3.6,      1.660995, ,           3.6,      2.083652, ,           3.6,      1.921262, , 
          3.8,      1.738781, ,           3.8,      1.671856, ,           3.8,      1.656511, ,           3.8,      2.068073, ,           3.8,      1.909877, , 
            4,      1.733032, ,             4,       1.66775, ,             4,       1.65278, ,             4,      2.053827, ,             4,      1.899618, , 
          4.2,      1.728107, ,           4.2,      1.664361, ,           4.2,      1.649744, ,           4.2,      2.040916, ,           4.2,      1.890421, , 
          4.4,      1.723935, ,           4.4,       1.66175, ,           4.4,      1.647436, ,           4.4,      2.029187, ,           4.4,      1.882195, , 
          4.6,      1.720442, ,           4.6,      1.659756, ,           4.6,      1.645749, ,           4.6,      2.018525, ,           4.6,      1.874846, , 
          4.8,      1.717577, ,           4.8,      1.658314, ,           4.8,      1.644631, ,           4.8,      2.008883, ,           4.8,      1.868332, , 
            5,      1.715301, ,             5,      1.657399, ,             5,      1.644025, ,             5,      2.000207, ,             5,      1.862608, , 
          5.2,      1.713583, ,           5.2,       1.65697, ,           5.2,      1.643891, ,           5.2,      1.992451, ,           5.2,      1.857632, , 
          5.4,      1.712382, ,           5.4,      1.656995, ,           5.4,      1.644198, ,           5.4,      1.985508, ,           5.4,      1.853321, , 
          5.6,      1.711655, ,           5.6,       1.65743, ,           5.6,      1.644906, ,           5.6,      1.979353, ,           5.6,      1.849646, , 
          5.8,      1.711377, ,           5.8,      1.658258, ,           5.8,      1.645992, ,           5.8,      1.973956, ,           5.8,      1.846587, , 
            6,      1.711527, ,             6,       1.65945, ,             6,      1.647428, ,             6,       1.96927, ,             6,      1.844101, , 
          6.2,      1.712075, ,           6.2,      1.660987, ,           6.2,      1.649196, ,           6.2,      1.965265, ,           6.2,      1.842152, , 
          6.4,      1.713003, ,           6.4,      1.662856, ,           6.4,      1.651282, ,           6.4,      1.961895, ,           6.4,       1.84071, , 
          6.6,      1.714298, ,           6.6,      1.665048, ,           6.6,      1.653682, ,           6.6,      1.959134, ,           6.6,      1.839758, , 
          6.8,      1.715951, ,           6.8,      1.667559, ,           6.8,      1.656393, ,           6.8,      1.956972, ,           6.8,      1.839286, , 
            7,      1.717959, ,             7,        1.6704, ,             7,      1.659435, ,             7,      1.955372, ,             7,      1.839272, , 
          7.2,      1.720334, ,           7.2,      1.673616, ,           7.2,      1.662864, ,           7.2,      1.954328, ,           7.2,      1.839713, , 
          7.4,      1.723109, ,           7.4,      1.677283, ,           7.4,      1.666773, ,           7.4,      1.953832, ,           7.4,      1.840613, , 
          7.6,      1.726325, ,           7.6,      1.681471, ,           7.6,      1.671232, ,           7.6,        1.9539, ,           7.6,      1.841988, , 
          7.8,      1.730036, ,           7.8,       1.68622, ,           7.8,      1.676275, ,           7.8,       1.95454, ,           7.8,      1.843846, , 
            8,      1.734267, ,             8,      1.691556, ,             8,      1.681952, ,             8,      1.955753, ,             8,       1.84622, , 

