Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      1.471793, ,            -1,       1.43031, ,            -1,      1.361479, ,            -1,      1.313785, ,            -1,      2.252091, ,            -1,      2.154214, ,            -1,      1.296895, ,            -1,       1.26969, ,            -1,       1.26487, ,            -1,      1.255345, ,            -1,      1.244185, ,            -1,      1.235809, ,            -1,      1.231436, ,            -1,      1.228861, ,            -1,      2.008337, ,            -1,       1.84868, ,            -1,      1.692419, ,            -1,      1.614093, ,            -1,      1.585999, , 
         -0.8,      1.414775, ,          -0.8,      1.375355, ,          -0.8,        1.3098, ,          -0.8,      1.264452, ,          -0.8,      2.149156, ,          -0.8,      2.057151, ,          -0.8,      1.248422, ,          -0.8,      1.222632, ,          -0.8,       1.21808, ,          -0.8,      1.208967, ,          -0.8,      1.197936, ,          -0.8,      1.190026, ,          -0.8,      1.185864, ,          -0.8,      1.183415, ,          -0.8,      1.920028, ,          -0.8,      1.770034, ,          -0.8,      1.623107, ,          -0.8,      1.549367, ,          -0.8,      1.522856, , 
         -0.6,      1.365168, ,          -0.6,      1.327738, ,          -0.6,      1.265208, ,          -0.6,      1.221958, ,          -0.6,      2.057694, ,          -0.6,      1.970979, ,          -0.6,      1.206791, ,          -0.6,      1.182142, ,          -0.6,      1.177704, ,          -0.6,      1.168803, ,          -0.6,      1.158028, ,          -0.6,      1.150611, ,          -0.6,      1.146825, ,          -0.6,      1.144598, ,          -0.6,      1.841745, ,          -0.6,      1.700424, ,          -0.6,      1.561922, ,          -0.6,      1.492375, ,          -0.6,      1.467354, , 
         -0.4,      1.321598, ,          -0.4,      1.286107, ,          -0.4,      1.226495, ,          -0.4,      1.185225, ,          -0.4,      1.976159, ,          -0.4,      1.894201, ,          -0.4,       1.17076, ,          -0.4,      1.147257, ,          -0.4,      1.143014, ,          -0.4,      1.134457, ,          -0.4,      1.124156, ,          -0.4,      1.116933, ,          -0.4,      1.113238, ,          -0.4,      1.111063, ,          -0.4,      1.772064, ,          -0.4,      1.638535, ,          -0.4,       1.50763, ,          -0.4,      1.441892, ,          -0.4,      1.418245, , 
         -0.2,       1.28306, ,          -0.2,      1.249417, ,          -0.2,      1.192669, ,          -0.2,      1.153256, ,          -0.2,      1.903202, ,          -0.2,      1.825537, ,          -0.2,      1.139429, ,          -0.2,      1.116929, ,          -0.2,      1.112864, ,          -0.2,      1.104664, ,          -0.2,      1.094735, ,          -0.2,      1.087751, ,          -0.2,      1.084351, ,          -0.2,      1.082349, ,          -0.2,      1.709801, ,          -0.2,      1.583315, ,          -0.2,      1.459295, ,          -0.2,      1.397009, ,          -0.2,      1.374613, , 
            0,      1.248795, ,             0,      1.216871, ,             0,      1.162854, ,             0,      1.125269, ,             0,      1.837772, ,             0,      1.763999, ,             0,      1.112071, ,             0,      1.090448, ,             0,      1.086539, ,             0,      1.078659, ,             0,       1.06912, ,             0,      1.062437, ,             0,      1.059115, ,             0,      1.057158, ,             0,      1.654059, ,             0,      1.533923, ,             0,       1.41612, ,             0,      1.356957, ,             0,      1.335694, , 
          0.2,      1.218235, ,           0.2,      1.187887, ,           0.2,      1.136416, ,           0.2,      1.100583, ,           0.2,      1.779046, ,           0.2,        1.7088, ,           0.2,         1.088, ,           0.2,      1.067326, ,           0.2,      1.063582, ,           0.2,      1.056026, ,           0.2,      1.046776, ,           0.2,      1.040262, ,           0.2,      1.037098, ,           0.2,      1.035233, ,           0.2,       1.60411, ,           0.2,      1.489703, ,           0.2,       1.37748, ,           0.2,      1.321132, ,           0.2,      1.300895, , 
          0.4,      1.190931, ,           0.4,      1.162025, ,           0.4,      1.112894, ,           0.4,      1.078706, ,           0.4,      1.726252, ,           0.4,       1.65921, ,           0.4,        1.0667, ,           0.4,      1.046963, ,           0.4,      1.043386, ,           0.4,      1.036167, ,           0.4,      1.027323, ,           0.4,      1.021063, ,           0.4,      1.017922, ,           0.4,      1.016077, ,           0.4,      1.559284, ,           0.4,      1.450038, ,           0.4,      1.342825, ,           0.4,      1.289021, ,           0.4,       1.26972, , 
          0.6,      1.166472, ,           0.6,      1.138889, ,           0.6,      1.091901, ,           0.6,      1.059225, ,           0.6,       1.67868, ,           0.6,      1.614546, ,           0.6,       1.04775, ,           0.6,      1.028892, ,           0.6,      1.025475, ,           0.6,      1.018577, ,           0.6,      1.010128, ,           0.6,      1.004141, ,           0.6,      1.001135, ,           0.6,     0.9993691, ,           0.6,      1.518943, ,           0.6,      1.414358, ,           0.6,      1.311653, ,           0.6,      1.260154, ,           0.6,      1.241709, , 
          0.8,      1.144544, ,           0.8,      1.118167, ,           0.8,      1.073153, ,           0.8,      1.041863, ,           0.8,      1.635617, ,           0.8,      1.574139, ,           0.8,      1.030874, ,           0.8,      1.012832, ,           0.8,      1.009563, ,           0.8,      1.002964, ,           0.8,     0.9948791, ,           0.8,     0.9891503, ,           0.8,     0.9862721, ,           0.8,     0.9845814, ,           0.8,      1.482479, ,           0.8,      1.382148, ,           0.8,      1.283568, ,           0.8,      1.234178, ,           0.8,      1.216517, , 
            1,      1.124864, ,             1,      1.099591, ,             1,      1.056398, ,             1,      1.026378, ,             1,      1.596677, ,             1,      1.537602, ,             1,      1.015836, ,             1,     0.9985429, ,             1,     0.9954097, ,             1,     0.9890847, ,             1,     0.9813386, ,             1,     0.9758475, ,             1,     0.9730881, ,             1,      0.971467, ,             1,      1.449506, ,             1,      1.353047, ,             1,      1.258249, ,             1,      1.210786, ,             1,      1.193844, , 
          1.2,      1.107207, ,           1.2,      1.082948, ,           1.2,      1.041431, ,           1.2,      1.012576, ,           1.2,      1.561482, ,           1.2,      1.504569, ,           1.2,      1.002445, ,           1.2,     0.9858412, ,           1.2,     0.9828325, ,           1.2,     0.9767586, ,           1.2,      0.969322, ,           1.2,     0.9640492, ,           1.2,     0.9613981, ,           1.2,     0.9598408, ,           1.2,      1.419677, ,           1.2,      1.326742, ,           1.2,      1.235415, ,           1.2,      1.189719, ,           1.2,      1.173437, , 
          1.4,      1.091344, ,           1.4,      1.068017, ,           1.4,      1.028047, ,           1.4,      1.000278, ,           1.4,      1.529619, ,           1.4,      1.474647, ,           1.4,     0.9905288, ,           1.4,     0.9745646, ,           1.4,       0.97167, ,           1.4,     0.9658264, ,           1.4,     0.9586715, ,           1.4,     0.9536013, ,           1.4,     0.9510514, ,           1.4,     0.9495534, ,           1.4,      1.392628, ,           1.4,      1.302905, ,           1.4,      1.214781, ,           1.4,      1.170712, ,           1.4,      1.155039, , 
          1.6,      1.077116, ,           1.6,      1.054645, ,           1.6,      1.016093, ,           1.6,     0.9893267, ,           1.6,      1.500903, ,           1.6,      1.447646, ,           1.6,     0.9799282, ,           1.6,     0.9645472, ,           1.6,     0.9617582, ,           1.6,     0.9561273, ,           1.6,     0.9492332, ,           1.6,     0.9443486, ,           1.6,     0.9418929, ,           1.6,     0.9404503, ,           1.6,      1.368175, ,           1.6,      1.281384, ,           1.6,      1.196174, ,           1.6,      1.153594, ,           1.6,      1.138481, , 
          1.8,       1.06433, ,           1.8,      1.042653, ,           1.8,      1.005421, ,           1.8,     0.9795841, ,           1.8,      1.474824, ,           1.8,      1.423123, ,           1.8,     0.9705097, ,           1.8,     0.9556685, ,           1.8,     0.9529773, ,           1.8,     0.9475435, ,           1.8,     0.9408911, ,           1.8,     0.9361755, ,           1.8,     0.9338054, ,           1.8,     0.9324129, ,           1.8,      1.345972, ,           1.8,       1.26188, ,           1.8,      1.179346, ,           1.8,      1.138139, ,           1.8,      1.123547, , 
            2,      1.052881, ,             2,      1.031938, ,             2,     0.9959202, ,             2,     0.9709394, ,             2,       1.45117, ,             2,      1.400885, ,             2,     0.9621637, ,             2,     0.9478198, ,             2,     0.9452182, ,             2,     0.9399665, ,             2,     0.9335387, ,             2,      0.928984, ,             2,     0.9266927, ,             2,     0.9253465, ,             2,      1.325856, ,             2,       1.24425, ,             2,      1.164173, ,             2,      1.124232, ,             2,      1.110119, , 
          2.2,      1.042636, ,           2.2,      1.022373, ,           2.2,     0.9874799, ,           2.2,     0.9632908, ,           2.2,      1.429704, ,           2.2,      1.380711, ,           2.2,     0.9547906, ,           2.2,     0.9409054, ,           2.2,     0.9383873, ,           2.2,      0.933304, ,           2.2,     0.9270825, ,           2.2,     0.9226749, ,           2.2,     0.9204586, ,           2.2,     0.9191566, ,           2.2,      1.307627, ,           2.2,      1.228312, ,           2.2,      1.150496, ,           2.2,      1.111722, ,           2.2,      1.098051, , 
          2.4,      1.033493, ,           2.4,       1.01386, ,           2.4,     0.9800111, ,           2.4,     0.9565498, ,           2.4,      1.410204, ,           2.4,      1.362407, ,           2.4,     0.9483044, ,           2.4,      0.934847, ,           2.4,     0.9324064, ,           2.4,     0.9274792, ,           2.4,     0.9214465, ,           2.4,     0.9171722, ,           2.4,     0.9150239, ,           2.4,     0.9137618, ,           2.4,      1.291124, ,           2.4,      1.213925, ,           2.4,      1.138186, ,           2.4,      1.100487, ,           2.4,      1.087223, , 
