Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      1.192664, ,            -1,      1.104137, ,            -1,      1.084405, ,            -1,      1.635283, ,            -1,      1.423869, , 
         -0.8,       1.14773, ,          -0.8,      1.063243, ,          -0.8,      1.044249, ,          -0.8,      1.564363, ,          -0.8,      1.365713, , 
         -0.6,      1.108766, ,          -0.6,      1.028195, ,          -0.6,      1.009913, ,          -0.6,      1.501571, ,          -0.6,      1.314375, , 
         -0.4,      1.074571, ,          -0.4,     0.9979227, ,          -0.4,     0.9803356, ,          -0.4,      1.445774, ,          -0.4,      1.268851, , 
         -0.2,      1.044336, ,          -0.2,     0.9716201, ,          -0.2,      0.954828, ,          -0.2,       1.39607, ,          -0.2,      1.228343, , 
            0,      1.017485, ,             0,     0.9484179, ,             0,     0.9324572, ,             0,      1.351712, ,             0,        1.1922, , 
          0.2,     0.9935942, ,           0.2,     0.9278635, ,           0.2,     0.9126836, ,           0.2,      1.312065, ,           0.2,      1.159864, , 
          0.4,     0.9722848, ,           0.4,     0.9095853, ,           0.4,     0.8951168, ,           0.4,      1.276431, ,           0.4,      1.130847, , 
          0.6,     0.9532605, ,           0.6,      0.893322, ,           0.6,     0.8795006, ,           0.6,      1.244347, ,           0.6,      1.104791, , 
          0.8,     0.9362613, ,           0.8,      0.878846, ,           0.8,     0.8656156, ,           0.8,      1.215437, ,           0.8,      1.081372, , 
            1,     0.9210548, ,             1,     0.8659682, ,             1,      0.853275, ,             1,      1.189308, ,             1,       1.06029, , 
          1.2,     0.9074453, ,           1.2,     0.8544948, ,           1.2,     0.8422954, ,           1.2,      1.165736, ,           1.2,        1.0413, , 
          1.4,     0.8952753, ,           1.4,     0.8442813, ,           1.4,     0.8325347, ,           1.4,      1.144455, ,           1.4,      1.024198, , 
          1.6,     0.8843995, ,           1.6,      0.835199, ,           1.6,     0.8238699, ,           1.6,      1.125213, ,           1.6,      1.008781, , 
          1.8,     0.8747065, ,           1.8,     0.8271491, ,           1.8,     0.8162024, ,           1.8,      1.107863, ,           1.8,     0.9949342, , 
            2,     0.8660824, ,             2,     0.8200322, ,             2,      0.809438, ,             2,      1.092213, ,             2,     0.9824774, , 
          2.2,     0.8584429, ,           2.2,     0.8137813, ,           2.2,     0.8035108, ,           2.2,      1.078167, ,           2.2,     0.9713281, , 
          2.4,     0.8516955, ,           2.4,     0.8083076, ,           2.4,     0.7983345, ,           2.4,      1.065575, ,           2.4,     0.9613615, , 
          2.6,     0.8457904, ,           2.6,      0.803569, ,           2.6,     0.7938708, ,           2.6,      1.054365, ,           2.6,     0.9525069, , 
          2.8,     0.8406765, ,           2.8,     0.7995308, ,           2.8,     0.7900849, ,           2.8,      1.044439, ,           2.8,     0.9446931, , 
            3,      0.836351, ,             3,     0.7962234, ,             3,     0.7870263, ,             3,      1.035747, ,             3,     0.9378871, , 
          3.2,     0.8328696, ,           3.2,     0.7937941, ,           3.2,     0.7848798, ,           3.2,      1.028252, ,           3.2,     0.9320824, , 
          3.4,     0.8303361, ,           3.4,     0.7924429, ,           3.4,     0.7838572, ,           3.4,      1.021993, ,           3.4,     0.9273165, , 
          3.6,     0.8288972, ,           3.6,     0.7923024, ,           3.6,     0.7841092, ,           3.6,      1.017001, ,           3.6,     0.9236453, , 
          3.8,     0.8286524, ,           3.8,     0.7935345, ,           3.8,     0.7856919, ,           3.8,      1.013318, ,           3.8,     0.9211704, , 
            4,     0.8296035, ,             4,     0.7956325, ,             4,     0.7879323, ,             4,      1.010916, ,             4,     0.9198505, , 
          4.2,     0.8316174, ,           4.2,      0.798429, ,           4.2,     0.7909114, ,           4.2,      1.009746, ,           4.2,     0.9196276, , 
          4.4,     0.8347462, ,           4.4,     0.8027631, ,           4.4,     0.7956659, ,           4.4,      1.009787, ,           4.4,      0.920426, , 
          4.6,     0.8393436, ,           4.6,     0.8095204, ,           4.6,     0.8034152, ,           4.6,      1.010978, ,           4.6,     0.9221897, , 
          4.8,     0.8462814, ,           4.8,      0.819981, , , , ,           4.8,      1.013707, ,           4.8,      0.925285, , 
            5,     0.8558741, ,             5,     0.8330786, , , , ,             5,      1.018288, ,             5,     0.9300719, , 
          5.2,     0.8682565, , , , , , , ,           5.2,      1.025473, ,           5.2,     0.9374905, , 

