Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      1.206542, ,            -1,      1.109473, ,            -1,      1.789139, ,            -1,      1.052513, ,            -1,      1.028679, ,            -1,      1.005302, ,            -1,     0.9980636, ,            -1,     0.9943889, ,            -1,      1.664963, ,            -1,       1.52901, ,            -1,      1.304975, , 
         -0.8,      1.158907, ,          -0.8,      1.067492, ,          -0.8,      1.706221, ,          -0.8,      1.013437, ,          -0.8,     0.9905667, ,          -0.8,     0.9680449, ,          -0.8,     0.9610031, ,          -0.8,     0.9576238, ,          -0.8,      1.589513, ,          -0.8,      1.461782, ,          -0.8,      1.251322, , 
         -0.6,      1.116919, ,          -0.6,      1.030745, ,          -0.6,      1.632715, ,          -0.6,     0.9796535, ,          -0.6,     0.9578514, ,          -0.6,     0.9362299, ,          -0.6,     0.9294088, ,          -0.6,     0.9260525, ,          -0.6,      1.522685, ,          -0.6,      1.402291, ,          -0.6,      1.203943, , 
         -0.4,      1.079744, ,          -0.4,     0.9983182, ,          -0.4,      1.567329, ,          -0.4,     0.9500099, ,          -0.4,     0.9293778, ,          -0.4,     0.9088511, ,          -0.4,     0.9023012, ,          -0.4,     0.8990144, ,          -0.4,      1.463286, ,          -0.4,      1.349461, ,          -0.4,      1.161927, , 
         -0.2,      1.046718, ,          -0.2,     0.9695743, ,          -0.2,      1.509091, ,          -0.2,     0.9238109, ,          -0.2,     0.9042655, ,          -0.2,     0.8848161, ,          -0.2,      0.878611, ,          -0.2,     0.8754933, ,          -0.2,      1.410417, ,          -0.2,      1.302452, ,          -0.2,      1.124539, , 
            0,      1.017317, ,             0,     0.9440384, ,             0,      1.457118, ,             0,     0.9005765, ,             0,     0.8820173, ,             0,     0.8635605, ,             0,     0.8576723, ,             0,     0.8547121, ,             0,      1.363263, ,             0,       1.26052, ,             0,      1.091186, , 
          0.2,     0.9910519, ,           0.2,      0.921285, ,           0.2,      1.410552, ,           0.2,        0.8799, ,           0.2,      0.862238, ,           0.2,     0.8446829, ,           0.2,     0.8390818, ,           0.2,     0.8362663, ,           0.2,      1.321022, ,           0.2,      1.222957, ,           0.2,      1.061326, , 
          0.4,      0.967558, ,           0.4,     0.9009874, ,           0.4,      1.368728, ,           0.4,     0.8614885, ,           0.4,      0.844645, ,           0.4,     0.8279042, ,           0.4,     0.8225606, ,           0.4,     0.8198749, ,           0.4,      1.283064, ,           0.4,      1.189207, ,           0.4,      1.034566, , 
          0.6,     0.9465224, ,           0.6,     0.8828583, ,           0.6,      1.331172, ,           0.6,     0.8450754, ,           0.6,     0.8289798, ,           0.6,     0.8129793, ,           0.6,     0.8078719, ,           0.6,     0.8053041, ,           0.6,      1.248925, ,           0.6,      1.158859, ,           0.6,       1.01056, , 
          0.8,     0.9276674, ,           0.8,     0.8666411, ,           0.8,      1.297362, ,           0.8,     0.8304353, ,           0.8,     0.8150267, ,           0.8,     0.7996985, ,           0.8,     0.7948083, ,           0.8,     0.7923507, ,           0.8,      1.218116, ,           0.8,       1.13148, ,           0.8,     0.9889887, , 
