Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, ,            -1,     0.6354559, , 
         -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, ,          -0.8,     0.6357181, , 
         -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, ,          -0.6,     0.6359315, , 
         -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, ,          -0.4,     0.6361057, , 
         -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, ,          -0.2,     0.6362479, , 
            0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, ,             0,     0.6363637, , 
          0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, ,           0.2,     0.6364576, , 
          0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, ,           0.4,      0.636533, , 
          0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, ,           0.6,     0.6365928, , 
          0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, ,           0.8,     0.6366391, , 
