Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      10.66187, ,            -1,      11.83793, ,            -1,      6.719051, ,            -1,      12.64717, ,            -1,      13.01477, ,            -1,      13.07953, ,            -1,      13.39316, ,            -1,      13.51375, ,            -1,      13.57723, ,            -1,      7.215999, ,            -1,      8.263284, ,            -1,      9.557439, ,            -1,      9.730817, , 
         -0.8,      11.16026, ,          -0.8,      12.36531, ,          -0.8,       7.07932, ,          -0.8,       13.1953, ,          -0.8,      13.57128, ,          -0.8,      13.63739, ,          -0.8,        13.959, ,          -0.8,      14.08229, ,          -0.8,      14.14705, ,          -0.8,      7.596824, ,          -0.8,      8.684653, ,          -0.8,      10.02273, ,          -0.8,      10.20159, , 
         -0.6,      11.62243, ,          -0.6,      12.84975, ,          -0.6,      7.421756, ,          -0.6,      13.69522, ,          -0.6,      14.07759, ,          -0.6,      14.14483, ,          -0.6,      14.47216, ,          -0.6,      14.59704, ,          -0.6,      14.66252, ,          -0.6,      7.957736, ,          -0.6,      9.081465, ,          -0.6,      10.45733, ,          -0.6,      10.64083, , 
         -0.4,      12.04852, ,          -0.4,      13.29174, ,          -0.4,      7.746158, ,          -0.4,      14.14753, ,          -0.4,      14.53486, ,          -0.4,      14.60319, ,          -0.4,      14.93423, ,          -0.4,      15.05959, ,          -0.4,      15.12527, ,          -0.4,      8.298537, ,          -0.4,      9.453566, ,          -0.4,      10.86126, ,          -0.4,      11.04857, , 
         -0.2,      12.43931, ,          -0.2,      13.69264, ,          -0.2,      8.052175, ,          -0.2,      14.55412, ,          -0.2,      14.94381, ,          -0.2,      15.01264, ,          -0.2,      15.34612, ,          -0.2,      15.47244, ,          -0.2,      15.53862, ,          -0.2,      8.618973, ,          -0.2,       9.80096, ,          -0.2,      11.23492, ,          -0.2,      11.42527, , 
            0,       12.7956, ,             0,      14.05377, ,             0,      8.339875, ,             0,      14.91736, ,             0,       15.3076, ,             0,      15.37658, ,             0,      15.71101, ,             0,      15.83791, ,             0,      15.90438, ,             0,        8.9191, ,             0,      10.12371, ,             0,      11.57863, ,             0,       11.7713, , 
          0.2,      13.11839, ,           0.2,      14.37669, ,           0.2,      8.609047, ,           0.2,      15.23912, ,           0.2,      15.62836, ,           0.2,      15.69714, ,           0.2,      16.03032, ,           0.2,      16.15676, ,           0.2,      16.22299, ,           0.2,      9.198811, ,           0.2,      10.42198, ,           0.2,      11.89309, ,           0.2,      12.08742, , 
          0.4,      13.40854, ,           0.4,       14.6628, ,           0.4,      8.859032, ,           0.4,      15.52132, ,           0.4,      15.90849, ,           0.4,      15.97684, ,           0.4,      16.30767, ,           0.4,      16.43315, ,           0.4,      16.49887, ,           0.4,      9.457698, ,           0.4,      10.69597, ,           0.4,      12.17859, ,           0.4,      12.37401, , 
          0.6,        13.667, ,           0.6,      14.91369, ,           0.6,      9.088173, ,           0.6,      15.76591, ,           0.6,      16.15019, ,           0.6,      16.21792, ,           0.6,      16.54553, ,           0.6,      16.66964, ,           0.6,      16.73462, ,           0.6,      9.694628, ,           0.6,      10.94581, ,           0.6,      12.43598, ,           0.6,      12.63191, , 
          0.8,      13.89469, ,           0.8,      15.13081, ,           0.8,      9.296729, ,           0.8,      15.97473, ,           0.8,      16.35542, ,           0.8,      16.42239, ,           0.8,      16.74612, ,           0.8,      16.86858, ,           0.8,      16.93267, ,           0.8,      9.909809, ,           0.8,      11.17159, ,           0.8,      12.66571, ,           0.8,      12.86165, , 
