Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      5.358222, ,            -1,      4.828552, ,            -1,      8.465224, ,            -1,      4.520918, ,            -1,      4.393733, ,            -1,      4.372063, ,            -1,      4.270065, ,            -1,        4.2321, ,            -1,      4.212384, ,            -1,      7.889852, ,            -1,      6.900224, ,            -1,      5.973155, ,            -1,      5.867477, , 
         -0.8,      5.120238, ,          -0.8,      4.623527, ,          -0.8,      8.040207, ,          -0.8,      4.333851, ,          -0.8,      4.214223, ,          -0.8,      4.193867, ,          -0.8,      4.097577, ,          -0.8,      4.061821, ,          -0.8,      4.043292, ,          -0.8,      7.498956, ,          -0.8,      6.568432, ,          -0.8,       5.69773, ,          -0.8,      5.598472, , 
         -0.6,      4.917646, ,          -0.6,      4.449932, ,          -0.6,      7.673761, ,          -0.6,      4.176223, ,          -0.6,      4.063174, ,          -0.6,      4.043922, ,          -0.6,      3.952751, ,          -0.6,      3.919041, ,          -0.6,      3.901595, ,          -0.6,      7.162466, ,          -0.6,      6.283774, ,          -0.6,      5.462399, ,          -0.6,      5.368753, , 
         -0.4,      4.744546, ,          -0.4,      4.302526, ,          -0.4,      7.355986, ,          -0.4,      4.043156, ,          -0.4,      3.935753, ,          -0.4,      3.917396, ,          -0.4,      3.830822, ,          -0.4,      3.799028, ,          -0.4,      3.782578, ,          -0.4,      6.871191, ,          -0.4,      6.038303, ,          -0.4,      5.260412, ,          -0.4,      5.171717, , 
         -0.2,       4.59614, ,          -0.2,      4.177005, ,          -0.2,      7.079319, ,          -0.2,      3.930561, ,          -0.2,      3.828374, ,          -0.2,      3.810873, ,          -0.2,      3.728296, ,          -0.2,      3.697943, ,          -0.2,      3.682238, ,          -0.2,      6.618044, ,          -0.2,      5.825775, ,          -0.2,      5.086389, ,          -0.2,      5.002084, , 
            0,      4.468688, ,             0,      4.070039, ,             0,      6.837457, ,             0,      3.835142, ,             0,      3.737652, ,             0,      3.720931, ,             0,      3.641943, ,             0,       3.61284, ,             0,      3.597779, ,             0,      6.397225, ,             0,      5.641265, ,             0,      4.936157, ,             0,      4.855754, , 
          0.2,      4.359162, ,           0.2,      3.978917, ,           0.2,      6.625606, ,           0.2,        3.7544, ,           0.2,       3.66115, ,           0.2,      3.645151, ,           0.2,      3.569587, ,           0.2,      3.541724, ,           0.2,      3.527301, ,           0.2,      6.204244, ,           0.2,      5.480813, ,           0.2,      4.806264, ,           0.2,      4.729348, , 
          0.4,      4.265184, ,           0.4,       3.90152, ,           0.4,      6.440238, ,           0.4,      3.686329, ,           0.4,      3.596853, ,           0.4,      3.581505, ,           0.4,      3.509031, ,           0.4,      3.482303, ,           0.4,      3.468466, ,           0.4,      6.035685, ,           0.4,      5.341235, ,           0.4,      4.694099, ,           0.4,      4.620292, , 
          0.6,      4.184815, ,           0.6,      3.836082, ,           0.6,      6.279173, ,           0.6,      3.629295, ,           0.6,      3.543162, ,           0.6,      3.528401, ,           0.6,       3.45871, ,           0.6,       3.43302, ,           0.6,      3.419721, ,           0.6,      5.889226, ,           0.6,      5.220003, ,           0.6,      4.597368, ,           0.6,      4.526359, , 
          0.8,      4.116478, ,           0.8,      3.781198, ,           0.8,      6.139399, ,           0.8,      3.581977, ,           0.8,      3.498812, ,           0.8,       3.48458, ,           0.8,      3.417378, ,           0.8,      3.392626, ,           0.8,      3.379816, ,           0.8,      5.762218, ,           0.8,      5.115073, ,           0.8,      4.514328, ,           0.8,      4.445832, , 
            1,      4.058909, ,             1,      3.735777, ,             1,      6.017795, ,             1,      3.543377, ,             1,      3.462865, ,             1,      3.449113, ,             1,      3.384143, ,             1,      3.360233, ,             1,      3.347864, ,             1,      5.652139, ,             1,      5.024904, ,             1,      4.443714, ,             1,      4.377443, , 
          1.2,       4.01133, ,           1.2,      3.699341, ,           1.2,         5.914, ,           1.2,      3.513861, ,           1.2,      3.436698, ,           1.2,      3.423593, ,           1.2,      3.361721, ,           1.2,      3.338786, ,           1.2,      3.326898, ,           1.2,      5.558313, ,           1.2,       4.94833, ,           1.2,      4.384521, ,           1.2,      4.320227, , 
