Alpha,T1-15.8 m/s-VLM2, , 
           -1,      7.872906, , 
         -0.8,      8.204951, , 
         -0.6,       8.51144, , 
         -0.4,      8.792201, , 
         -0.2,       9.04873, , 
            0,      9.281794, , 
          0.2,      9.492147, , 
          0.4,      9.680847, , 
          0.6,      9.848715, , 
          0.8,      9.996298, , 
            1,      10.12527, , 
          1.2,      10.23597, , 
          1.4,      10.33001, , 
          1.6,      10.40852, , 
          1.8,      10.47229, , 
            2,      10.52263, , 
          2.2,      10.56044, , 
          2.4,      10.58662, , 
          2.6,      10.60206, , 
          2.8,       10.6076, , 
            3,      10.60399, , 
          3.2,      10.59193, , 
          3.4,      10.57203, , 
          3.6,      10.54471, , 
          3.8,      10.50949, , 
            4,       10.4548, , 
          4.2,      10.36491, , 
          4.4,      10.25256, , 
          4.6,      10.12485, , 
          4.8,      9.980347, , 
            5,      9.828862, , 
          5.2,      9.675351, , 
          5.4,      9.519265, , 
          5.6,      9.366866, , 
          5.8,      9.208568, , 
            6,      9.046807, , 
          6.2,      8.871343, , 
          6.4,      8.743355, , 
          6.6,      8.611409, , 
          6.8,      8.456727, , 
            7,      8.319501, , 
          7.2,      8.176925, , 
          7.4,      8.054805, , 
          7.6,       7.92265, , 
          7.8,      7.801446, , 
            8,      7.686309, , 
          8.2,      7.564308, , 
          8.4,      7.446322, , 
          8.6,      7.339152, , 
          8.8,      7.230552, , 
            9,      7.117986, , 
          9.2,      7.006733, , 
          9.4,      6.904171, , 
          9.6,      6.800307, , 
          9.8,      6.701026, , 
           10,      6.600104, , 
         10.2,      6.500351, , 
         10.4,      6.400341, , 
         10.6,      6.303644, , 
         10.8,      6.210567, , 
           11,      6.116132, , 
         11.2,      6.021711, , 
         11.4,      5.927238, , 
         11.6,      5.836465, , 
         11.8,      5.745859, , 
           12,       5.65379, , 

