Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.5757057, ,            -1,     0.5757057, ,            -1,     0.5757057, ,            -1,     0.5757057, ,            -1,     0.5757057, , 
         -0.8,     0.5757579, ,          -0.8,     0.5757579, ,          -0.8,     0.5757579, ,          -0.8,     0.5757579, ,          -0.8,     0.5757579, , 
         -0.6,     0.5757859, ,          -0.6,     0.5757859, ,          -0.6,     0.5757859, ,          -0.6,     0.5757859, ,          -0.6,     0.5757859, , 
         -0.4,     0.5757938, ,          -0.4,     0.5757938, ,          -0.4,     0.5757938, ,          -0.4,     0.5757938, ,          -0.4,     0.5757938, , 
         -0.2,      0.575785, ,          -0.2,      0.575785, ,          -0.2,      0.575785, ,          -0.2,      0.575785, ,          -0.2,      0.575785, , 
            0,      0.575762, ,             0,      0.575762, ,             0,      0.575762, ,             0,      0.575762, ,             0,      0.575762, , 
          0.2,     0.5757269, ,           0.2,     0.5757269, ,           0.2,     0.5757269, ,           0.2,     0.5757269, ,           0.2,     0.5757269, , 
          0.4,      0.575681, ,           0.4,      0.575681, ,           0.4,      0.575681, ,           0.4,      0.575681, ,           0.4,      0.575681, , 
          0.6,     0.5756258, ,           0.6,     0.5756258, ,           0.6,     0.5756258, ,           0.6,     0.5756258, ,           0.6,     0.5756258, , 
          0.8,     0.5755622, ,           0.8,     0.5755622, ,           0.8,     0.5755622, ,           0.8,     0.5755622, ,           0.8,     0.5755622, , 
            1,      0.575491, ,             1,      0.575491, ,             1,      0.575491, ,             1,      0.575491, ,             1,      0.575491, , 
          1.2,     0.5754129, ,           1.2,     0.5754129, ,           1.2,     0.5754129, ,           1.2,     0.5754129, ,           1.2,     0.5754129, , 
          1.4,     0.5753285, ,           1.4,     0.5753285, ,           1.4,     0.5753285, ,           1.4,     0.5753285, ,           1.4,     0.5753285, , 
          1.6,     0.5752383, ,           1.6,     0.5752383, ,           1.6,     0.5752383, ,           1.6,     0.5752383, ,           1.6,     0.5752383, , 
          1.8,     0.5751425, ,           1.8,     0.5751425, ,           1.8,     0.5751425, ,           1.8,     0.5751425, ,           1.8,     0.5751425, , 
            2,     0.5750417, ,             2,     0.5750417, ,             2,     0.5750417, ,             2,     0.5750417, ,             2,     0.5750417, , 
          2.2,      0.574936, ,           2.2,      0.574936, ,           2.2,      0.574936, ,           2.2,      0.574936, ,           2.2,      0.574936, , 
          2.4,     0.5748257, ,           2.4,     0.5748257, ,           2.4,     0.5748257, ,           2.4,     0.5748257, ,           2.4,     0.5748257, , 
          2.6,     0.5747111, ,           2.6,     0.5747111, ,           2.6,     0.5747111, ,           2.6,     0.5747111, ,           2.6,     0.5747111, , 
          2.8,     0.5745922, ,           2.8,     0.5745922, ,           2.8,     0.5745922, ,           2.8,     0.5745922, ,           2.8,     0.5745922, , 
            3,     0.5744694, ,             3,     0.5744694, ,             3,     0.5744694, ,             3,     0.5744694, ,             3,     0.5744694, , 
          3.2,     0.5743426, ,           3.2,     0.5743426, ,           3.2,     0.5743426, ,           3.2,     0.5743426, ,           3.2,     0.5743426, , 
          3.4,     0.5742122, ,           3.4,     0.5742122, ,           3.4,     0.5742122, ,           3.4,     0.5742122, ,           3.4,     0.5742122, , 
          3.6,      0.574078, ,           3.6,      0.574078, ,           3.6,      0.574078, ,           3.6,      0.574078, ,           3.6,      0.574078, , 
          3.8,     0.5739404, ,           3.8,     0.5739404, ,           3.8,     0.5739404, ,           3.8,     0.5739404, ,           3.8,     0.5739404, , 
            4,     0.5737993, ,             4,     0.5737993, ,             4,     0.5737993, ,             4,     0.5737993, ,             4,     0.5737993, , 
          4.2,     0.5736549, ,           4.2,     0.5736549, ,           4.2,     0.5736549, ,           4.2,     0.5736549, ,           4.2,     0.5736549, , 
          4.4,     0.5735071, ,           4.4,     0.5735071, ,           4.4,     0.5735071, ,           4.4,     0.5735071, ,           4.4,     0.5735071, , 
          4.6,     0.5733562, ,           4.6,     0.5733562, ,           4.6,     0.5733562, ,           4.6,     0.5733562, ,           4.6,     0.5733562, , 
          4.8,     0.5732021, ,           4.8,     0.5732021, ,           4.8,     0.5732021, ,           4.8,     0.5732021, ,           4.8,     0.5732021, , 
            5,      0.573045, ,             5,      0.573045, ,             5,      0.573045, ,             5,      0.573045, ,             5,      0.573045, , 
          5.2,     0.5728848, ,           5.2,     0.5728848, ,           5.2,     0.5728848, ,           5.2,     0.5728848, ,           5.2,     0.5728848, , 
          5.4,     0.5727216, ,           5.4,     0.5727216, ,           5.4,     0.5727216, ,           5.4,     0.5727216, ,           5.4,     0.5727216, , 
          5.6,     0.5725555, ,           5.6,     0.5725555, ,           5.6,     0.5725555, ,           5.6,     0.5725555, ,           5.6,     0.5725555, , 
          5.8,     0.5723865, ,           5.8,     0.5723865, ,           5.8,     0.5723865, ,           5.8,     0.5723865, ,           5.8,     0.5723865, , 
            6,     0.5722147, ,             6,     0.5722147, ,             6,     0.5722147, ,             6,     0.5722147, ,             6,     0.5722147, , 
          6.2,     0.5720401, ,           6.2,     0.5720401, ,           6.2,     0.5720401, ,           6.2,     0.5720401, ,           6.2,     0.5720401, , 
          6.4,     0.5718627, ,           6.4,     0.5718627, ,           6.4,     0.5718627, ,           6.4,     0.5718627, ,           6.4,     0.5718627, , 
