Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      3.525742, ,            -1,      3.306728, ,            -1,      3.253102, ,            -1,      4.567886, ,            -1,      4.131544, , 
         -0.8,      3.498531, ,          -0.8,      3.287587, ,          -0.8,      3.236012, ,          -0.8,      4.523296, ,          -0.8,      4.090164, , 
         -0.6,      3.477243, ,          -0.6,      3.274682, ,          -0.6,      3.223108, ,          -0.6,      4.484007, ,          -0.6,       4.05412, , 
         -0.4,      3.461936, ,          -0.4,      3.263513, ,          -0.4,      3.213339, ,          -0.4,      4.449774, ,          -0.4,      4.023271, , 
         -0.2,      3.451096, ,          -0.2,      3.254494, ,          -0.2,      3.206346, ,          -0.2,      4.420137, ,          -0.2,       3.99687, , 
            0,      3.442827, ,             0,      3.250867, ,             0,      3.203743, ,             0,       4.39474, ,             0,       3.97451, , 
          0.2,      3.437342, ,           0.2,      3.249985, ,           0.2,      3.204246, ,           0.2,      4.373324, ,           0.2,      3.955996, , 
          0.4,      3.434375, ,           0.4,      3.251617, ,           0.4,      3.207652, ,           0.4,       4.35562, ,           0.4,      3.941318, , 
          0.6,      3.434236, ,           0.6,      3.256699, ,           0.6,      3.214609, ,           0.6,      4.341458, ,           0.6,      3.930132, , 
          0.8,      3.436678, ,           0.8,      3.263499, ,           0.8,       3.22204, ,           0.8,      4.330607, ,           0.8,      3.922187, , 
            1,      3.440976, ,             1,      3.272383, ,             1,      3.231472, ,             1,      4.322863, ,             1,       3.91733, , 
          1.2,      3.448347, ,           1.2,      3.282852, ,           1.2,      3.241809, ,           1.2,      4.318121, ,           1.2,      3.915343, , 
          1.4,      3.457677, ,           1.4,      3.294131, ,           1.4,      3.254149, ,           1.4,      4.316119, ,           1.4,      3.916172, , 
          1.6,      3.468591, ,           1.6,      3.307635, ,           1.6,      3.268648, ,           1.6,       4.31682, ,           1.6,      3.919595, , 
