Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          2.4,      7.839204, ,           2.4,      8.162765, ,           2.4,       6.51569, ,           2.4,      8.349064, ,           2.4,       8.42659, ,           2.4,      8.440702, ,           2.4,      8.519874, ,           2.4,      8.558978, ,           2.4,      8.579258, ,           2.4,      6.715723, ,           2.4,      7.090073, ,           2.4,      7.499117, ,           2.4,      7.555339, , 
          2.6,      7.835475, ,           2.6,      8.152062, ,           2.6,       6.51692, ,           2.6,      8.336059, ,           2.6,      8.414006, ,           2.6,      8.427465, ,           2.6,      8.502874, ,           2.6,      8.540067, ,           2.6,      8.559449, ,           2.6,      6.716149, ,           2.6,      7.088913, ,           2.6,      7.496733, ,           2.6,      7.552779, , 
          2.8,      7.828206, ,           2.8,      8.141676, ,           2.8,      6.516946, ,           2.8,      8.322712, ,           2.8,      8.399131, ,           2.8,      8.412668, ,           2.8,      8.488208, ,           2.8,      8.525318, ,           2.8,      8.544458, ,           2.8,      6.714899, ,           2.8,      7.085178, ,           2.8,      7.491441, ,           2.8,      7.547187, , 
            3,      7.817535, ,             3,      8.124577, ,             3,      6.513961, ,             3,      8.301004, ,             3,      8.375985, ,             3,      8.389362, ,             3,      8.463119, ,             3,      8.498926, ,             3,      8.517482, ,             3,      6.710856, ,             3,      7.079046, ,             3,      7.483373, ,             3,      7.538758, , 
          3.2,      7.803902, ,           3.2,      8.104817, ,           3.2,      6.508684, ,           3.2,      8.276389, ,           3.2,      8.349101, ,           3.2,      8.362301, ,           3.2,      8.434801, ,           3.2,      8.469862, ,           3.2,      8.487911, ,           3.2,      6.704537, ,           3.2,      7.070659, ,           3.2,       7.47276, ,           3.2,      7.527727, , 
          3.4,      7.787549, ,           3.4,      8.081726, ,           3.4,      6.501801, ,           3.4,       8.25033, ,           3.4,      8.321242, ,           3.4,      8.334366, ,           3.4,      8.405379, ,           3.4,      8.439199, ,           3.4,      8.456518, ,           3.4,      6.696449, ,           3.4,      7.060187, ,           3.4,      7.459768, ,           3.4,      7.514253, , 
          3.6,      7.768578, ,           3.6,      8.055181, ,           3.6,      6.493195, ,           3.6,      8.220921, ,           3.6,      8.291008, ,           3.6,      8.303446, ,           3.6,      8.371735, ,           3.6,      8.404744, ,           3.6,      8.421649, ,           3.6,      6.686548, ,           3.6,      7.047724, ,           3.6,      7.444519, ,           3.6,      7.498476, , 
          3.8,      7.747404, ,           3.8,      8.026173, ,           3.8,      6.482525, ,           3.8,      8.187434, ,           3.8,      8.256686, ,           3.8,      8.269141, ,           3.8,      8.335506, ,           3.8,      8.366605, ,           3.8,      8.382558, ,           3.8,      6.674655, ,           3.8,      7.033389, ,           3.8,      7.427062, ,           3.8,      7.480449, , 
            4,      7.723605, ,             4,      7.997024, ,             4,      6.470551, ,             4,      8.154964, ,             4,      8.223218, ,             4,      8.235438, ,             4,      8.299686, ,             4,      8.329362, ,             4,       8.34471, ,             4,      6.661296, ,             4,      7.017278, ,             4,      7.407554, ,             4,      7.460278, , 
          4.2,      7.697378, ,           4.2,      7.963614, ,           4.2,      6.456933, ,           4.2,      8.117964, ,           4.2,      8.183978, ,           4.2,      8.195307, ,           4.2,      8.256731, ,           4.2,      8.286037, ,           4.2,      8.301126, ,           4.2,      6.646288, ,           4.2,      6.999503, ,           4.2,      7.386214, ,           4.2,      7.438188, , 
          4.4,      7.669266, ,           4.4,      7.930201, ,           4.4,      6.442085, ,           4.4,      8.080889, ,           4.4,       8.14422, ,           4.4,      8.155523, ,           4.4,      8.217311, ,           4.4,      8.247038, ,           4.4,      8.262168, ,           4.4,      6.629947, ,           4.4,      6.980204, ,           4.4,      7.363205, ,           4.4,      7.414357, , 
          4.6,      7.639104, ,           4.6,       7.89347, ,           4.6,      6.425311, ,           4.6,      8.040995, ,           4.6,      8.103885, ,           4.6,      8.114982, ,           4.6,       8.17463, ,           4.6,      8.202835, ,           4.6,      8.217066, ,           4.6,       6.61186, ,           4.6,      6.959487, ,           4.6,      7.338644, ,           4.6,       7.38891, , 
          4.8,      7.607426, ,           4.8,        7.8561, ,           4.8,      6.407661, ,           4.8,      7.998725, ,           4.8,      8.060132, ,           4.8,       8.07104, ,           4.8,      8.129468, ,           4.8,      8.156998, ,           4.8,      8.170838, ,           4.8,      6.592737, ,           4.8,      6.937441, ,           4.8,      7.312687, ,           4.8,      7.362049, , 
            5,      7.574407, ,             5,      7.816989, ,             5,      6.388607, ,             5,      7.956828, ,             5,      8.015607, ,             5,      8.026454, ,             5,      8.084365, ,             5,      8.111556, ,             5,       8.12513, ,             5,      6.572266, ,             5,      6.914146, ,             5,      7.285345, ,             5,      7.333807, , 
          5.2,      7.540187, ,           5.2,      7.776847, ,           5.2,      6.368443, ,           5.2,       7.91428, ,           5.2,      7.973545, ,           5.2,      7.984298, ,           5.2,      8.039159, ,           5.2,       8.06365, ,           5.2,      8.076087, ,           5.2,      6.550679, ,           5.2,      6.889719, ,           5.2,      7.256739, ,           5.2,      7.304305, , 
          5.4,      7.504964, ,           5.4,      7.735984, ,           5.4,      6.347403, ,           5.4,      7.870306, ,           5.4,      7.928834, ,           5.4,      7.939391, ,           5.4,      7.993099, ,           5.4,         8.017, ,           5.4,      8.029118, ,           5.4,      6.528152, ,           5.4,      6.864232, ,           5.4,      7.226969, ,           5.4,      7.273646, , 
          5.6,      7.468494, ,           5.6,      7.693716, ,           5.6,      6.325027, ,           5.6,      7.825553, ,           5.6,      7.882286, ,           5.6,      7.892128, ,           5.6,      7.943389, ,           5.6,      7.966816, ,           5.6,      7.978691, ,           5.6,      6.504416, ,           5.6,      6.837771, ,           5.6,       7.19615, ,           5.6,      7.241913, , 
          5.8,      7.431219, ,           5.8,      7.650275, ,           5.8,      6.301964, ,           5.8,      7.779178, ,           5.8,      7.834625, ,           5.8,      7.844362, ,           5.8,      7.894098, ,           5.8,      7.916331, ,           5.8,      7.927665, ,           5.8,      6.479912, ,           5.8,      6.810395, ,           5.8,      7.164399, ,           5.8,      7.209253, , 
            6,      7.393053, ,             6,      7.608168, ,             6,      6.278009, ,             6,      7.734334, ,             6,      7.788492, ,             6,      7.798022, ,             6,      7.846681, ,             6,      7.868422, ,             6,      7.879476, ,             6,      6.454533, ,             6,      6.782175, ,             6,        7.1318, ,             6,      7.175746, , 
          6.2,      7.354122, ,           6.2,      7.564467, ,           6.2,      6.252846, ,           6.2,      7.686805, ,           6.2,      7.739704, ,           6.2,      7.749053, ,           6.2,       7.79641, ,           6.2,      7.817376, ,           6.2,      7.827896, ,           6.2,      6.428103, ,           6.2,        6.7532, ,           6.2,      7.098428, ,           6.2,      7.141468, , 
          6.4,      7.314716, ,           6.4,       7.52029, ,           6.4,      6.227478, ,           6.4,      7.640065, ,           6.4,      7.690567, ,           6.4,      7.699713, ,           6.4,      7.746812, ,           6.4,      7.768067, ,           6.4,      7.778643, ,           6.4,      6.401281, ,           6.4,      6.723489, ,           6.4,      7.064293, ,           6.4,      7.106476, , 
          6.6,      7.274855, ,           6.6,      7.475771, ,           6.6,      6.200894, ,           6.6,      7.593433, ,           6.6,      7.643812, ,           6.6,      7.652778, ,           6.6,      7.697619, ,           6.6,      7.717167, ,           6.6,      7.726956, ,           6.6,      6.373446, ,           6.6,      6.693142, ,           6.6,      7.029508, ,           6.6,      7.070866, , 
