Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      5.098408, ,            -1,      5.012772, ,            -1,      4.905148, ,            -1,      4.705865, ,            -1,      4.580007, ,            -1,      6.756352, ,            -1,      6.662564, ,            -1,       6.50753, ,            -1,      4.541347, ,            -1,       4.51804, ,            -1,       4.47402, ,            -1,      4.461866, ,            -1,      4.436038, ,            -1,      4.407248, ,            -1,      4.394852, ,            -1,      4.362409, ,            -1,      4.345632, ,            -1,      4.335859, ,            -1,      4.329944, ,            -1,      6.246205, ,            -1,      5.795987, ,            -1,      5.721678, ,            -1,      5.539778, ,            -1,      5.352526, ,            -1,       5.29446, , 
         -0.8,      5.047881, ,          -0.8,      4.962891, ,          -0.8,      4.856763, ,          -0.8,       4.66163, ,          -0.8,      4.539044, ,          -0.8,       6.69592, ,          -0.8,      6.602876, ,          -0.8,      6.449075, ,          -0.8,      4.501258, ,          -0.8,      4.478443, ,          -0.8,      4.435758, ,          -0.8,      4.424107, ,          -0.8,      4.399348, ,          -0.8,      4.371328, ,          -0.8,      4.359202, ,          -0.8,      4.327469, ,          -0.8,      4.311263, ,          -0.8,      4.302187, ,          -0.8,      4.296694, ,          -0.8,      6.189833, ,          -0.8,      5.743051, ,          -0.8,      5.668975, ,          -0.8,      5.487646, ,          -0.8,      5.300985, ,          -0.8,      5.243151, , 
         -0.6,      5.004038, ,          -0.6,      4.919818, ,          -0.6,      4.815548, ,          -0.6,      4.624409, ,          -0.6,      4.501848, ,          -0.6,      6.641162, ,          -0.6,      6.548916, ,          -0.6,      6.396436, ,          -0.6,      4.464434, ,          -0.6,      4.442033, ,          -0.6,      4.399629, ,          -0.6,       4.38789, ,          -0.6,      4.362942, ,          -0.6,       4.33575, ,          -0.6,       4.32413, ,          -0.6,      4.293717, ,          -0.6,      4.278359, ,          -0.6,      4.270071, ,          -0.6,      4.265055, ,          -0.6,      6.139422, ,          -0.6,      5.696336, ,          -0.6,      5.622554, ,          -0.6,      5.441945, ,          -0.6,      5.256028, ,          -0.6,      5.198448, , 
         -0.4,      4.966253, ,          -0.4,      4.882919, ,          -0.4,      4.780842, ,          -0.4,      4.593152, ,          -0.4,      4.473366, ,          -0.4,      6.594005, ,          -0.4,      6.502368, ,          -0.4,      6.350895, ,          -0.4,      4.437423, ,          -0.4,      4.416039, ,          -0.4,      4.374834, ,          -0.4,      4.363185, ,          -0.4,      4.338429, ,          -0.4,       4.31288, ,          -0.4,       4.30217, ,          -0.4,      4.274141, ,          -0.4,      4.259853, ,          -0.4,      4.251899, ,          -0.4,      4.247084, ,          -0.4,      6.095582, ,          -0.4,      5.655366, ,          -0.4,      5.581915, ,          -0.4,      5.402118, ,          -0.4,      5.217038, ,          -0.4,      5.159733, , 
         -0.2,      4.934685, ,          -0.2,      4.852444, ,          -0.2,      4.752794, ,          -0.2,      4.571109, ,          -0.2,      4.454467, ,          -0.2,      6.552924, ,          -0.2,      6.461833, ,          -0.2,      6.311262, ,          -0.2,      4.418118, ,          -0.2,      4.396181, ,          -0.2,      4.356354, ,          -0.2,      4.345891, ,          -0.2,      4.323658, ,          -0.2,      4.299801, ,          -0.2,       4.28966, ,          -0.2,      4.263121, ,          -0.2,      4.249519, ,          -0.2,       4.24181, ,          -0.2,      4.237144, ,          -0.2,      6.057473, ,          -0.2,      5.619849, ,          -0.2,      5.546746, ,          -0.2,      5.367801, ,          -0.2,      5.183605, ,          -0.2,      5.126726, , 
            0,      4.908713, ,             0,      4.827548, ,             0,      4.729844, ,             0,      4.552412, ,             0,      4.440722, ,             0,      6.516599, ,             0,      6.426075, ,             0,      6.276443, ,             0,      4.405725, ,             0,      4.384491, ,             0,      4.345343, ,             0,      4.334852, ,             0,      4.312557, ,             0,       4.28924, ,             0,      4.279418, ,             0,      4.253714, ,             0,      4.240578, ,             0,      4.233202, ,             0,      4.228738, ,             0,      6.024237, ,             0,      5.589307, ,             0,      5.516565, ,             0,      5.338504, ,             0,      5.155228, ,             0,      5.098898, , 
          0.2,       4.88771, ,           0.2,      4.807895, ,           0.2,       4.71286, ,           0.2,      4.539722, ,           0.2,      4.430587, ,           0.2,      6.484694, ,           0.2,      6.394754, ,           0.2,      6.246088, ,           0.2,      4.396888, ,           0.2,      4.376564, ,           0.2,      4.338439, ,           0.2,      4.327999, ,           0.2,      4.305812, ,           0.2,      4.282493, ,           0.2,      4.272654, ,           0.2,      4.246903, ,           0.2,      4.233883, ,           0.2,      4.226829, ,           0.2,      4.222559, ,           0.2,      5.995513, ,           0.2,      5.563356, ,           0.2,      5.490983, ,           0.2,      5.313826, ,           0.2,      5.131495, ,           0.2,      5.075789, , 
          0.4,      4.870885, ,           0.4,      4.792474, ,           0.4,      4.700382, ,           0.4,      4.532626, ,           0.4,      4.425543, ,           0.4,      6.457797, ,           0.4,      6.368369, ,           0.4,       6.22055, ,           0.4,      4.392245, ,           0.4,       4.37215, ,           0.4,      4.334201, ,           0.4,      4.323725, ,           0.4,      4.301463, ,           0.4,      4.278593, ,           0.4,      4.269023, ,           0.4,      4.243977, ,           0.4,       4.23144, ,           0.4,      4.224878, ,           0.4,      4.220907, ,           0.4,      5.971405, ,           0.4,      5.541699, ,           0.4,      5.469696, ,           0.4,      5.293446, ,           0.4,      5.112059, ,           0.4,      5.056949, , 
          0.6,      4.857964, ,           0.6,      4.780851, ,           0.6,      4.691613, ,           0.6,      4.529232, ,           0.6,      4.424818, ,           0.6,      6.435661, ,           0.6,      6.346668, ,           0.6,      6.199569, ,           0.6,      4.391706, ,           0.6,      4.371584, ,           0.6,       4.33388, ,           0.6,       4.32357, ,           0.6,      4.301659, ,           0.6,      4.279793, ,           0.6,      4.270742, ,           0.6,      4.247054, ,           0.6,       4.23523, ,           0.6,      4.229102, ,           0.6,      4.225393, ,           0.6,      5.951637, ,           0.6,      5.524056, ,           0.6,      5.452467, ,           0.6,      5.277229, ,           0.6,      5.096893, ,           0.6,      5.042296, , 
          0.8,      4.849228, ,           0.8,      4.773268, ,           0.8,      4.686207, ,           0.8,      4.528765, ,           0.8,      4.426291, ,           0.8,      6.417973, ,           0.8,      6.329352, ,           0.8,      6.182869, ,           0.8,      4.393817, ,           0.8,      4.374145, ,           0.8,      4.337153, ,           0.8,      4.326992, ,           0.8,      4.305399, ,           0.8,      4.285002, ,           0.8,      4.276743, ,           0.8,      4.255128, ,           0.8,      4.244108, ,           0.8,       4.23797, ,           0.8,      4.234255, ,           0.8,      5.935978, ,           0.8,      5.510254, ,           0.8,      5.439099, ,           0.8,      5.264925, ,           0.8,      5.085692, ,           0.8,      5.031658, , 
