Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.6739795, , 
         -0.8,     0.6891443, , 
         -0.6,     0.7042946, , 
         -0.4,     0.7194299, , 
         -0.2,     0.7345498, , 
            0,      0.749654, , 
          0.2,      0.764742, , 
          0.4,     0.7798135, , 
          0.6,     0.7948681, , 
          0.8,     0.8099053, , 
            1,     0.8249249, , 
          1.2,     0.8399264, , 
          1.4,     0.8549094, , 
          1.6,     0.8698736, , 
          1.8,     0.8848185, , 
            2,     0.8997439, , 
          2.2,     0.9146492, , 
          2.4,     0.9295342, , 
          2.6,     0.9443985, , 
          2.8,     0.9592416, , 
            3,     0.9740632, , 
          3.2,      0.988863, , 
          3.4,      1.003641, , 
          3.6,      1.018396, , 
          3.8,      1.033127, , 
            4,      1.047836, , 
          4.2,      1.062521, , 
          4.4,      1.077182, , 
          4.6,      1.091818, , 
          4.8,       1.10643, , 
            5,      1.121016, , 
          5.2,      1.135577, , 
          5.4,      1.150112, , 
          5.6,      1.164621, , 

