Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.4920747, ,            -1,     0.4920747, ,            -1,     0.4920747, ,            -1,     0.4920747, ,            -1,     0.4920747, , 
         -0.8,     0.5024412, ,          -0.8,     0.5024412, ,          -0.8,     0.5024412, ,          -0.8,     0.5024412, ,          -0.8,     0.5024412, , 
         -0.6,     0.5127943, ,          -0.6,     0.5127943, ,          -0.6,     0.5127943, ,          -0.6,     0.5127943, ,          -0.6,     0.5127943, , 
         -0.4,     0.5231337, ,          -0.4,     0.5231337, ,          -0.4,     0.5231337, ,          -0.4,     0.5231337, ,          -0.4,     0.5231337, , 
         -0.2,     0.5334588, ,          -0.2,     0.5334588, ,          -0.2,     0.5334588, ,          -0.2,     0.5334588, ,          -0.2,     0.5334588, , 
            0,     0.5437695, ,             0,     0.5437695, ,             0,     0.5437695, ,             0,     0.5437695, ,             0,     0.5437695, , 
          0.2,     0.5540653, ,           0.2,     0.5540653, ,           0.2,     0.5540653, ,           0.2,     0.5540653, ,           0.2,     0.5540653, , 
          0.4,     0.5643459, ,           0.4,     0.5643459, ,           0.4,     0.5643459, ,           0.4,     0.5643459, ,           0.4,     0.5643459, , 
          0.6,     0.5746109, ,           0.6,     0.5746109, ,           0.6,     0.5746109, ,           0.6,     0.5746109, ,           0.6,     0.5746109, , 
          0.8,     0.5848599, ,           0.8,     0.5848599, ,           0.8,     0.5848599, ,           0.8,     0.5848599, ,           0.8,     0.5848599, , 
            1,     0.5950928, ,             1,     0.5950928, ,             1,     0.5950928, ,             1,     0.5950928, ,             1,     0.5950928, , 
          1.2,      0.605309, ,           1.2,      0.605309, ,           1.2,      0.605309, ,           1.2,      0.605309, ,           1.2,      0.605309, , 
          1.4,     0.6155082, ,           1.4,     0.6155082, ,           1.4,     0.6155082, ,           1.4,     0.6155082, ,           1.4,     0.6155082, , 
          1.6,     0.6256901, ,           1.6,     0.6256901, ,           1.6,     0.6256901, ,           1.6,     0.6256901, ,           1.6,     0.6256901, , 
          1.8,     0.6358544, ,           1.8,     0.6358544, ,           1.8,     0.6358544, ,           1.8,     0.6358544, ,           1.8,     0.6358544, , 
            2,     0.6460007, ,             2,     0.6460007, ,             2,     0.6460007, ,             2,     0.6460007, ,             2,     0.6460007, , 
