Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.6838424, ,            -1,     0.6838424, ,            -1,     0.6838424, ,            -1,     0.6838424, ,            -1,     0.6838424, ,            -1,     0.6838424, ,            -1,     0.6838424, ,            -1,     0.6838424, ,            -1,     0.6838424, , 
         -0.8,     0.6992684, ,          -0.8,     0.6992684, ,          -0.8,     0.6992684, ,          -0.8,     0.6992684, ,          -0.8,     0.6992684, ,          -0.8,     0.6992684, ,          -0.8,     0.6992684, ,          -0.8,     0.6992684, ,          -0.8,     0.6992684, , 
         -0.6,     0.7146798, ,          -0.6,     0.7146798, ,          -0.6,     0.7146798, ,          -0.6,     0.7146798, ,          -0.6,     0.7146798, ,          -0.6,     0.7146798, ,          -0.6,     0.7146798, ,          -0.6,     0.7146798, ,          -0.6,     0.7146798, , 
         -0.4,     0.7300763, ,          -0.4,     0.7300763, ,          -0.4,     0.7300763, ,          -0.4,     0.7300763, ,          -0.4,     0.7300763, ,          -0.4,     0.7300763, ,          -0.4,     0.7300763, ,          -0.4,     0.7300763, ,          -0.4,     0.7300763, , 
         -0.2,     0.7454574, ,          -0.2,     0.7454574, ,          -0.2,     0.7454574, ,          -0.2,     0.7454574, ,          -0.2,     0.7454574, ,          -0.2,     0.7454574, ,          -0.2,     0.7454574, ,          -0.2,     0.7454574, ,          -0.2,     0.7454574, , 
            0,     0.7608228, ,             0,     0.7608228, ,             0,     0.7608228, ,             0,     0.7608228, ,             0,     0.7608228, ,             0,     0.7608228, ,             0,     0.7608228, ,             0,     0.7608228, ,             0,     0.7608228, , 
          0.2,      0.776172, ,           0.2,      0.776172, ,           0.2,      0.776172, ,           0.2,      0.776172, ,           0.2,      0.776172, ,           0.2,      0.776172, ,           0.2,      0.776172, ,           0.2,      0.776172, ,           0.2,      0.776172, , 
          0.4,     0.7915048, ,           0.4,     0.7915048, ,           0.4,     0.7915048, ,           0.4,     0.7915048, ,           0.4,     0.7915048, ,           0.4,     0.7915048, ,           0.4,     0.7915048, ,           0.4,     0.7915048, ,           0.4,     0.7915048, , 
          0.6,     0.8068206, ,           0.6,     0.8068206, ,           0.6,     0.8068206, ,           0.6,     0.8068206, ,           0.6,     0.8068206, ,           0.6,     0.8068206, ,           0.6,     0.8068206, ,           0.6,     0.8068206, ,           0.6,     0.8068206, , 
          0.8,     0.8221191, ,           0.8,     0.8221191, ,           0.8,     0.8221191, ,           0.8,     0.8221191, ,           0.8,     0.8221191, ,           0.8,     0.8221191, ,           0.8,     0.8221191, ,           0.8,     0.8221191, ,           0.8,     0.8221191, , 
            1,        0.8374, ,             1,        0.8374, ,             1,        0.8374, ,             1,        0.8374, ,             1,        0.8374, ,             1,        0.8374, ,             1,        0.8374, ,             1,        0.8374, ,             1,        0.8374, , 
          1.2,     0.8526628, ,           1.2,     0.8526628, ,           1.2,     0.8526628, ,           1.2,     0.8526628, ,           1.2,     0.8526628, ,           1.2,     0.8526628, ,           1.2,     0.8526628, ,           1.2,     0.8526628, ,           1.2,     0.8526628, , 
          1.4,     0.8679072, ,           1.4,     0.8679072, ,           1.4,     0.8679072, ,           1.4,     0.8679072, ,           1.4,     0.8679072, ,           1.4,     0.8679072, ,           1.4,     0.8679072, ,           1.4,     0.8679072, ,           1.4,     0.8679072, , 
          1.6,     0.8831327, ,           1.6,     0.8831327, ,           1.6,     0.8831327, ,           1.6,     0.8831327, ,           1.6,     0.8831327, ,           1.6,     0.8831327, ,           1.6,     0.8831327, ,           1.6,     0.8831327, ,           1.6,     0.8831327, , 
          1.8,      0.898339, ,           1.8,      0.898339, ,           1.8,      0.898339, ,           1.8,      0.898339, ,           1.8,      0.898339, ,           1.8,      0.898339, ,           1.8,      0.898339, ,           1.8,      0.898339, ,           1.8,      0.898339, , 
