Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      13.84793, ,            -1,      14.20023, ,            -1,      14.88547, ,            -1,      15.35363, ,            -1,      9.939886, ,            -1,      10.20869, ,            -1,      15.50373, ,            -1,      15.77053, ,            -1,       15.8192, ,            -1,      15.92365, ,            -1,      16.07826, ,            -1,      16.19967, ,            -1,      16.26278, ,            -1,      16.29909, ,            -1,      10.69585, ,            -1,      11.65428, ,            -1,      12.29328, ,            -1,      12.80606, ,            -1,      12.97356, , 
         -0.8,      13.98501, ,          -0.8,      14.33156, ,          -0.8,      15.00477, ,          -0.8,      15.46418, ,          -0.8,       10.0319, ,          -0.8,      10.30371, ,          -0.8,      15.61455, ,          -0.8,      15.88308, ,          -0.8,      15.93156, ,          -0.8,      16.03558, ,          -0.8,      16.18591, ,          -0.8,      16.30323, ,          -0.8,      16.36318, ,          -0.8,      16.39581, ,          -0.8,      10.79638, ,          -0.8,        11.766, ,          -0.8,      12.41349, ,          -0.8,      12.93324, ,          -0.8,      13.10274, , 
         -0.6,      14.10479, ,          -0.6,      14.44493, ,          -0.6,       15.1018, ,          -0.6,      15.55636, ,          -0.6,      10.11515, ,          -0.6,      10.38956, ,          -0.6,      15.70473, ,          -0.6,      15.96948, ,          -0.6,      16.01772, ,          -0.6,       16.1212, ,          -0.6,      16.26527, ,          -0.6,       16.3766, ,          -0.6,      16.43361, ,          -0.6,      16.46494, ,          -0.6,      10.88699, ,          -0.6,      11.86621, ,          -0.6,      12.52053, ,          -0.6,      13.04587, ,          -0.6,      13.21693, , 
         -0.4,      14.20423, ,          -0.4,      14.53748, ,          -0.4,      15.18018, ,          -0.4,      15.62618, ,          -0.4,      10.18809, ,          -0.4,      10.46497, ,          -0.4,      15.77273, ,          -0.4,      16.02692, ,          -0.4,      16.06979, ,          -0.4,      16.16165, ,          -0.4,      16.29961, ,          -0.4,      16.40814, ,          -0.4,      16.46402, ,          -0.4,       16.4953, ,          -0.4,      10.96693, ,          -0.4,      11.95519, ,          -0.4,      12.61478, ,          -0.4,      13.14434, ,          -0.4,      13.31594, , 
         -0.2,      14.28332, ,          -0.2,      14.61157, ,          -0.2,      15.23891, ,          -0.2,      15.67235, ,          -0.2,      10.25325, ,          -0.2,      10.53214, ,          -0.2,      15.81445, ,          -0.2,      16.06336, ,          -0.2,      16.10661, ,          -0.2,       16.1993, ,          -0.2,      16.33219, ,          -0.2,      16.43553, ,          -0.2,       16.4889, ,          -0.2,       16.5191, ,          -0.2,      11.03779, ,          -0.2,      12.03327, ,          -0.2,      12.69648, ,          -0.2,      13.22883, ,          -0.2,      13.39982, , 
            0,      14.34244, ,             0,      14.66199, ,             0,      15.27967, ,             0,      15.70044, ,             0,      10.30942, ,             0,      10.59008, ,             0,      15.83456, ,             0,      16.07093, ,             0,      16.11356, ,             0,      16.20489, ,             0,      16.33984, ,             0,      16.44557, ,             0,      16.49929, ,             0,      16.52806, ,             0,      11.09896, ,             0,       12.1007, ,             0,      12.76621, ,             0,      13.30024, ,             0,      13.46961, , 
          0.2,      14.38633, ,           0.2,      14.69765, ,           0.2,      15.29922, ,           0.2,      15.71279, ,           0.2,      10.35717, ,           0.2,      10.63936, ,           0.2,      15.84743, ,           0.2,       16.0863, ,           0.2,      16.12926, ,           0.2,      16.22132, ,           0.2,       16.3503, ,           0.2,      16.44999, ,           0.2,      16.50068, ,           0.2,      16.52795, ,           0.2,      11.15106, ,           0.2,      12.15817, ,           0.2,        12.825, ,           0.2,      13.35986, ,           0.2,        13.527, , 
          0.4,      14.41766, ,           0.4,      14.72041, ,           0.4,      15.30483, ,           0.4,       15.7081, ,           0.4,      10.39654, ,           0.4,      10.68009, ,           0.4,      15.84203, ,           0.4,      16.08005, ,           0.4,      16.12222, ,           0.4,      16.21257, ,           0.4,      16.33786, ,           0.4,      16.43441, ,           0.4,      16.48337, ,           0.4,      16.50949, ,           0.4,      11.19429, ,           0.4,       12.2061, ,           0.4,      12.87346, ,           0.4,       13.4085, ,           0.4,      13.57314, , 
          0.6,      14.43772, ,           0.6,      14.73203, ,           0.6,      15.29927, ,           0.6,      15.69623, ,           0.6,      10.42787, ,           0.6,       10.7126, ,           0.6,       15.8277, ,           0.6,      16.06068, ,           0.6,      16.10205, ,           0.6,      16.19067, ,           0.6,      16.31307, ,           0.6,      16.40728, ,           0.6,      16.45472, ,           0.6,       16.4794, ,           0.6,      11.22899, ,           0.6,      12.24488, ,           0.6,      12.91167, ,           0.6,      13.44598, ,           0.6,      13.60809, , 
          0.8,      14.44748, ,           0.8,      14.73374, ,           0.8,      15.28719, ,           0.8,      15.67479, ,           0.8,      10.45139, ,           0.8,      10.73717, ,           0.8,      15.80308, ,           0.8,      16.03096, ,           0.8,      16.07166, ,           0.8,      16.15885, ,           0.8,      16.27632, ,           0.8,      16.36611, ,           0.8,      16.41163, ,           0.8,      16.43592, ,           0.8,      11.25553, ,           0.8,        12.275, ,           0.8,      12.94033, ,           0.8,      13.47315, ,           0.8,       13.6327, , 
