Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.5213538, , 
         -0.8,     0.5324875, , 
         -0.6,     0.5436074, , 
         -0.4,     0.5547131, , 
         -0.2,     0.5658043, , 
            0,     0.5768806, , 
          0.2,     0.5879416, , 
          0.4,      0.598987, , 
          0.6,     0.6100164, , 
          0.8,     0.6210294, , 
            1,     0.6320257, , 
          1.2,     0.6430049, , 
          1.4,     0.6539667, , 
          1.6,     0.6649107, , 
          1.8,     0.6758365, , 
            2,     0.6867438, , 
          2.2,     0.6976323, , 
          2.4,     0.7085015, , 
          2.6,     0.7193511, , 
          2.8,     0.7301808, , 
            3,     0.7409903, , 
          3.2,     0.7517791, , 
          3.4,      0.762547, , 
          3.6,     0.7732935, , 
          3.8,     0.7840184, , 
            4,     0.7947213, , 
          4.2,     0.8054019, , 
          4.4,     0.8160598, , 
          4.6,     0.8266947, , 
          4.8,     0.8373062, , 
            5,     0.8478941, , 
          5.2,      0.858458, , 
          5.4,     0.8689975, , 
          5.6,     0.8795124, , 
          5.8,     0.8900023, , 
            6,     0.9004669, , 
          6.2,     0.9109058, , 
          6.4,     0.9213189, , 

