Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.3711548, , 
         -0.8,     0.3784143, , 
         -0.6,     0.3856624, , 
         -0.4,      0.392899, , 
         -0.2,     0.4001237, , 
            0,     0.4073363, , 
          0.2,     0.4145365, , 
          0.4,     0.4217239, , 
          0.6,     0.4288983, , 
          0.8,     0.4360595, , 
            1,     0.4432072, , 
          1.2,      0.450341, , 
          1.4,     0.4574607, , 
          1.6,     0.4645661, , 
          1.8,     0.4716568, , 
            2,     0.4787326, , 
          2.2,     0.4857932, , 
          2.4,     0.4928384, , 
          2.6,     0.4998678, , 
          2.8,     0.5068813, , 
            3,     0.5138785, , 
          3.2,     0.5208591, , 
          3.4,      0.527823, , 
          3.6,     0.5347699, , 
          3.8,     0.5416994, , 
            4,     0.5486114, , 
          4.2,     0.5555055, , 
          4.4,     0.5623816, , 
          4.6,     0.5692393, , 
          4.8,     0.5760784, , 
            5,     0.5828987, , 
          5.2,        0.5897, , 
          5.4,     0.5964818, , 
          5.6,     0.6032441, , 
          5.8,     0.6099866, , 
            6,     0.6167089, , 
          6.2,      0.623411, , 
          6.4,     0.6300925, , 
          6.6,     0.6367532, , 
          6.8,     0.6433929, , 
            7,     0.6500113, , 
          7.2,     0.6566082, , 
          7.4,     0.6631833, , 
          7.6,     0.6697365, , 
          7.8,     0.6762675, , 
            8,     0.6827761, , 
          8.2,      0.689262, , 
          8.4,      0.695725, , 
          8.6,      0.702165, , 
          8.8,     0.7085817, , 
            9,     0.7149748, , 
          9.2,     0.7213442, , 
          9.4,     0.7276896, , 
          9.6,     0.7340108, , 
          9.8,     0.7403077, , 
           10,       0.74658, , 
         10.2,     0.7528275, , 
         10.4,       0.75905, , 
         10.6,     0.7652473, , 
         10.8,     0.7714192, , 
           11,     0.7775655, , 
         11.2,      0.783686, , 
         11.4,     0.7897805, , 
         11.6,     0.7958489, , 
         11.8,     0.8018909, , 
           12,     0.8079063, , 

