Alpha,T1-15.8 m/s-VLM2, , 
           -1,      3.488049, , 
         -0.8,      3.461254, , 
         -0.6,      3.441332, , 
         -0.4,       3.42652, , 
         -0.2,      3.415416, , 
            0,      3.406999, , 
          0.2,      3.401402, , 
          0.4,      3.398175, , 
          0.6,       3.39774, , 
          0.8,      3.400178, , 
            1,      3.405069, , 
          1.2,        3.4124, , 
          1.4,      3.421597, , 
          1.6,      3.433016, , 
          1.8,       3.44613, , 
            2,      3.459799, , 
          2.2,      3.476026, , 
          2.4,      3.493143, , 
          2.6,      3.511326, , 
          2.8,      3.530513, , 
            3,      3.550605, , 
          3.2,      3.571445, , 
          3.4,      3.593065, , 
          3.6,       3.61545, , 
          3.8,      3.638566, , 
            4,      3.662378, , 
          4.2,      3.686863, , 
          4.4,      3.711982, , 
          4.6,      3.737681, , 
          4.8,      3.764467, , 
            5,      3.792263, , 
          5.2,      3.819865, , 
          5.4,      3.848799, , 
          5.6,      3.878362, , 
          5.8,      3.908529, , 
            6,      3.939317, , 
          6.2,      3.970577, , 
          6.4,       4.00234, , 
          6.6,      4.034576, , 
          6.8,       4.06728, , 
            7,      4.100487, , 
          7.2,      4.134182, , 
          7.4,      4.168342, , 
          7.6,      4.203097, , 
          7.8,       4.23842, , 
            8,      4.274366, , 
          8.2,      4.310982, , 
          8.4,      4.348368, , 
          8.6,      4.386621, , 
          8.8,      4.425931, , 
            9,      4.466503, , 
          9.2,      4.508758, , 
          9.4,      4.553352, , 
          9.6,      4.603186, , 
          9.8,      4.663409, , 

