Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, ,             1,      0.655756, , 
          1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, ,           1.2,     0.6557637, , 
          1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, ,           1.4,     0.6557662, , 
          1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, ,           1.6,      0.655764, , 
          1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, ,           1.8,     0.6557575, , 
            2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, ,             2,     0.6557469, , 
          2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, ,           2.2,     0.6557326, , 
          2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, ,           2.4,     0.6557149, , 
          2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, ,           2.6,     0.6556942, , 
          2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, ,           2.8,     0.6556707, , 
            3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, ,             3,     0.6556446, , 
          3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, ,           3.2,     0.6556161, , 
          3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, ,           3.4,     0.6555856, , 
          3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, ,           3.6,     0.6555531, , 
          3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, ,           3.8,      0.655519, , 
            4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, ,             4,     0.6554833, , 
          4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, ,           4.2,     0.6554463, , 
          4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, ,           4.4,     0.6554081, , 
          4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, ,           4.6,     0.6553688, , 
          4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, ,           4.8,     0.6553287, , 
            5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, ,             5,     0.6552878, , 
          5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, ,           5.2,     0.6552463, , 
          5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, ,           5.4,     0.6552043, , 
          5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, ,           5.6,      0.655162, , 
          5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, ,           5.8,     0.6551193, , 

