Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      9.701989, ,            -1,      10.22854, ,            -1,      10.51507, ,            -1,      10.65868, ,            -1,      10.81035, ,            -1,      10.89498, ,            -1,      8.009316, ,            -1,      8.572093, ,            -1,      9.183768, , 
         -0.8,      9.814685, ,          -0.8,       10.3598, ,          -0.8,      10.67082, ,          -0.8,      10.82229, ,          -0.8,      10.97101, ,          -0.8,      11.05115, ,          -0.8,      8.083833, ,          -0.8,      8.652777, ,          -0.8,      9.278221, , 
         -0.6,      9.911967, ,          -0.6,       10.4712, ,          -0.6,      10.79884, ,          -0.6,      10.95821, ,          -0.6,      11.10791, ,          -0.6,      11.18715, ,          -0.6,      8.151996, ,          -0.6,      8.725641, ,          -0.6,      9.362557, , 
         -0.4,      9.995615, ,          -0.4,      10.56262, ,          -0.4,      10.89599, ,          -0.4,      11.06052, ,          -0.4,      11.21099, ,          -0.4,      11.28969, ,          -0.4,      8.213036, ,          -0.4,      8.790901, ,          -0.4,      9.437243, , 
         -0.2,      10.06812, ,          -0.2,      10.63807, ,          -0.2,      10.96932, ,          -0.2,      11.13388, ,          -0.2,      11.28631, ,          -0.2,      11.36362, ,          -0.2,      8.267575, ,          -0.2,      8.848781, ,          -0.2,      9.502678, , 
            0,      10.12991, ,             0,      10.69883, ,             0,       11.0294, ,             0,      11.19307, ,             0,      11.34125, ,             0,      11.41666, ,             0,       8.31592, ,             0,      8.899618, ,             0,      9.559392, , 
          0.2,      10.18143, ,           0.2,      10.74214, ,           0.2,      11.07149, ,           0.2,      11.23797, ,           0.2,      11.37973, ,           0.2,      11.44888, ,           0.2,      8.357867, ,           0.2,      8.943766, ,           0.2,      9.607924, , 
          0.4,      10.22366, ,           0.4,      10.78042, ,           0.4,      11.09901, ,           0.4,      11.26147, ,           0.4,      11.40401, ,           0.4,      11.47403, ,           0.4,       8.39449, ,           0.4,      8.981595, ,           0.4,      9.648893, , 
          0.6,      10.25788, ,           0.6,      10.80419, ,           0.6,      11.12487, ,           0.6,      11.28709, ,           0.6,      11.42609, ,           0.6,      11.49291, ,           0.6,      8.425746, ,           0.6,      9.013226, ,           0.6,      9.682649, , 
          0.8,      10.28395, ,           0.8,      10.81899, ,           0.8,       11.1368, ,           0.8,      11.29622, ,           0.8,      11.42418, ,           0.8,      11.48475, ,           0.8,      8.450898, ,           0.8,      9.039062, ,           0.8,      9.709372, , 
            1,      10.30144, ,             1,      10.82562, ,             1,      11.13477, ,             1,      11.28911, ,             1,      11.41282, ,             1,      11.47158, ,             1,      8.471746, ,             1,      9.059428, ,             1,      9.729547, , 
          1.2,      10.31007, ,           1.2,      10.82579, ,           1.2,      11.12269, ,           1.2,       11.2739, ,           1.2,      11.39497, ,           1.2,      11.45197, ,           1.2,       8.48749, ,           1.2,      9.074553, ,           1.2,      9.743685, , 
          1.4,      10.31156, ,           1.4,      10.81472, ,           1.4,       11.1069, ,           1.4,      11.25137, ,           1.4,      11.37303, ,           1.4,      11.43171, ,           1.4,      8.499088, ,           1.4,      9.084791, ,           1.4,      9.752055, , 
          1.6,      10.30713, ,           1.6,      10.79664, ,           1.6,      11.08327, ,           1.6,      11.22884, ,           1.6,      11.34751, ,           1.6,      11.40296, ,           1.6,      8.506063, ,           1.6,      9.090236, ,           1.6,      9.754722, , 
          1.8,      10.29725, ,           1.8,      10.77292, ,           1.8,      11.05262, ,           1.8,      11.19634, ,           1.8,      11.31141, ,           1.8,        11.364, ,           1.8,      8.509172, ,           1.8,      9.091219, ,           1.8,      9.752264, , 
            2,      10.28208, ,             2,      10.74472, ,             2,      11.01792, ,             2,      11.15941, ,             2,       11.2696, ,             2,      11.31862, ,             2,      8.508105, ,             2,      9.088039, ,             2,      9.744986, , 
          2.2,      10.26143, ,           2.2,      10.71104, ,           2.2,      10.97915, ,           2.2,      11.11515, ,           2.2,      11.22013, ,           2.2,      11.26798, ,           2.2,      8.503352, ,           2.2,      9.080964, ,           2.2,      9.733299, , 
          2.4,        10.236, ,           2.4,      10.67407, ,           2.4,      10.93419, ,           2.4,      11.06713, ,           2.4,       11.1681, ,           2.4,      11.21245, ,           2.4,      8.495035, ,           2.4,      9.070212, ,           2.4,      9.717256, , 
          2.6,      10.20574, ,           2.6,      10.63516, ,           2.6,      10.88539, ,           2.6,      11.01471, ,           2.6,      11.11051, ,           2.6,      11.15113, ,           2.6,      8.483369, ,           2.6,      9.056023, ,           2.6,      9.697153, , 
          2.8,        10.171, ,           2.8,       10.5893, ,           2.8,       10.8355, ,           2.8,      10.95652, ,           2.8,      11.04875, ,           2.8,      11.09015, ,           2.8,      8.468751, ,           2.8,      9.038517, ,           2.8,      9.673286, , 
            3,      10.13267, ,             3,      10.53956, ,             3,       10.7798, ,             3,      10.90051, ,             3,       10.9888, ,             3,      11.02667, ,             3,       8.45087, ,             3,      9.017967, ,             3,      9.645996, , 
          3.2,      10.09089, ,           3.2,       10.4896, ,           3.2,      10.71959, ,           3.2,      10.83708, ,           3.2,      10.92351, ,           3.2,      10.96075, ,           3.2,      8.430427, ,           3.2,      8.994574, ,           3.2,      9.615497, , 
          3.4,      10.04621, ,           3.4,      10.43435, ,           3.4,      10.66225, ,           3.4,      10.77681, ,           3.4,      10.86185, ,           3.4,      10.89892, ,           3.4,      8.407438, ,           3.4,      8.968484, ,           3.4,      9.582136, , 
          3.6,      9.999274, ,           3.6,      10.37686, ,           3.6,      10.59897, ,           3.6,      10.71001, ,           3.6,      10.79434, ,           3.6,      10.83175, ,           3.6,      8.381737, ,           3.6,      8.939923, ,           3.6,        9.5462, , 
          3.8,      9.950471, ,           3.8,      10.31761, ,           3.8,       10.5344, ,           3.8,       10.6435, ,           3.8,      10.72625, ,           3.8,      10.76304, ,           3.8,      8.353926, ,           3.8,      8.909081, ,           3.8,      9.507715, , 
            4,      9.900046, ,             4,      10.25701, ,             4,      10.46816, ,             4,      10.57452, ,             4,      10.65604, ,             4,      10.69266, ,             4,       8.32347, ,             4,      8.875992, ,             4,      9.466821, , 
          4.2,      9.848029, ,           4.2,      10.19534, ,           4.2,      10.40093, ,           4.2,      10.50473, ,           4.2,      10.58398, ,           4.2,      10.61934, ,           4.2,      8.289514, ,           4.2,      8.840898, ,           4.2,      9.423819, , 
          4.4,      9.794517, ,           4.4,      10.13283, ,           4.4,      10.33292, ,           4.4,      10.43499, ,           4.4,      10.51141, ,           4.4,      10.54419, ,           4.4,      8.252536, ,           4.4,      8.803935, ,           4.4,      9.378909, , 
          4.6,      9.739566, ,           4.6,      10.06969, ,           4.6,      10.26451, ,           4.6,      10.36493, ,           4.6,      10.44014, ,           4.6,      10.47221, ,           4.6,      8.213634, ,           4.6,      8.765263, ,           4.6,      9.332307, , 
          4.8,       9.68293, ,           4.8,       10.0049, ,           4.8,      10.19525, ,           4.8,      10.29238, ,           4.8,      10.36389, ,           4.8,      10.39519, ,           4.8,      8.172285, ,           4.8,      8.724979, ,           4.8,       9.28416, , 
            5,      9.625198, ,             5,      9.938637, ,             5,      10.12456, ,             5,      10.21962, ,             5,      10.28877, ,             5,      10.31838, ,             5,      8.128546, ,             5,      8.683262, ,             5,      9.234653, , 
          5.2,      9.566404, ,           5.2,      9.873624, ,           5.2,      10.05308, ,           5.2,      10.14582, ,           5.2,      10.21293, ,           5.2,      10.24143, ,           5.2,       8.08291, ,           5.2,      8.640173, ,           5.2,      9.183923, , 
          5.4,      9.506763, ,           5.4,      9.807345, ,           5.4,      9.985137, ,           5.4,      10.07572, ,           5.4,      10.14142, ,           5.4,       10.1694, ,           5.4,      8.035139, ,           5.4,      8.595728, ,           5.4,      9.132107, , 
          5.6,      9.446508, ,           5.6,      9.740566, ,           5.6,      9.914229, ,           5.6,      10.00183, ,           5.6,      10.06718, ,           5.6,      10.09559, ,           5.6,      7.984714, ,           5.6,      8.550092, ,           5.6,      9.079422, , 
          5.8,      9.385855, ,           5.8,       9.67357, ,           5.8,      9.843887, ,           5.8,      9.930421, ,           5.8,      9.994254, ,           5.8,      10.02189, ,           5.8,       7.93207, ,           5.8,      8.503432, ,           5.8,      9.026009, , 
            6,      9.324949, ,             6,      9.606467, ,             6,      9.773089, ,             6,      9.857687, ,             6,      9.920599, ,             6,      9.948038, ,             6,      7.876399, ,             6,      8.455776, ,             6,      8.971933, , 
          6.2,      9.263834, ,           6.2,      9.539373, ,           6.2,       9.70238, ,           6.2,      9.785119, ,           6.2,      9.847141, ,           6.2,      9.874407, ,           6.2,      7.817344, ,           6.2,      8.407261, ,           6.2,      8.917323, , 
          6.4,      9.202726, ,           6.4,      9.472549, ,           6.4,      9.631902, ,           6.4,      9.712874, ,           6.4,      9.774028, ,           6.4,      9.801098, ,           6.4,      7.754123, ,           6.4,      8.357923, ,           6.4,      8.862261, , 
          6.6,      9.141574, ,           6.6,      9.405897, ,           6.6,      9.561722, ,           6.6,      9.640987, ,           6.6,      9.701321, ,           6.6,      9.728209, ,           6.6,      7.683864, ,           6.6,      8.307811, ,           6.6,      8.806767, , 
          6.8,      9.080466, ,           6.8,      9.339492, ,           6.8,       9.49189, ,           6.8,      9.569476, ,           6.8,      9.629064, ,           6.8,      9.655819, ,           6.8,      7.599467, ,           6.8,       8.25702, ,           6.8,      8.750942, , 
            7,      9.019449, ,             7,      9.273388, ,             7,      9.422488, ,             7,      9.498536, ,             7,      9.557303, ,             7,      9.583751, ,             7,      7.365064, ,             7,      8.205583, ,             7,       8.69482, , 
          7.2,      8.958528, ,           7.2,      9.207608, ,           7.2,       9.35356, ,           7.2,      9.428401, ,           7.2,      9.486371, ,           7.2,      9.512248, ,           7.2,      7.123201, ,           7.2,      8.153536, ,           7.2,      8.638477, , 
          7.4,      8.897762, ,           7.4,      9.142186, ,           7.4,      9.285215, ,           7.4,      9.358916, ,           7.4,      9.415971, ,           7.4,      9.441279, ,           7.4,      6.946239, ,           7.4,      8.100939, ,           7.4,      8.581942, , 
