Alpha,T1-15.8 m/s-VLM2, , 
            0,      1.845455, , 
          0.2,      1.820167, , 
          0.4,      1.796036, , 
          0.6,      1.772791, , 
          0.8,       1.75087, , 
            1,      1.730034, , 
          1.2,      1.710382, , 
          1.4,      1.691979, , 
          1.6,       1.67527, , 
          1.8,      1.659912, , 
            2,      1.645943, , 
          2.2,      1.633622, , 
          2.4,      1.622933, , 
          2.6,      1.613373, , 
          2.8,      1.604386, , 
            3,      1.596511, , 
          3.2,      1.589609, , 
          3.4,      1.583487, , 
          3.6,      1.577989, , 
          3.8,       1.57309, , 
            4,      1.569062, , 
          4.2,      1.565524, , 
          4.4,      1.561768, , 
          4.6,       1.55888, , 
          4.8,      1.556365, , 
            5,      1.554168, , 
          5.2,      1.552575, , 
          5.4,      1.550947, , 
          5.6,      1.550113, , 
          5.8,      1.549607, , 
            6,      1.548996, , 
          6.2,      1.548922, , 
          6.4,      1.549085, , 
          6.6,      1.549492, , 
          6.8,      1.550167, , 
            7,      1.551044, , 
          7.2,      1.552199, , 
          7.4,      1.553625, , 
          7.6,      1.555194, , 
          7.8,      1.556988, , 
            8,      1.558992, , 
          8.2,      1.561194, , 
          8.4,      1.563568, , 
          8.6,      1.566106, , 
          8.8,        1.5688, , 
            9,      1.571641, , 

