Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      1.552302, ,            -1,      1.424801, ,            -1,      1.874621, , 
         -0.8,      1.478422, ,          -0.8,      1.360049, ,          -0.8,      1.777763, , 
         -0.6,      1.414247, ,          -0.6,      1.303945, ,          -0.6,      1.693352, , 
         -0.4,      1.358228, ,          -0.4,      1.255035, ,          -0.4,      1.619389, , 
         -0.2,      1.309121, ,          -0.2,       1.21224, ,          -0.2,      1.554337, , 
            0,       1.26591, ,             0,      1.174673, ,             0,      1.496869, , 
          0.2,      1.227766, ,           0.2,      1.141609, ,           0.2,       1.44592, , 
          0.4,      1.193995, ,           0.4,      1.112417, ,           0.4,      1.400619, , 
          0.6,      1.164015, ,           0.6,      1.086574, ,           0.6,      1.360206, , 
          0.8,      1.137363, ,           0.8,      1.063653, ,           0.8,      1.324097, , 
            1,      1.113668, ,             1,      1.043336, ,             1,      1.291797, , 
          1.2,      1.092571, ,           1.2,      1.025301, ,           1.2,      1.262845, , 
          1.4,      1.073734, ,           1.4,      1.009284, ,           1.4,      1.236846, , 
          1.6,       1.05693, ,           1.6,     0.9950015, ,           1.6,      1.213514, , 
          1.8,      1.041921, ,           1.8,     0.9823208, ,           1.8,      1.192554, , 
            2,      1.028623, ,             2,     0.9711491, ,             2,      1.173795, , 
          2.2,      1.016828, ,           2.2,     0.9613017, ,           2.2,      1.157028, , 
          2.4,      1.006443, ,           2.4,     0.9526996, ,           2.4,      1.142117, , 
          2.6,     0.9974966, ,           2.6,     0.9454971, ,           2.6,      1.128964, , 
          2.8,     0.9903712, ,           2.8,     0.9412931, ,           2.8,      1.117602, , 
            3,      0.985659, ,             3,     0.9399029, ,             3,      1.108138, , 
          3.2,     0.9830253, ,           3.2,     0.9409916, ,           3.2,      1.100657, , 
          3.4,     0.9824995, ,           3.4,      0.941568, ,           3.4,      1.095238, , 
          3.6,     0.9834685, ,           3.6,     0.9405969, ,           3.6,      1.091209, , 
          3.8,     0.9851961, ,           3.8,      0.944272, ,           3.8,      1.088659, , 
            4,     0.9910067, ,             4,     0.9483617, ,             4,      1.087915, , 
          4.2,      1.000914, ,           4.2,     0.9562898, ,           4.2,      1.089397, , 
          4.4,      1.014807, ,           4.4,     0.9656945, ,           4.4,      1.093542, , 
          4.6,      1.027123, ,           4.6,     0.9776996, ,           4.6,      1.100871, , 
          4.8,      1.040325, ,           4.8,      0.993382, ,           4.8,      1.111516, , 
            5,      1.056136, ,             5,      1.012225, ,             5,      1.124247, , 
          5.2,      1.072998, ,           5.2,      1.033548, ,           5.2,      1.139818, , 
          5.4,       1.09217, ,           5.4,      1.050472, ,           5.4,      1.157446, , 
          5.6,      1.111786, ,           5.6,       1.06987, ,           5.6,      1.175999, , 
          5.8,      1.133619, ,           5.8,      1.092119, ,           5.8,       1.19688, , 

