Alpha,T1-15.8 m/s-VLM2, , 
           -1,      2.165321, , 
         -0.8,      2.065824, , 
         -0.6,       1.97932, , 
         -0.4,      1.903685, , 
         -0.2,      1.837196, , 
            0,      1.778538, , 
          0.2,      1.726669, , 
          0.4,      1.680649, , 
          0.6,      1.639714, , 
          0.8,      1.603261, , 
            1,      1.570697, , 
          1.2,      1.541606, , 
          1.4,      1.515581, , 
          1.6,      1.492264, , 
          1.8,       1.47139, , 
            2,      1.452728, , 
          2.2,      1.436056, , 
          2.4,      1.421159, , 
          2.6,      1.407882, , 
          2.8,      1.396025, , 
            3,      1.385498, , 
          3.2,      1.376218, , 
          3.4,      1.368014, , 
          3.6,      1.360907, , 
          3.8,       1.35483, , 
            4,      1.349812, , 
          4.2,      1.346266, , 
          4.4,      1.344504, , 
          4.6,      1.344422, , 
          4.8,      1.345762, , 
            5,      1.348569, , 
          5.2,      1.352001, , 
          5.4,      1.355102, , 
          5.6,      1.359193, , 
          5.8,      1.365094, , 
            6,        1.3734, , 
          6.2,      1.383322, , 
          6.4,      1.393991, , 
          6.6,      1.408257, , 
          6.8,      1.422918, , 
            7,      1.437467, , 

