Alpha,T1-15.8 m/s-VLM2, , 
           -3,       10.7874, , 
         -2.8,      10.89766, , 
         -2.6,        11.001, , 
         -2.4,      11.09703, , 
         -2.2,      11.18574, , 
           -2,      11.26698, , 
         -1.8,      11.34051, , 
         -1.6,      11.40611, , 
         -1.4,      11.46368, , 
         -1.2,      11.51319, , 
           -1,      11.55488, , 
         -0.8,      11.58884, , 
         -0.6,      11.61538, , 
         -0.4,      11.63491, , 
         -0.2,       11.6479, , 
            0,      11.65476, , 
          0.2,      11.65594, , 
          0.4,      11.65187, , 
          0.6,      11.64308, , 
          0.8,      11.62978, , 
            1,      11.61224, , 
          1.2,       11.5907, , 
          1.4,      11.56538, , 
          1.6,      11.53653, , 
          1.8,      11.50445, , 
            2,      11.46928, , 
          2.2,      11.43111, , 
          2.4,      11.39014, , 
          2.6,      11.34644, , 
          2.8,      11.30033, , 
            3,      11.25198, , 
          3.2,      11.20121, , 
          3.4,      11.14807, , 
          3.6,      11.09258, , 
          3.8,      11.03474, , 
            4,      10.97436, , 
          4.2,      10.91128, , 
          4.4,      10.84521, , 
          4.6,      10.77623, , 
          4.8,       10.7037, , 
            5,      10.62713, , 
          5.2,       10.5459, , 
          5.4,       10.4592, , 

