Alpha,T1-15.8 m/s-VLM2, , 
           -1,      8.815626, , 
         -0.8,       8.79032, , 
         -0.6,      8.768127, , 
         -0.4,      8.748883, , 
         -0.2,      8.732485, , 
            0,      8.718757, , 
          0.2,      8.707639, , 
          0.4,      8.699007, , 
          0.6,      8.692768, , 
          0.8,      8.688852, , 
            1,      8.687127, , 
          1.2,       8.68758, , 
          1.4,      8.690161, , 
          1.6,      8.694822, , 
          1.8,      8.701475, , 
            2,      8.710059, , 
          2.2,      8.720557, , 
          2.4,      8.732915, , 
          2.6,      8.747131, , 
          2.8,      8.763154, , 
            3,      8.780919, , 
          3.2,      8.800404, , 
          3.4,      8.821535, , 
          3.6,       8.84429, , 
          3.8,      8.868613, , 
            4,      8.894441, , 
          4.2,      8.921722, , 
          4.4,      8.950351, , 
          4.6,      8.980293, , 
          4.8,      9.011466, , 
            5,      9.043814, , 
          5.2,      9.077297, , 
          5.4,      9.111846, , 
          5.6,      9.147389, , 
          5.8,      9.183882, , 
            6,      9.221245, , 
          6.2,       9.25946, , 
          6.4,       9.29847, , 
          6.6,      9.338265, , 
          6.8,      9.378804, , 
            7,      9.420046, , 
          7.2,      9.461985, , 
          7.4,       9.50458, , 
          7.6,      9.547811, , 
          7.8,      9.591631, , 
            8,      9.636007, , 
          8.2,      9.680929, , 
          8.4,      9.726388, , 
          8.6,      9.772355, , 
          8.8,      9.818828, , 
            9,      9.865787, , 
          9.2,      9.913208, , 
          9.4,      9.961067, , 
          9.6,      10.00933, , 
          9.8,      10.05798, , 
           10,      10.10704, , 
         10.2,       10.1565, , 
         10.4,      10.20636, , 
         10.6,      10.25663, , 
         10.8,      10.30728, , 
           11,      10.35832, , 
         11.2,      10.40975, , 
         11.4,      10.46156, , 
         11.6,       10.5138, , 
         11.8,      10.56645, , 
           12,      10.61954, , 

