Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.5998251, ,            -1,     0.5998251, ,            -1,     0.5998251, , 
         -0.8,     0.5995817, ,          -0.8,     0.5995817, ,          -0.8,     0.5995817, , 
         -0.6,      0.599333, ,          -0.6,      0.599333, ,          -0.6,      0.599333, , 
         -0.4,     0.5990791, ,          -0.4,     0.5990791, ,          -0.4,     0.5990791, , 
         -0.2,     0.5988203, ,          -0.2,     0.5988203, ,          -0.2,     0.5988203, , 
            0,     0.5985568, ,             0,     0.5985568, ,             0,     0.5985568, , 
          0.2,     0.5982886, ,           0.2,     0.5982886, ,           0.2,     0.5982886, , 
          0.4,     0.5980159, ,           0.4,     0.5980159, ,           0.4,     0.5980159, , 
          0.6,     0.5977389, ,           0.6,     0.5977389, ,           0.6,     0.5977389, , 
          0.8,     0.5974577, ,           0.8,     0.5974577, ,           0.8,     0.5974577, , 
            1,     0.5971725, ,             1,     0.5971725, ,             1,     0.5971725, , 
          1.2,     0.5968834, ,           1.2,     0.5968834, ,           1.2,     0.5968834, , 
          1.4,     0.5965904, ,           1.4,     0.5965904, ,           1.4,     0.5965904, , 
          1.6,     0.5962937, ,           1.6,     0.5962937, ,           1.6,     0.5962937, , 
          1.8,     0.5959935, ,           1.8,     0.5959935, ,           1.8,     0.5959935, , 
            2,     0.5956897, ,             2,     0.5956897, ,             2,     0.5956897, , 
          2.2,     0.5953825, ,           2.2,     0.5953825, ,           2.2,     0.5953825, , 
          2.4,     0.5950721, ,           2.4,     0.5950721, ,           2.4,     0.5950721, , 
          2.6,     0.5947584, ,           2.6,     0.5947584, ,           2.6,     0.5947584, , 
          2.8,     0.5944416, ,           2.8,     0.5944416, ,           2.8,     0.5944416, , 
            3,     0.5941218, ,             3,     0.5941218, ,             3,     0.5941218, , 
          3.2,      0.593799, ,           3.2,      0.593799, ,           3.2,      0.593799, , 
          3.4,     0.5934733, ,           3.4,     0.5934733, ,           3.4,     0.5934733, , 
          3.6,     0.5931448, ,           3.6,     0.5931448, ,           3.6,     0.5931448, , 
          3.8,     0.5928135, ,           3.8,     0.5928135, ,           3.8,     0.5928135, , 
            4,     0.5924796, ,             4,     0.5924796, ,             4,     0.5924796, , 
          4.2,     0.5921431, ,           4.2,     0.5921431, ,           4.2,     0.5921431, , 
          4.4,     0.5918041, ,           4.4,     0.5918041, ,           4.4,     0.5918041, , 
          4.6,     0.5914626, ,           4.6,     0.5914626, ,           4.6,     0.5914626, , 
          4.8,     0.5911187, ,           4.8,     0.5911187, ,           4.8,     0.5911187, , 
            5,     0.5907724, ,             5,     0.5907724, ,             5,     0.5907724, , 
          5.2,     0.5904238, ,           5.2,     0.5904238, ,           5.2,     0.5904238, , 
          5.4,     0.5900731, ,           5.4,     0.5900731, ,           5.4,     0.5900731, , 
          5.6,     0.5897201, ,           5.6,     0.5897201, ,           5.6,     0.5897201, , 
          5.8,     0.5893651, ,           5.8,     0.5893651, ,           5.8,     0.5893651, , 
            6,     0.5890079, ,             6,     0.5890079, ,             6,     0.5890079, , 
          6.2,     0.5886488, ,           6.2,     0.5886488, ,           6.2,     0.5886488, , 
          6.4,     0.5882877, ,           6.4,     0.5882877, ,           6.4,     0.5882877, , 
          6.6,     0.5879247, ,           6.6,     0.5879247, ,           6.6,     0.5879247, , 
          6.8,     0.5875599, ,           6.8,     0.5875599, ,           6.8,     0.5875599, , 
            7,     0.5871933, ,             7,     0.5871933, ,             7,     0.5871933, , 
          7.2,     0.5868249, ,           7.2,     0.5868249, ,           7.2,     0.5868249, , 
          7.4,     0.5864548, ,           7.4,     0.5864548, ,           7.4,     0.5864548, , 
          7.6,     0.5860831, ,           7.6,     0.5860831, ,           7.6,     0.5860831, , 
          7.8,     0.5857097, ,           7.8,     0.5857097, ,           7.8,     0.5857097, , 
            8,     0.5853348, ,             8,     0.5853348, ,             8,     0.5853348, , 
          8.2,     0.5849584, ,           8.2,     0.5849584, ,           8.2,     0.5849584, , 
          8.4,     0.5845806, ,           8.4,     0.5845806, ,           8.4,     0.5845806, , 
          8.6,     0.5842013, ,           8.6,     0.5842013, ,           8.6,     0.5842013, , 
          8.8,     0.5838207, ,           8.8,     0.5838207, ,           8.8,     0.5838207, , 
            9,     0.5834387, ,             9,     0.5834387, ,             9,     0.5834387, , 
          9.2,     0.5830555, ,           9.2,     0.5830555, ,           9.2,     0.5830555, , 
          9.4,      0.582671, ,           9.4,      0.582671, ,           9.4,      0.582671, , 
          9.6,     0.5822854, ,           9.6,     0.5822854, ,           9.6,     0.5822854, , 
          9.8,     0.5818986, ,           9.8,     0.5818986, ,           9.8,     0.5818986, , 
           10,     0.5815107, ,            10,     0.5815107, ,            10,     0.5815107, , 
         10.2,     0.5811217, ,          10.2,     0.5811217, ,          10.2,     0.5811217, , 
         10.4,     0.5807318, ,          10.4,     0.5807318, ,          10.4,     0.5807318, , 
         10.6,     0.5803409, ,          10.6,     0.5803409, ,          10.6,     0.5803409, , 
         10.8,     0.5799491, ,          10.8,     0.5799491, ,          10.8,     0.5799491, , 
           11,     0.5795564, ,            11,     0.5795564, ,            11,     0.5795564, , 
         11.2,     0.5791629, ,          11.2,     0.5791629, ,          11.2,     0.5791629, , 
         11.4,     0.5787687, ,          11.4,     0.5787687, ,          11.4,     0.5787687, , 
         11.6,     0.5783736, ,          11.6,     0.5783736, ,          11.6,     0.5783736, , 
         11.8,     0.5779779, ,          11.8,     0.5779779, ,          11.8,     0.5779779, , 
           12,     0.5775816, ,            12,     0.5775816, , , , , 

