Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -3,      5.578837, ,            -3,      5.418701, ,            -3,      8.648133, ,            -3,      5.337624, ,            -3,      5.304904, ,            -3,      5.274867, ,            -3,      5.265457, ,            -3,      5.260654, ,            -3,      7.796241, ,            -3,      6.392161, ,            -3,      5.816287, , 
         -2.8,      5.530455, ,          -2.8,      5.365256, ,          -2.8,      8.617963, ,          -2.8,       5.28237, ,          -2.8,      5.249066, ,          -2.8,      5.218527, ,          -2.8,      5.208959, ,          -2.8,      5.204083, ,          -2.8,      7.764616, ,          -2.8,      6.357654, ,          -2.8,      5.773109, , 
         -2.6,      5.486584, ,          -2.6,      5.316062, ,          -2.6,      8.595468, ,          -2.6,      5.231136, ,          -2.6,      5.197129, ,          -2.6,      5.165974, ,          -2.6,      5.156214, ,          -2.6,      5.151252, ,          -2.6,      7.739618, ,          -2.6,      6.328065, ,          -2.6,      5.734582, , 
         -2.4,      5.447112, ,          -2.4,      5.271103, ,          -2.4,      8.580745, ,          -2.4,      5.183718, ,          -2.4,      5.148816, ,          -2.4,      5.116853, ,          -2.4,      5.106838, ,          -2.4,       5.10176, ,          -2.4,      7.721264, ,          -2.4,      6.303274, ,          -2.4,       5.70054, , 
         -2.2,      5.411862, ,          -2.2,      5.230239, ,          -2.2,      8.573401, ,          -2.2,      5.140201, ,          -2.2,       5.10416, ,          -2.2,      5.071074, ,          -2.2,      5.060688, ,          -2.2,      5.055438, ,          -2.2,      7.709238, ,          -2.2,      6.283091, ,          -2.2,      5.670803, , 
           -2,      5.380666, ,            -2,      5.193314, ,            -2,      8.572798, ,            -2,      5.100425, ,            -2,      5.063114, ,            -2,      5.028698, ,            -2,      5.017859, ,            -2,      5.012411, ,            -2,       7.70308, ,            -2,      6.267343, ,            -2,      5.645182, , 
         -1.8,      5.353423, ,          -1.8,      5.160256, ,          -1.8,      8.579126, ,          -1.8,       5.06424, ,          -1.8,      5.025415, ,          -1.8,      4.989309, ,          -1.8,      4.977866, ,          -1.8,      4.972146, ,          -1.8,      7.702864, ,          -1.8,      6.255912, ,          -1.8,      5.623552, , 
         -1.6,      5.329942, ,          -1.6,      5.131033, ,          -1.6,       8.59206, ,          -1.6,      5.031666, ,          -1.6,      4.991069, ,          -1.6,      4.952819, ,          -1.6,      4.940567, ,          -1.6,      4.934463, ,          -1.6,      7.708314, ,          -1.6,      6.248605, ,          -1.6,      5.605717, , 
         -1.4,      5.310107, ,          -1.4,      5.105568, ,          -1.4,      8.611509, ,          -1.4,      5.002938, ,          -1.4,      4.960439, ,          -1.4,       4.91964, ,          -1.4,      4.906367, ,          -1.4,      4.899705, ,          -1.4,       7.71934, ,          -1.4,      6.245326, ,          -1.4,      5.591534, , 
         -1.2,      5.293804, ,          -1.2,      5.083786, ,          -1.2,      8.637252, ,          -1.2,      4.978085, ,          -1.2,      4.933819, ,          -1.2,      4.890588, ,          -1.2,      4.876327, ,          -1.2,       4.86912, ,          -1.2,      7.735765, ,          -1.2,      6.245962, ,          -1.2,      5.580851, , 
           -1,       5.28083, ,            -1,       5.06554, ,            -1,      8.669094, ,            -1,      4.957088, ,            -1,      4.911277, ,            -1,      4.866012, ,            -1,      4.850944, ,            -1,      4.843301, ,            -1,      7.757456, ,            -1,      6.250476, ,            -1,      5.573501, , 
         -0.8,      5.271035, ,          -0.8,        5.0507, ,          -0.8,      8.706406, ,          -0.8,      4.939898, ,          -0.8,      4.892865, ,          -0.8,      4.846099, ,          -0.8,      4.830466, ,          -0.8,      4.822525, ,          -0.8,      7.784038, ,          -0.8,      6.258889, ,          -0.8,      5.569365, , 
         -0.6,      5.264246, ,          -0.6,      5.039089, ,          -0.6,      8.749041, ,          -0.6,      4.926296, ,          -0.6,      4.878358, ,          -0.6,      4.830571, ,          -0.6,      4.814574, ,          -0.6,      4.806443, ,          -0.6,      7.815425, ,          -0.6,      6.271199, ,          -0.6,      5.568272, , 
         -0.4,       5.26033, ,          -0.4,      5.030539, ,          -0.4,      8.794189, ,          -0.4,      4.916075, ,          -0.4,      4.867452, ,          -0.4,      4.818975, ,          -0.4,      4.802744, ,          -0.4,      4.794493, ,          -0.4,      7.849917, ,          -0.4,      6.287481, ,          -0.4,      5.570056, , 
         -0.2,      5.259151, ,          -0.2,      5.024843, ,          -0.2,      8.845333, ,          -0.2,      4.909011, ,          -0.2,      4.859887, ,          -0.2,      4.810878, ,          -0.2,      4.794454, ,          -0.2,      4.786104, ,          -0.2,      7.889691, ,          -0.2,      6.307791, ,          -0.2,      5.574633, , 
            0,      5.260474, ,             0,      5.021756, ,             0,      8.901826, ,             0,      4.904756, ,             0,       4.85525, ,             0,      4.805806, ,             0,      4.789207, ,             0,       4.78077, ,             0,      7.934359, ,             0,      6.332151, ,             0,      5.581875, , 
          0.2,      5.264139, ,           0.2,      5.021129, ,           0.2,       8.96337, ,           0.2,      4.903039, ,           0.2,      4.853212, ,           0.2,      4.803366, ,           0.2,      4.786595, ,           0.2,       4.77808, ,           0.2,      7.983879, ,           0.2,      6.360907, ,           0.2,      5.591796, , 
          0.4,      5.269971, ,           0.4,      5.022761, ,           0.4,      9.029708, ,           0.4,      4.903598, ,           0.4,      4.853426, ,           0.4,      4.803165, ,           0.4,      4.786242, ,           0.4,      4.777661, ,           0.4,      8.038128, ,           0.4,      6.394143, ,           0.4,      5.604328, , 
