Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, ,            -1,     0.5963378, , 
         -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, ,          -0.8,     0.5960845, , 
         -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, ,          -0.6,     0.5958259, , 
         -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, ,          -0.4,     0.5955622, , 
         -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, ,          -0.2,     0.5952936, , 
            0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, ,             0,     0.5950202, , 
          0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, ,           0.2,     0.5947421, , 
          0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, ,           0.4,     0.5944596, , 
          0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, ,           0.6,     0.5941727, , 
          0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, ,           0.8,     0.5938816, , 
