Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, ,           2.8,     0.9161061, , 
            3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, ,             3,     0.9257604, , 
          3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, ,           3.2,     0.9353882, , 
          3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, ,           3.4,     0.9449891, , 
          3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, ,           3.6,      0.954563, , 
          3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, ,           3.8,     0.9641093, , 
            4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, ,             4,      0.973628, , 
          4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, ,           4.2,     0.9831185, , 
          4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, ,           4.4,     0.9925807, , 
          4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, ,           4.6,      1.002014, , 
          4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, ,           4.8,      1.011419, , 
            5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, ,             5,      1.020794, , 
          5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, ,           5.2,       1.03014, , 
          5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, ,           5.4,      1.039456, , 
          5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, ,           5.6,      1.048741, , 
          5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, ,           5.8,      1.057996, , 
            6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, ,             6,      1.067221, , 
          6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, ,           6.2,      1.076414, , 
          6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, ,           6.4,      1.085577, , 
          6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, ,           6.6,      1.094707, , 
          6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, ,           6.8,      1.103806, , 
            7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, ,             7,      1.112873, , 
          7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, ,           7.2,      1.121907, , 
          7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, ,           7.4,      1.130909, , 
          7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, ,           7.6,      1.139877, , 
          7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, ,           7.8,      1.148813, , 
            8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, ,             8,      1.157715, , 
          8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, ,           8.2,      1.166583, , 
          8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, ,           8.4,      1.175417, , 
          8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, ,           8.6,      1.184217, , 
          8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, ,           8.8,      1.192983, , 
            9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, ,             9,      1.201713, , 
          9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, ,           9.2,      1.210409, , 
          9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, ,           9.4,       1.21907, , 
          9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, ,           9.6,      1.227695, , 
          9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, ,           9.8,      1.236284, , 
           10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, ,            10,      1.244838, , 
         10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, ,          10.2,      1.253355, , 
         10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, ,          10.4,      1.261836, , 
         10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, ,          10.6,       1.27028, , 
         10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, ,          10.8,      1.278687, , 
           11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, ,            11,      1.287058, , 
         11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, ,          11.2,      1.295391, , 
         11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, ,          11.4,      1.303686, , 
         11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, ,          11.6,      1.311944, , 
         11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, ,          11.8,      1.320164, , 
           12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, ,            12,      1.328345, , 

