Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -3,      10.23773, ,            -3,      10.54217, ,            -3,       6.57483, ,            -3,      10.70325, ,            -3,      10.76965, ,            -3,      10.83133, ,            -3,      10.85079, ,            -3,      10.86076, ,            -3,      7.303742, ,            -3,      8.926225, ,            -3,       9.81706, , 
         -2.8,      10.32785, ,          -2.8,      10.64781, ,          -2.8,        6.5982, ,          -2.8,      10.81586, ,          -2.8,      10.88487, ,          -2.8,      10.94893, ,          -2.8,      10.96915, ,          -2.8,      10.97948, ,          -2.8,       7.33386, ,          -2.8,      8.975077, ,          -2.8,      9.890987, , 
         -2.6,      10.41095, ,          -2.6,      10.74692, ,          -2.6,      6.615731, ,          -2.6,      10.92239, ,          -2.6,      10.99425, ,          -2.6,      11.06092, ,          -2.6,      11.08197, ,          -2.6,      11.09271, ,          -2.6,      7.357839, ,          -2.6,      9.017388, ,          -2.6,       9.95789, , 
         -2.4,      10.48685, ,          -2.4,      10.83911, ,          -2.4,      6.627254, ,          -2.4,      11.02285, ,          -2.4,      11.09798, ,          -2.4,      11.16768, ,          -2.4,       11.1897, ,          -2.4,      11.20089, ,          -2.4,      7.375543, ,          -2.4,      9.053143, ,          -2.4,      10.01775, , 
         -2.2,      10.55557, ,          -2.2,      10.92427, ,          -2.2,      6.633017, ,          -2.2,      11.11668, ,          -2.2,       11.1956, ,          -2.2,      11.26903, ,          -2.2,      11.29228, ,          -2.2,      11.30407, ,          -2.2,      7.387189, ,          -2.2,       9.08246, ,          -2.2,      10.07063, , 
           -2,      10.61713, ,            -2,      11.00237, ,            -2,       6.63349, ,            -2,      11.20384, ,            -2,      11.28684, ,            -2,      11.36449, ,            -2,      11.38916, ,            -2,      11.40161, ,            -2,      7.393166, ,            -2,      9.105466, ,            -2,      10.11664, , 
         -1.8,      10.67148, ,          -1.8,      11.07324, ,          -1.8,      6.628524, ,          -1.8,      11.28432, ,          -1.8,      11.37195, ,          -1.8,      11.45467, ,          -1.8,      11.48113, ,          -1.8,      11.49441, ,          -1.8,      7.393377, ,          -1.8,      9.122237, ,          -1.8,       10.1558, , 
         -1.6,      10.71877, ,          -1.6,      11.13665, ,          -1.6,      6.618395, ,          -1.6,      11.35775, ,          -1.6,      11.45061, ,          -1.6,      11.53949, ,          -1.6,      11.56825, ,          -1.6,      11.58263, ,          -1.6,      7.388085, ,          -1.6,       9.13299, ,          -1.6,      10.18832, , 
         -1.4,      10.75904, ,          -1.4,       11.1925, ,          -1.4,      6.603221, ,          -1.4,      11.42331, ,          -1.4,      11.52167, ,          -1.4,       11.6177, ,          -1.4,      11.64928, ,          -1.4,       11.6652, ,          -1.4,      7.377404, ,          -1.4,      9.137823, ,          -1.4,      10.21433, , 
         -1.2,      10.79236, ,          -1.2,      11.24071, ,          -1.2,       6.58324, ,          -1.2,      11.48063, ,          -1.2,      11.58415, ,          -1.2,      11.68705, ,          -1.2,       11.7214, ,          -1.2,      11.73883, ,          -1.2,      7.361549, ,          -1.2,      9.136885, ,          -1.2,      10.23401, , 
           -1,      10.81903, ,            -1,      11.28141, ,            -1,      6.558688, ,            -1,       11.5295, ,            -1,      11.63758, ,            -1,      11.74637, ,            -1,      11.78303, ,            -1,      11.80171, ,            -1,      7.340712, ,            -1,      9.130234, ,            -1,      10.24759, , 
         -0.8,      10.83925, ,          -0.8,      11.31473, ,          -0.8,      6.530147, ,          -0.8,      11.56982, ,          -0.8,      11.68159, ,          -0.8,      11.79487, ,          -0.8,      11.83322, ,          -0.8,       11.8528, ,          -0.8,      7.315335, ,          -0.8,      9.117863, ,          -0.8,      10.25525, , 
         -0.6,       10.8533, ,          -0.6,      11.34094, ,          -0.6,      6.497827, ,          -0.6,      11.60193, ,          -0.6,       11.7165, ,          -0.6,      11.83296, ,          -0.6,      11.87246, ,          -0.6,      11.89264, ,          -0.6,       7.28559, ,          -0.6,      9.099822, ,          -0.6,      10.25727, , 
         -0.4,      10.86143, ,          -0.4,      11.36031, ,          -0.4,      6.463943, ,          -0.4,      11.62617, ,          -0.4,      11.74287, ,          -0.4,      11.86157, ,          -0.4,      11.90185, ,          -0.4,      11.92243, ,          -0.4,      7.253176, ,          -0.4,      9.076067, ,          -0.4,      10.25397, , 
         -0.2,      10.86388, ,          -0.2,      11.37325, ,          -0.2,      6.425973, ,          -0.2,      11.64298, ,          -0.2,      11.76124, ,          -0.2,      11.88163, ,          -0.2,      11.92252, ,          -0.2,      11.94342, ,          -0.2,      7.216148, ,          -0.2,      9.046608, ,          -0.2,      10.24549, , 
            0,      10.86113, ,             0,      11.38028, ,             0,      6.384535, ,             0,      11.65313, ,             0,      11.77253, ,             0,      11.89423, ,             0,      11.93565, ,             0,      11.95681, ,             0,      7.175004, ,             0,      9.011523, ,             0,      10.23212, , 
