Alpha,T1-15.8 m/s-VLM2, , 
           -2,      1.184067, , 
         -1.8,      1.174892, , 
         -1.6,      1.166376, , 
         -1.4,        1.1585, , 
         -1.2,      1.151254, , 
           -1,      1.144611, , 
         -0.8,      1.138531, , 
         -0.6,      1.133047, , 
         -0.4,      1.128143, , 
         -0.2,      1.123772, , 
            0,      1.119986, , 
          0.2,      1.116759, , 
          0.4,      1.114185, , 
          0.6,      1.112195, , 
          0.8,      1.110829, , 
            1,      1.110091, , 
          1.2,      1.110062, , 
          1.4,      1.110723, , 
          1.6,      1.112169, , 
          1.8,      1.114305, , 
            2,      1.117208, , 
          2.2,      1.120839, , 
          2.4,      1.125058, , 
          2.6,      1.129814, , 
          2.8,      1.135138, , 
            3,      1.140928, , 
          3.2,      1.147143, , 
          3.4,      1.153784, , 
          3.6,      1.160808, , 
          3.8,       1.16845, , 
            4,      1.177024, , 
          4.2,      1.187468, , 

