Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      1.565301, ,            -2,      1.438436, ,            -2,      2.379438, ,            -2,      1.360282, ,            -2,      1.326482, ,            -2,      1.296931, ,            -2,      1.288526, ,            -2,      1.282961, ,            -2,      2.203167, ,            -2,      2.010099, ,            -2,      1.697089, , 
         -1.8,       1.46232, ,          -1.8,      1.343353, ,          -1.8,       2.21894, ,          -1.8,      1.272329, ,          -1.8,       1.24181, ,          -1.8,      1.214134, ,          -1.8,      1.205191, ,          -1.8,      1.200012, ,          -1.8,      2.056353, ,          -1.8,      1.878061, ,          -1.8,      1.586611, , 
         -1.6,      1.376131, ,          -1.6,      1.263622, ,          -1.6,      2.080281, ,          -1.6,      1.197794, ,          -1.6,      1.169931, ,          -1.6,      1.144048, ,          -1.6,      1.135441, ,          -1.6,       1.13083, ,          -1.6,      1.929829, ,          -1.6,      1.764753, ,          -1.6,      1.493605, , 
         -1.4,      1.303653, ,          -1.4,       1.19684, ,          -1.4,      1.959795, ,          -1.4,      1.134957, ,          -1.4,      1.108948, ,          -1.4,      1.084319, ,          -1.4,      1.076404, ,          -1.4,      1.072245, ,          -1.4,      1.819897, ,          -1.4,      1.666536, ,          -1.4,      1.414123, , 
         -1.2,      1.241777, ,          -1.2,      1.140491, ,          -1.2,      1.854456, ,          -1.2,      1.081614, ,          -1.2,      1.057063, ,          -1.2,       1.03329, ,          -1.2,      1.025866, ,          -1.2,      1.022019, ,          -1.2,      1.723899, ,          -1.2,      1.580873, ,          -1.2,      1.345268, , 
           -1,        1.1882, ,            -1,      1.092607, ,            -1,      1.761941, ,            -1,      1.036513, ,            -1,      1.013041, ,            -1,       0.99002, ,            -1,     0.9828912, ,            -1,     0.9792724, ,            -1,      1.639652, ,            -1,      1.505767, ,            -1,      1.285137, , 
         -0.8,      1.141289, ,          -0.8,      1.051265, ,          -0.8,      1.680283, ,          -0.8,     0.9980308, ,          -0.8,     0.9755083, ,          -0.8,     0.9533289, ,          -0.8,     0.9463941, ,          -0.8,     0.9430662, ,          -0.8,       1.56535, ,          -0.8,      1.439561, ,          -0.8,        1.2323, , 
         -0.6,       1.09994, ,          -0.6,      1.015075, ,          -0.6,      1.607895, ,          -0.6,      0.964761, ,          -0.6,     0.9432904, ,          -0.6,     0.9219976, ,          -0.6,     0.9152801, ,          -0.6,     0.9119749, ,          -0.6,      1.499538, ,          -0.6,      1.380974, ,          -0.6,      1.185641, , 
         -0.4,       1.06333, ,          -0.4,      0.983142, ,          -0.4,      1.543503, ,          -0.4,     0.9355681, ,          -0.4,     0.9152496, ,          -0.4,     0.8950349, ,          -0.4,     0.8885846, ,          -0.4,     0.8853478, ,          -0.4,      1.441042, ,          -0.4,      1.328947, ,          -0.4,      1.144264, , 
         -0.2,      1.030806, ,          -0.2,     0.9548351, ,          -0.2,       1.48615, ,          -0.2,     0.9097673, ,          -0.2,      0.890519, ,          -0.2,     0.8713653, ,          -0.2,     0.8652546, ,          -0.2,     0.8621843, ,          -0.2,      1.388976, ,          -0.2,      1.282652, ,          -0.2,      1.107444, , 
            0,      1.001852, ,             0,     0.9296874, ,             0,      1.434968, ,             0,     0.8868861, ,             0,     0.8686091, ,             0,     0.8504329, ,             0,     0.8446342, ,             0,      0.841719, ,             0,      1.342539, ,             0,      1.241358, ,             0,      1.074598, , 
