Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      9.093307, ,            -2,       9.75823, ,            -2,      6.295076, ,            -2,      10.23951, ,            -2,      10.50643, ,            -2,      10.77604, ,            -2,      10.85473, ,            -2,      10.89093, ,            -2,      6.756604, ,            -2,      7.323354, ,            -2,      8.486974, , 
         -1.8,      9.461785, ,          -1.8,      10.15331, ,          -1.8,       6.55455, ,          -1.8,      10.66547, ,          -1.8,      10.93277, ,          -1.8,      11.19671, ,          -1.8,      11.26897, ,          -1.8,      11.30081, ,          -1.8,      7.034199, ,          -1.8,      7.624149, ,          -1.8,      8.830726, , 
         -1.6,      9.800231, ,          -1.6,      10.51297, ,          -1.6,      6.798259, ,          -1.6,      11.05093, ,          -1.6,      11.31744, ,          -1.6,      11.56989, ,          -1.6,      11.63495, ,          -1.6,      11.66332, ,          -1.6,      7.293082, ,          -1.6,      7.904329, ,          -1.6,      9.148379, , 
         -1.4,      10.10931, ,          -1.4,       10.8393, ,          -1.4,      7.026361, ,          -1.4,      11.39307, ,          -1.4,      11.65785, ,          -1.4,      11.89964, ,          -1.4,      11.95872, ,          -1.4,      11.98437, ,          -1.4,      7.533573, ,          -1.4,      8.163177, ,          -1.4,       9.44035, , 
         -1.2,        10.389, ,          -1.2,      11.13386, ,          -1.2,      7.239661, ,          -1.2,      11.69156, ,          -1.2,      11.95305, ,          -1.2,      12.18743, ,          -1.2,      12.24342, ,          -1.2,      12.26838, ,          -1.2,      7.756621, ,          -1.2,      8.400846, ,          -1.2,      9.706216, , 
           -1,        10.639, ,            -1,      11.39738, ,            -1,      7.437697, ,            -1,      11.94931, ,            -1,      12.20661, ,            -1,       12.4356, ,            -1,      12.49128, ,            -1,      12.52209, ,            -1,      7.962019, ,            -1,      8.617239, ,            -1,      9.944877, , 
         -0.8,      10.85999, ,          -0.8,      11.62981, ,          -0.8,      7.621446, ,          -0.8,      12.17258, ,          -0.8,      12.42384, ,          -0.8,      12.64946, ,          -0.8,      12.70752, ,          -0.8,       12.7456, ,          -0.8,      8.150952, ,          -0.8,      8.813602, ,          -0.8,      10.15654, , 
         -0.6,      11.05201, ,          -0.6,      11.83066, ,          -0.6,      7.791674, ,          -0.6,      12.36485, ,          -0.6,      12.60986, ,          -0.6,      12.83232, ,          -0.6,      12.89548, ,          -0.6,      12.93592, ,          -0.6,      8.324286, ,          -0.6,      8.990969, ,          -0.6,      10.34227, , 
         -0.4,      11.21653, ,          -0.4,       12.0002, ,          -0.4,      7.948652, ,          -0.4,      12.52717, ,          -0.4,      12.76688, ,          -0.4,      12.98696, ,          -0.4,      13.05544, ,          -0.4,      13.09691, ,          -0.4,      8.482681, ,          -0.4,      9.150587, ,          -0.4,      10.50411, , 
         -0.2,      11.35485, ,          -0.2,       12.1396, ,          -0.2,      8.092941, ,          -0.2,      12.66042, ,          -0.2,      12.89531, ,          -0.2,      13.11461, ,          -0.2,      13.18628, ,          -0.2,      13.22796, ,          -0.2,      8.626826, ,          -0.2,      9.293669, ,          -0.2,      10.64367, , 
            0,      11.47004, ,             0,      12.25112, ,             0,      8.224596, ,             0,      12.76528, ,             0,      12.99561, ,             0,      13.21695, ,             0,      13.29035, ,             0,      13.33024, ,             0,       8.75721, ,             0,      9.420987, ,             0,      10.76324, , 
          0.2,      11.56395, ,           0.2,      12.33724, ,           0.2,      8.344567, ,           0.2,      12.84525, ,           0.2,      13.07079, ,           0.2,      13.29176, ,           0.2,      13.36654, ,           0.2,      13.40647, ,           0.2,      8.874804, ,           0.2,      9.533814, ,           0.2,       10.8639, , 
          0.4,      11.63877, ,           0.4,      12.40158, ,           0.4,       8.45284, ,           0.4,      12.90075, ,           0.4,      13.12378, ,           0.4,      13.34534, ,           0.4,      13.41806, ,           0.4,      13.45626, ,           0.4,      8.979581, ,           0.4,      9.632716, ,           0.4,      10.94749, , 
          0.6,      11.69616, ,           0.6,      12.44653, ,           0.6,      8.550182, ,           0.6,      12.93577, ,           0.6,       13.1547, ,           0.6,      13.37519, ,           0.6,       13.4475, ,           0.6,      13.48506, ,           0.6,      9.072629, ,           0.6,      9.718695, ,           0.6,      11.01536, , 
          0.8,      11.73776, ,           0.8,      12.47435, ,           0.8,      8.637052, ,           0.8,      12.95304, ,           0.8,      13.16691, ,           0.8,      13.38326, ,           0.8,      13.45467, ,           0.8,      13.49158, ,           0.8,      9.154436, ,           0.8,      9.792608, ,           0.8,      11.06902, , 
            1,      11.76516, ,             1,      12.48708, ,             1,      8.713784, ,             1,      12.95422, ,             1,      13.16334, ,             1,      13.37573, ,             1,      13.44476, ,             1,      13.47999, ,             1,      9.225443, ,             1,      9.855092, ,             1,       11.1098, , 
          1.2,      11.77965, ,           1.2,      12.48597, ,           1.2,      8.780362, ,           1.2,      12.94147, ,           1.2,       13.1456, ,           1.2,      13.35336, ,           1.2,      13.42043, ,           1.2,      13.45438, ,           1.2,      9.285805, ,           1.2,       9.90638, ,           1.2,      11.13859, , 
          1.4,      11.78266, ,           1.4,      12.47228, ,           1.4,      8.837464, ,           1.4,      12.91686, ,           1.4,      13.11506, ,           1.4,      13.31743, ,           1.4,      13.38324, ,           1.4,      13.41596, ,           1.4,      9.336259, ,           1.4,      9.947315, ,           1.4,      11.15653, , 
          1.6,      11.77564, ,           1.6,      12.44771, ,           1.6,       8.88543, ,           1.6,       12.8809, ,           1.6,      13.07381, ,           1.6,      13.27082, ,           1.6,      13.33456, ,           1.6,      13.36669, ,           1.6,      9.377223, ,           1.6,      9.978657, ,           1.6,      11.16478, , 
          1.8,      11.75939, ,           1.8,      12.41357, ,           1.8,      8.925243, ,           1.8,      12.83471, ,           1.8,       13.0232, ,           1.8,      13.21495, ,           1.8,      13.27645, ,           1.8,      13.30762, ,           1.8,      9.409704, ,           1.8,      10.00122, ,           1.8,      11.16392, , 
            2,      11.73487, ,             2,      12.37107, ,             2,       8.95745, ,             2,      12.78002, ,             2,      12.96315, ,             2,      13.14994, ,             2,      13.21013, ,             2,      13.24004, ,             2,      9.434335, ,             2,      10.01571, ,             2,      11.15475, , 
          2.2,      11.70278, ,           2.2,       12.3211, ,           2.2,      8.982363, ,           2.2,      12.71793, ,           2.2,      12.89538, ,           2.2,      13.07679, ,           2.2,      13.13549, ,           2.2,      13.16482, ,           2.2,      9.451532, ,           2.2,      10.02263, ,           2.2,      11.13789, , 
          2.4,      11.66386, ,           2.4,      12.26461, ,           2.4,      9.000261, ,           2.4,      12.64948, ,           2.4,      12.82129, ,           2.4,      12.99695, ,           2.4,       13.0539, ,           2.4,       13.0827, ,           2.4,      9.461731, ,           2.4,      10.02257, ,           2.4,      11.11403, , 
          2.6,      11.61867, ,           2.6,       12.2022, ,           2.6,      9.011789, ,           2.6,      12.57542, ,           2.6,      12.74168, ,           2.6,      12.91163, ,           2.6,      12.96677, ,           2.6,      12.99466, ,           2.6,      9.465543, ,           2.6,      10.01605, ,           2.6,      11.08368, , 
          2.8,      11.56792, ,           2.8,      12.13461, ,           2.8,      9.016365, ,           2.8,      12.49642, ,           2.8,      12.65726, ,           2.8,      12.82166, ,           2.8,        12.875, ,           2.8,      12.90196, ,           2.8,      9.462686, ,           2.8,      10.00313, ,           2.8,      11.04744, , 
            3,      11.51228, ,             3,      12.06255, ,             3,      9.015238, ,             3,      12.41326, ,             3,      12.56887, ,             3,      12.72789, ,             3,      12.77945, ,             3,      12.80551, ,             3,      9.454208, ,             3,      9.984659, ,             3,      11.00598, , 
          3.2,      11.45197, ,           3.2,      11.98638, ,           3.2,       9.00858, ,           3.2,      12.32638, ,           3.2,      12.47701, ,           3.2,      12.63085, ,           3.2,      12.68069, ,           3.2,      12.70589, ,           3.2,       9.44035, ,           3.2,      9.960841, ,           3.2,      10.95953, , 
          3.4,      11.38775, ,           3.4,      11.90663, ,           3.4,      8.996908, ,           3.4,      12.23622, ,           3.4,      12.38205, ,           3.4,      12.53092, ,           3.4,      12.57913, ,           3.4,      12.60349, ,           3.4,      9.421622, ,           3.4,      9.932222, ,           3.4,      10.90872, , 
          3.6,      11.31992, ,           3.6,      11.82383, ,           3.6,      8.980595, ,           3.6,      12.14343, ,           3.6,      12.28462, ,           3.6,      12.42869, ,           3.6,      12.47536, ,           3.6,      12.49892, ,           3.6,      9.398292, ,           3.6,      9.899124, ,           3.6,      10.85391, , 
          3.8,      11.24885, ,           3.8,      11.73828, ,           3.8,      8.959941, ,           3.8,      12.04825, ,           3.8,      12.18499, ,           3.8,      12.32444, ,           3.8,       12.3696, ,           3.8,      12.39243, ,           3.8,      9.370688, ,           3.8,       9.86188, ,           3.8,      10.79546, , 
            4,      11.17491, ,             4,       11.6503, ,             4,      8.935206, ,             4,      11.95097, ,             4,      12.08344, ,             4,      12.21847, ,             4,      12.26217, ,             4,      12.28426, ,             4,      9.339019, ,             4,      9.820716, ,             4,      10.73369, , 
          4.2,      11.09832, ,           4.2,      11.56022, ,           4.2,      8.906395, ,           4.2,      11.85197, ,           4.2,      11.98034, ,           4.2,      12.11115, ,           4.2,      12.15346, ,           4.2,      12.17484, ,           4.2,      9.303386, ,           4.2,      9.775827, ,           4.2,      10.66885, , 
