Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      11.59079, ,            -2,      11.92974, ,            -2,      12.53607, ,            -2,       13.0466, ,            -2,       7.42348, ,            -2,      7.783766, ,            -2,      13.24602, ,            -2,      13.58282, ,            -2,      13.64296, ,            -2,      13.75788, ,            -2,      13.88302, ,            -2,       13.9537, ,            -2,      13.98513, ,            -2,      14.00281, ,            -2,      8.389293, ,            -2,      9.160497, ,            -2,      10.05201, ,            -2,      10.55246, ,            -2,      10.74326, , 
         -1.8,      12.06554, ,          -1.8,      12.41696, ,          -1.8,      13.05284, ,          -1.8,      13.56963, ,          -1.8,      7.738895, ,          -1.8,      8.110765, ,          -1.8,      13.77082, ,          -1.8,      14.10787, ,          -1.8,      14.16796, ,          -1.8,      14.28308, ,          -1.8,      14.40956, ,          -1.8,       14.4845, ,          -1.8,      14.53009, ,          -1.8,      14.55702, ,          -1.8,       8.73571, ,          -1.8,      9.535516, ,          -1.8,      10.46185, ,          -1.8,      10.98559, ,          -1.8,      11.18487, , 
         -1.6,      12.49558, ,          -1.6,      12.85912, ,          -1.6,      13.51881, ,          -1.6,      14.03513, ,          -1.6,      8.036068, ,          -1.6,      8.417637, ,          -1.6,      14.23591, ,          -1.6,      14.57039, ,          -1.6,      14.63035, ,          -1.6,      14.74649, ,          -1.6,      14.87722, ,          -1.6,      14.96509, ,          -1.6,       15.0239, ,          -1.6,      15.05874, ,          -1.6,      9.058392, ,          -1.6,       9.87986, ,          -1.6,      10.83407, ,          -1.6,      11.37757, ,          -1.6,      11.58371, , 
         -1.4,      12.87791, ,          -1.4,      13.25393, ,          -1.4,      13.93206, ,          -1.4,      14.44892, ,          -1.4,      8.316183, ,          -1.4,      8.705668, ,          -1.4,      14.64955, ,          -1.4,       14.9806, ,          -1.4,      15.03971, ,          -1.4,      15.15578, ,          -1.4,      15.29134, ,          -1.4,      15.39188, ,          -1.4,      15.45323, ,          -1.4,      15.48941, ,          -1.4,       9.35881, ,          -1.4,      10.19558, ,          -1.4,      11.16936, ,          -1.4,      11.72687, ,          -1.4,      11.93861, , 
         -1.2,      13.21371, ,          -1.2,      13.59963, ,          -1.2,      14.29217, ,          -1.2,       14.8163, ,          -1.2,      8.579486, ,          -1.2,      8.975291, ,          -1.2,      15.01439, ,          -1.2,      15.34243, ,          -1.2,      15.40112, ,          -1.2,      15.51769, ,          -1.2,      15.65692, ,          -1.2,      15.76469, ,          -1.2,      15.82403, ,          -1.2,      15.85905, ,          -1.2,      9.637935, ,          -1.2,      10.48551, ,          -1.2,      11.47168, ,          -1.2,      12.03766, ,          -1.2,      12.25352, , 
           -1,      13.50445, ,            -1,      13.89612, ,            -1,      14.59865, ,            -1,      15.12863, ,            -1,       8.82547, ,            -1,      9.226455, ,            -1,      15.32565, ,            -1,      15.65403, ,            -1,      15.71368, ,            -1,       15.8329, ,            -1,      15.97493, ,            -1,      16.08319, ,            -1,      16.14032, ,            -1,      16.17414, ,            -1,      9.896626, ,            -1,      10.75133, ,            -1,      11.74399, ,            -1,      12.31389, ,            -1,      12.53201, , 
         -0.8,      13.75452, ,          -0.8,      14.14875, ,          -0.8,      14.85689, ,          -0.8,      15.38971, ,          -0.8,      9.054509, ,          -0.8,      9.459466, ,          -0.8,      15.58732, ,          -0.8,      15.91612, ,          -0.8,      15.97559, ,          -0.8,      16.09601, ,          -0.8,      16.24423, ,          -0.8,      16.35221, ,          -0.8,       16.4096, ,          -0.8,      16.44355, ,          -0.8,      10.13503, ,          -0.8,      10.99389, ,          -0.8,      11.98907, ,          -0.8,      12.55968, ,          -0.8,      12.77833, , 
         -0.6,        13.968, ,          -0.6,      14.36177, ,          -0.6,      15.07156, ,          -0.6,        15.605, ,          -0.6,      9.267005, ,          -0.6,      9.674717, ,          -0.6,      15.80113, ,          -0.6,       16.1306, ,          -0.6,      16.19138, ,          -0.6,      16.31469, ,          -0.6,      16.46649, ,          -0.6,      16.57264, ,          -0.6,      16.62735, ,          -0.6,       16.6597, ,          -0.6,      10.35358, ,          -0.6,      11.21406, ,          -0.6,      12.20846, ,          -0.6,      12.77739, ,          -0.6,      12.99527, , 
         -0.4,      14.15002, ,          -0.4,       14.5405, ,          -0.4,      15.24722, ,          -0.4,      15.77813, ,          -0.4,      9.463126, ,          -0.4,      9.872573, ,          -0.4,      15.97308, ,          -0.4,       16.3003, ,          -0.4,      16.36081, ,          -0.4,      16.48422, ,          -0.4,      16.63527, ,          -0.4,      16.74285, ,          -0.4,      16.79842, ,          -0.4,      16.83131, ,          -0.4,      10.55303, ,          -0.4,      11.41303, ,          -0.4,        12.404, ,          -0.4,      12.96952, ,          -0.4,      13.18576, , 
         -0.2,      14.30436, ,          -0.2,      14.68954, ,          -0.2,      15.38847, ,          -0.2,      15.91438, ,          -0.2,      9.643412, ,          -0.2,      10.05368, ,          -0.2,       16.1075, ,          -0.2,      16.43199, ,          -0.2,      16.49201, ,          -0.2,      16.61442, ,          -0.2,      16.76512, ,          -0.2,      16.87276, ,          -0.2,      16.92566, ,          -0.2,      16.95698, ,          -0.2,      10.73421, ,          -0.2,      11.59173, ,          -0.2,      12.57686, ,          -0.2,      13.13761, ,          -0.2,      13.35166, , 
            0,      14.43388, ,             0,      14.81254, ,             0,      15.50061, ,             0,      16.01836, ,             0,      9.808047, ,             0,      10.21823, ,             0,      16.20845, ,             0,      16.52986, ,             0,      16.58933, ,             0,      16.71051, ,             0,      16.85961, ,             0,      16.96566, ,             0,      17.01889, ,             0,      17.05039, ,             0,      10.89741, ,             0,      11.75089, ,             0,      12.72841, ,             0,      13.28336, ,             0,      13.49483, , 
          0.2,      14.54053, ,           0.2,      14.91201, ,           0.2,      15.58741, ,           0.2,       16.0949, ,           0.2,      9.956901, ,           0.2,      10.36621, ,           0.2,      16.28105, ,           0.2,      16.59642, ,           0.2,      16.65484, ,           0.2,        16.774, ,           0.2,      16.92223, ,           0.2,      17.02819, ,           0.2,      17.08014, ,           0.2,      17.11092, ,           0.2,      11.04274, ,           0.2,      11.89082, ,           0.2,      12.85956, ,           0.2,      13.40804, ,           0.2,      13.61661, , 
          0.4,      14.62588, ,           0.4,       14.9897, ,           0.4,      15.65145, ,           0.4,      16.14751, ,           0.4,       10.0903, ,           0.4,      10.49801, ,           0.4,      16.32925, ,           0.4,      16.63709, ,           0.4,      16.69412, ,           0.4,      16.81043, ,           0.4,      16.95514, ,           0.4,      17.05909, ,           0.4,      17.11173, ,           0.4,       17.1428, ,           0.4,      11.17077, ,           0.4,      12.01238, ,           0.4,      12.97146, ,           0.4,       13.5129, ,           0.4,       13.7183, , 
          0.6,      14.69177, ,           0.6,      15.04759, ,           0.6,      15.69515, ,           0.6,      16.17932, ,           0.6,      10.20894, ,           0.6,      10.61447, ,           0.6,      16.35651, ,           0.6,       16.6563, ,           0.6,      16.71181, ,           0.6,      16.82498, ,           0.6,      16.96572, ,           0.6,      17.06686, ,           0.6,      17.11811, ,           0.6,      17.14836, ,           0.6,      11.28254, ,           0.6,      12.11683, ,           0.6,      13.06561, ,           0.6,      13.59956, ,           0.6,      13.80158, , 
          0.8,      14.73954, ,           0.8,      15.08723, ,           0.8,      15.72009, ,           0.8,      16.19221, ,           0.8,      10.31419, ,           0.8,      10.71701, ,           0.8,       16.3648, ,           0.8,      16.65633, ,           0.8,      16.71025, ,           0.8,      16.82019, ,           0.8,      16.95689, ,           0.8,       17.0551, ,           0.8,      17.10487, ,           0.8,      17.13424, ,           0.8,      11.37963, ,           0.8,      12.20568, ,           0.8,      13.14309, ,           0.8,      13.66907, ,           0.8,       13.8675, , 
            1,      14.77061, ,             1,      15.11009, ,             1,       15.7279, ,             1,      16.18791, ,             1,      10.40594, ,             1,      10.80573, ,             1,       16.3559, ,             1,      16.63917, ,             1,      16.69154, ,             1,      16.79828, ,             1,      16.93088, ,             1,      17.02615, ,             1,      17.07443, ,             1,      17.10292, ,             1,      11.46247, ,             1,      12.27964, ,             1,       13.2048, ,             1,      13.72242, ,             1,      13.91716, , 
          1.2,      14.78606, ,           1.2,      15.11728, ,           1.2,      15.71994, ,           1.2,       16.1679, ,           1.2,      10.48442, ,           1.2,      10.88101, ,           1.2,       16.3313, ,           1.2,      16.60636, ,           1.2,       16.6572, ,           1.2,      16.76078, ,           1.2,      16.88937, ,           1.2,      16.98174, ,           1.2,      17.02857, ,           1.2,       17.0562, ,           1.2,      11.53166, ,           1.2,      12.33942, ,           1.2,      13.25161, ,           1.2,      13.76059, ,           1.2,      13.95152, , 
          1.4,      14.78742, ,           1.4,      15.11041, ,           1.4,      15.69788, ,           1.4,      16.13368, ,           1.4,      10.55045, ,           1.4,      10.94375, ,           1.4,      16.29248, ,           1.4,      16.55936, ,           1.4,      16.60869, ,           1.4,      16.70918, ,           1.4,      16.83389, ,           1.4,      16.92339, ,           1.4,      16.96877, ,           1.4,      16.99554, ,           1.4,      11.58829, ,           1.4,       12.3863, ,           1.4,      13.28484, ,           1.4,      13.78491, ,           1.4,      13.97197, , 
          1.6,      14.77556, ,           1.6,      15.09037, ,           1.6,      15.66292, ,           1.6,      16.08669, ,           1.6,      10.60361, ,           1.6,       10.9937, ,           1.6,      16.24097, ,           1.6,      16.49996, ,           1.6,      16.54781, ,           1.6,      16.64526, ,           1.6,      16.76615, ,           1.6,      16.85287, ,           1.6,      16.89681, ,           1.6,      16.92273, ,           1.6,      11.63228, ,           1.6,      12.42016, ,           1.6,      13.30491, ,           1.6,      13.79601, ,           1.6,      13.97914, , 
          1.8,      14.75203, ,           1.8,      15.05873, ,           1.8,      15.61637, ,           1.8,      16.02825, ,           1.8,      10.64603, ,           1.8,       11.0328, ,           1.8,      16.17812, ,           1.8,      16.42936, ,           1.8,      16.47576, ,           1.8,      16.57024, ,           1.8,       16.6874, ,           1.8,      16.77145, ,           1.8,      16.81402, ,           1.8,      16.83913, ,           1.8,      11.66519, ,           1.8,      12.44256, ,           1.8,      13.31333, ,           1.8,      13.79535, ,           1.8,      13.97452, , 
            2,      14.71739, ,             2,      15.01608, ,             2,      15.55914, ,             2,      15.95945, ,             2,      10.67804, ,             2,      11.06133, ,             2,      16.10501, ,             2,      16.34874, ,             2,      16.39374, ,             2,      16.48533, ,             2,      16.59884, ,             2,      16.68022, ,             2,      16.72147, ,             2,      16.74579, ,             2,      11.68729, ,             2,      12.45381, ,             2,      13.31044, ,             2,      13.78333, ,             2,      13.95855, , 
          2.2,      14.67276, ,           2.2,      14.96358, ,           2.2,      15.49232, ,           2.2,      15.88134, ,           2.2,      10.70037, ,           2.2,      11.08005, ,           2.2,      16.02273, ,           2.2,      16.25918, ,           2.2,      16.30281, ,           2.2,      16.39161, ,           2.2,      16.50161, ,           2.2,      16.58044, ,           2.2,      16.62036, ,           2.2,       16.6439, ,           2.2,      11.69933, ,           2.2,      12.45478, ,           2.2,      13.29718, ,           2.2,      13.76095, ,           2.2,      13.93228, , 
