Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, ,            -2,     0.1925524, , 
         -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, ,          -1.8,     0.2027308, , 
         -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, ,          -1.6,     0.2129037, , 
         -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, ,          -1.4,     0.2230708, , 
         -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, ,          -1.2,     0.2332317, , 
           -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, ,            -1,     0.2433859, , 
         -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, ,          -0.8,     0.2535332, , 
         -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, ,          -0.6,     0.2636731, , 
         -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, ,          -0.4,     0.2738054, , 
         -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, ,          -0.2,     0.2839296, , 
            0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, ,             0,     0.2940453, , 
          0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, ,           0.2,     0.3041523, , 
          0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, ,           0.4,     0.3142501, , 
          0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, ,           0.6,     0.3243384, , 
          0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, ,           0.8,     0.3344168, , 
            1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, ,             1,     0.3444849, , 
          1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, ,           1.2,     0.3545424, , 
          1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, ,           1.4,      0.364589, , 
          1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, ,           1.6,     0.3746242, , 
          1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, ,           1.8,     0.3846478, , 
            2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, ,             2,     0.3946593, , 
          2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, ,           2.2,     0.4046584, , 
          2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, ,           2.4,     0.4146447, , 
