Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, ,            -2,     0.2382012, , 
         -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, ,          -1.8,     0.2513781, , 
         -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, ,          -1.6,     0.2645493, , 
         -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, ,          -1.4,     0.2777144, , 
         -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, ,          -1.2,      0.290873, , 
           -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, ,            -1,     0.3040247, , 
         -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, ,          -0.8,      0.317169, , 
         -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, ,          -0.6,     0.3303056, , 
         -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, ,          -0.4,     0.3434341, , 
         -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, ,          -0.2,     0.3565539, , 
            0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, ,             0,     0.3696648, , 
          0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, ,           0.2,     0.3827664, , 
          0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, ,           0.4,     0.3958581, , 
          0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, ,           0.6,     0.4089397, , 
          0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, ,           0.8,     0.4220107, , 
            1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, ,             1,     0.4350706, , 
          1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, ,           1.2,     0.4481192, , 
          1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, ,           1.4,      0.461156, , 
          1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, ,           1.6,     0.4741805, , 
          1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, ,           1.8,     0.4871925, , 
            2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, ,             2,     0.5001915, , 
          2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, ,           2.2,      0.513177, , 
          2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, ,           2.4,     0.5261487, , 
          2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, ,           2.6,     0.5391063, , 
          2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, ,           2.8,     0.5520492, , 
            3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, ,             3,     0.5649771, , 
          3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, ,           3.2,     0.5778897, , 
          3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, ,           3.4,     0.5907865, , 
          3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, ,           3.6,     0.6036671, , 
          3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, ,           3.8,     0.6165311, , 
            4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, ,             4,     0.6293782, , 
          4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, ,           4.2,      0.642208, , 
          4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, ,           4.4,       0.65502, , 
          4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, ,           4.6,     0.6678139, , 
          4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, ,           4.8,     0.6805893, , 
            5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, ,             5,     0.6933458, , 
          5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, ,           5.2,     0.7060831, , 
          5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, ,           5.4,     0.7188007, , 
          5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, , , , , , , , , , , , , , , , ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, ,           5.6,     0.7314984, , 
