Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      4.931007, ,            -2,      4.791568, ,            -2,      4.560816, ,            -2,      4.383054, ,            -2,         7.672, ,            -2,      7.320831, ,            -2,      4.317321, ,            -2,      4.210656, ,            -2,      4.192161, ,            -2,      4.157267, ,            -2,      4.119925, ,            -2,      4.099128, ,            -2,      4.089948, ,            -2,      4.084799, ,            -2,      6.797558, ,            -2,      6.229989, ,            -2,      5.681242, ,            -2,      5.413448, ,            -2,       5.31786, , 
         -1.8,      4.737883, ,          -1.8,       4.60438, ,          -1.8,      4.380968, ,          -1.8,      4.214734, ,          -1.8,      7.362814, ,          -1.8,      7.028693, ,          -1.8,      4.153376, ,          -1.8,      4.054483, ,          -1.8,      4.037342, ,          -1.8,       4.00491, ,          -1.8,       3.96987, ,          -1.8,      3.949396, ,          -1.8,      3.937043, ,          -1.8,      3.929782, ,          -1.8,      6.530375, ,          -1.8,      5.986787, ,          -1.8,      5.460051, ,          -1.8,      5.201207, ,          -1.8,       5.10903, , 
         -1.6,      4.575534, ,          -1.6,      4.446703, ,          -1.6,      4.230521, ,          -1.6,      4.075424, ,          -1.6,      7.093364, ,          -1.6,      6.774882, ,          -1.6,      4.018135, ,          -1.6,      3.926187, ,          -1.6,      3.910147, ,          -1.6,      3.879445, ,          -1.6,      3.845457, ,          -1.6,      3.822945, ,          -1.6,      3.808025, ,          -1.6,      3.799241, ,          -1.6,      6.299651, ,          -1.6,      5.779567, ,          -1.6,      5.273537, ,          -1.6,      5.022945, ,          -1.6,      4.934003, , 
         -1.4,      4.440241, ,          -1.4,      4.314752, ,          -1.4,      4.105472, ,          -1.4,      3.959089, ,          -1.4,      6.856751, ,          -1.4,      6.552715, ,          -1.4,      3.905037, ,          -1.4,         3.819, ,          -1.4,      3.804035, ,          -1.4,      3.774986, ,          -1.4,      3.741616, ,          -1.4,      3.717243, ,          -1.4,      3.702527, ,          -1.4,      3.693902, ,          -1.4,      6.098981, ,          -1.4,       5.60175, ,          -1.4,      5.116086, ,          -1.4,      4.874063, ,          -1.4,      4.788025, , 
         -1.2,      4.327837, ,          -1.2,      4.205471, ,          -1.2,       4.00237, ,          -1.2,      3.861222, ,          -1.2,      6.648231, ,          -1.2,      6.357503, ,          -1.2,      3.810429, ,          -1.2,       3.72919, ,          -1.2,      3.715019, ,          -1.2,       3.68719, ,          -1.2,       3.65449, ,          -1.2,      3.629575, ,          -1.2,      3.616001, ,          -1.2,      3.608036, ,          -1.2,      5.923623, ,          -1.2,      5.447805, ,          -1.2,      4.981947, ,          -1.2,      4.748808, ,          -1.2,      4.665524, , 
           -1,      4.235003, ,            -1,      4.116053, ,            -1,       3.91861, ,            -1,      3.781742, ,            -1,      6.464523, ,            -1,      6.185799, ,            -1,      3.733262, ,            -1,      3.655163, ,            -1,      3.641325, ,            -1,      3.613978, ,            -1,      3.581933, ,            -1,      3.557883, ,            -1,      3.545323, ,            -1,      3.537928, ,            -1,      5.769842, ,            -1,      5.313893, ,            -1,       4.86699, ,            -1,      4.642753, ,            -1,      4.562286, , 
         -0.8,       4.15828, ,          -0.8,      4.042806, ,          -0.8,      3.850705, ,          -0.8,      3.717767, ,          -0.8,      6.302332, ,          -0.8,      6.034565, ,          -0.8,      3.670764, ,          -0.8,      3.595134, ,          -0.8,      3.581785, ,          -0.8,      3.555056, ,          -0.8,        3.5227, ,          -0.8,      3.499498, ,          -0.8,      3.487288, ,          -0.8,      3.480106, ,          -0.8,      5.635001, ,          -0.8,      5.197301, ,          -0.8,      4.767963, ,          -0.8,       4.55228, ,          -0.8,      4.474705, , 
         -0.6,      4.094946, ,          -0.6,      3.983037, ,          -0.6,      3.796017, ,          -0.6,      3.666616, ,          -0.6,       6.15894, ,          -0.6,      5.901261, ,          -0.6,      3.621225, ,          -0.6,      3.547454, ,          -0.6,       3.53417, ,          -0.6,      3.507526, ,          -0.6,      3.475269, ,          -0.6,      3.453064, ,          -0.6,       3.44173, ,          -0.6,      3.435062, ,          -0.6,      5.516796, ,          -0.6,      5.095802, ,          -0.6,      4.682666, ,          -0.6,      4.475031, ,          -0.6,        4.4003, , 
         -0.4,      4.042444, ,          -0.4,      3.934232, ,          -0.4,      3.752411, ,          -0.4,      3.626491, ,          -0.4,      6.032248, ,          -0.4,      5.783804, ,          -0.4,      3.582345, ,          -0.4,      3.510614, ,          -0.4,      3.497662, ,          -0.4,       3.47154, ,          -0.4,      3.440095, ,          -0.4,      3.418043, ,          -0.4,      3.406763, ,          -0.4,      3.400123, ,          -0.4,      5.413158, ,          -0.4,       5.00742, ,          -0.4,      4.609169, ,          -0.4,      4.409003, ,          -0.4,      4.336975, , 
         -0.2,       3.99897, ,          -0.2,      3.894439, ,          -0.2,      3.718064, ,          -0.2,      3.595524, ,          -0.2,      5.920283, ,          -0.2,      5.680304, ,          -0.2,      3.552527, ,          -0.2,      3.482549, ,          -0.2,      3.469906, ,          -0.2,      3.444402, ,          -0.2,      3.413514, ,          -0.2,      3.391789, ,          -0.2,      3.381213, ,          -0.2,      3.374982, ,          -0.2,       5.32232, ,          -0.2,      4.930609, ,          -0.2,      4.546085, ,          -0.2,      4.352809, ,          -0.2,      4.283289, , 
