Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      13.34901, ,            -2,      14.52635, ,            -2,      8.781574, ,            -2,      15.36095, ,            -2,      15.75236, ,            -2,      16.11128, ,            -2,      16.21637, ,            -2,      16.28671, ,            -2,      9.484173, ,            -2,      10.39512, ,            -2,      12.31239, , 
         -1.8,      13.90205, ,          -1.8,       15.1332, ,          -1.8,      9.161689, ,          -1.8,      15.97797, ,          -1.8,      16.37065, ,          -1.8,      16.74381, ,          -1.8,      16.86807, ,          -1.8,      16.94086, ,          -1.8,      9.886065, ,          -1.8,      10.82459, ,          -1.8,        12.813, , 
         -1.6,      14.39331, ,          -1.6,      15.67485, ,          -1.6,      9.521347, ,          -1.6,       16.5363, ,          -1.6,      16.93012, ,          -1.6,      17.31316, ,          -1.6,       17.4444, ,          -1.6,      17.51552, ,          -1.6,      10.26365, ,          -1.6,      11.22372, ,          -1.6,      13.26126, , 
         -1.4,      14.82249, ,          -1.4,      16.14534, ,          -1.4,      9.859905, ,          -1.4,      17.02565, ,          -1.4,      17.42498, ,          -1.4,      17.82077, ,          -1.4,      17.95179, ,          -1.4,      18.02142, ,          -1.4,      10.61785, ,          -1.4,      11.59494, ,          -1.4,      13.66457, , 
         -1.2,      15.19892, ,          -1.2,      16.54873, ,          -1.2,      10.17748, ,          -1.2,      17.44954, ,          -1.2,      17.85482, ,          -1.2,      18.26561, ,          -1.2,       18.3978, ,          -1.2,      18.46706, ,          -1.2,      10.94825, ,          -1.2,      11.93877, ,          -1.2,      14.02968, , 
           -1,      15.53118, ,            -1,      16.89003, ,            -1,      10.47376, ,            -1,      17.80407, ,            -1,      18.21659, ,            -1,      18.64019, ,            -1,      18.77538, ,            -1,      18.84476, ,            -1,      11.25492, ,            -1,      12.25566, ,            -1,      14.35968, , 
         -0.8,      15.82562, ,          -0.8,      17.18084, ,          -0.8,      10.74915, ,          -0.8,      18.09725, ,          -0.8,      18.51508, ,          -0.8,      18.94583, ,          -0.8,      19.08466, ,          -0.8,      19.15201, ,          -0.8,      11.53839, ,          -0.8,      12.54661, ,          -0.8,      14.65683, , 
         -0.6,      16.08568, ,          -0.6,      17.43051, ,          -0.6,        11.004, ,          -0.6,      18.33955, ,          -0.6,      18.75698, ,          -0.6,      19.19016, ,          -0.6,        19.331, ,          -0.6,      19.40106, ,          -0.6,      11.79915, ,          -0.6,      12.81217, ,          -0.6,      14.92296, , 
         -0.4,      16.31364, ,          -0.4,      17.64423, ,          -0.4,      11.23858, ,          -0.4,      18.54145, ,          -0.4,      18.95307, ,          -0.4,      19.38113, ,          -0.4,      19.52182, ,          -0.4,      19.59319, ,          -0.4,      12.03767, ,          -0.4,      13.05303, ,          -0.4,      15.15978, , 
         -0.2,      16.51142, ,          -0.2,      17.82514, ,          -0.2,      11.45246, ,          -0.2,      18.70815, ,          -0.2,      19.11252, ,          -0.2,      19.53264, ,          -0.2,      19.67059, ,          -0.2,      19.74064, ,          -0.2,      12.25368, ,          -0.2,      13.26943, ,          -0.2,      15.36878, , 
            0,      16.68044, ,             0,       17.9752, ,             0,      11.64578, ,             0,      18.84269, ,             0,      19.23917, ,             0,      19.65037, ,             0,      19.78528, ,             0,       19.8538, ,             0,      12.44755, ,             0,      13.46213, ,             0,      15.55123, , 
          0.2,      16.82295, ,           0.2,      18.09692, ,           0.2,      11.81978, ,           0.2,      18.94808, ,           0.2,      19.33622, ,           0.2,      19.73808, ,           0.2,      19.86984, ,           0.2,      19.93673, ,           0.2,      12.62085, ,           0.2,      13.63288, ,           0.2,      15.70904, , 
          0.4,      16.94037, ,           0.4,      18.19203, ,           0.4,       11.9752, ,           0.4,      19.02613, ,           0.4,      19.40554, ,           0.4,      19.79793, ,           0.4,      19.92655, ,           0.4,      19.99182, ,           0.4,      12.77473, ,           0.4,      13.78296, ,           0.4,      15.84316, , 
          0.6,      17.03409, ,           0.6,      18.26244, ,           0.6,        12.112, ,           0.6,      19.07895, ,           0.6,      19.44939, ,           0.6,      19.83218, ,           0.6,      19.95756, ,           0.6,      20.02119, ,           0.6,      12.90962, ,           0.6,      13.91295, ,           0.6,      15.95466, , 
          0.8,      17.10568, ,           0.8,      18.31021, ,           0.8,      12.23127, ,           0.8,      19.10851, ,           0.8,      19.46977, ,           0.8,      19.84296, ,           0.8,      19.96504, ,           0.8,      20.02697, ,           0.8,      13.02698, ,           0.8,      14.02445, ,           0.8,      16.04506, , 
            1,       17.1572, ,             1,      18.33712, ,             1,      12.33367, ,             1,      19.11704, ,             1,      19.46922, ,             1,      19.83273, ,             1,       19.9516, ,             1,      20.01187, ,             1,      13.12729, ,             1,       14.1179, ,             1,      16.11583, , 
          1.2,      17.18973, ,           1.2,      18.34473, ,           1.2,      12.42001, ,           1.2,      19.10636, ,           1.2,      19.44951, ,           1.2,       19.8035, ,           1.2,      19.91913, ,           1.2,      19.97779, ,           1.2,      13.21106, ,           1.2,      14.19395, ,           1.2,        16.168, , 
          1.4,      17.20463, ,           1.4,      18.33446, ,           1.4,      12.49134, ,           1.4,       19.0779, ,           1.4,      19.41228, ,           1.4,      19.75687, ,           1.4,      19.86931, ,           1.4,      19.92631, ,           1.4,      13.27913, ,           1.4,      14.25364, ,           1.4,      16.20272, , 
          1.6,      17.20307, ,           1.6,      18.30768, ,           1.6,      12.54869, ,           1.6,      19.03319, ,           1.6,       19.3589, ,           1.6,      19.69429, ,           1.6,      19.80368, ,           1.6,      19.85912, ,           1.6,      13.33249, ,           1.6,       14.2978, ,           1.6,      16.22091, , 
          1.8,      17.18611, ,           1.8,      18.26571, ,           1.8,      12.59161, ,           1.8,      18.97349, ,           1.8,      19.29082, ,           1.8,       19.6172, ,           1.8,      19.72354, ,           1.8,      19.77746, ,           1.8,      13.37094, ,           1.8,      14.32692, ,           1.8,      16.22374, , 
            2,      17.15481, ,             2,      18.20973, ,             2,      12.62068, ,             2,      18.90001, ,             2,      19.20918, ,             2,      19.52676, ,             2,      19.63017, ,             2,      19.68258, ,             2,      13.39519, ,             2,      14.34168, ,             2,      16.21208, , 
          2.2,      17.10988, ,           2.2,      18.14067, ,           2.2,      12.63634, ,           2.2,      18.81382, ,           2.2,       19.1152, ,           2.2,      19.42422, ,           2.2,      19.52484, ,           2.2,      19.57582, ,           2.2,      13.40563, ,           2.2,      14.34245, ,           2.2,      16.18653, , 
          2.4,      17.05225, ,           2.4,      18.05938, ,           2.4,      12.63895, ,           2.4,      18.71598, ,           2.4,      19.00973, ,           2.4,      19.31045, ,           2.4,      19.40831, ,           2.4,      19.45791, ,           2.4,      13.40273, ,           2.4,      14.32979, ,           2.4,      16.14794, , 
          2.6,      16.98246, ,           2.6,      17.96633, ,           2.6,      12.62895, ,           2.6,      18.60677, ,           2.6,      18.89311, ,           2.6,      19.18574, ,           2.6,      19.28097, ,           2.6,      19.32919, ,           2.6,      13.38683, ,           2.6,      14.30409, ,           2.6,      16.09671, , 
          2.8,      16.90035, ,           2.8,      17.86098, ,           2.8,      12.60627, ,           2.8,      18.48524, ,           2.8,      18.76394, ,           2.8,      19.04816, ,           2.8,       19.1406, ,           2.8,      19.18744, ,           2.8,      13.35808, ,           2.8,      14.26551, ,           2.8,      16.03277, , 
            3,      16.80511, ,             3,      17.74168, ,             3,      12.57088, ,             3,       18.3482, ,             3,      18.61797, ,             3,      18.89213, ,             3,        18.981, ,             3,      19.02601, ,             3,       13.3164, ,             3,      14.21382, ,             3,      15.95562, , 
          3.2,      16.69463, ,           3.2,      17.60458, ,           3.2,      12.52123, ,           3.2,      18.19015, ,           3.2,      18.44914, ,           3.2,      18.71086, ,           3.2,      18.79545, ,           3.2,       18.8382, ,           3.2,       13.2602, ,           3.2,      14.14755, ,           3.2,      15.86362, , 
          3.4,      16.56715, ,           3.4,      17.44724, ,           3.4,      12.45747, ,           3.4,      18.00889, ,           3.4,      18.25507, ,           3.4,        18.502, ,           3.4,      18.58123, ,           3.4,      18.62128, ,           3.4,      13.18951, ,           3.4,      14.06638, ,           3.4,      15.75554, , 
          3.6,      16.42074, ,           3.6,      17.26786, ,           3.6,      12.37933, ,           3.6,      17.80155, ,           3.6,      18.03388, ,           3.6,      18.26748, ,           3.6,      18.34267, ,           3.6,      18.38058, ,           3.6,      13.10396, ,           3.6,      13.96958, ,           3.6,      15.62989, , 
          3.8,      16.25505, ,           3.8,      17.06456, ,           3.8,      12.28658, ,           3.8,      17.57195, ,           3.8,      17.79524, ,           3.8,      18.02021, ,           3.8,      18.09259, ,           3.8,      18.12911, ,           3.8,      13.00319, ,           3.8,      13.85672, ,           3.8,      15.48622, , 
            4,      16.06973, ,             4,      16.84047, ,             4,      12.17926, ,             4,      17.32439, ,             4,      17.53628, ,             4,      17.74748, ,             4,      17.81467, ,             4,      17.84844, ,             4,      12.88737, ,             4,      13.72838, ,             4,      15.32538, , 
          4.2,       15.8625, ,           4.2,      16.59034, ,           4.2,      12.05701, ,           4.2,      17.04106, ,           4.2,      17.23325, ,           4.2,      17.41578, ,           4.2,      17.47282, ,           4.2,      17.50125, ,           4.2,      12.75647, ,           4.2,      13.58544, ,           4.2,       15.1488, , 
          4.4,      15.62889, ,           4.4,      16.30313, ,           4.4,       11.9193, ,           4.4,      16.70293, ,           4.4,      16.86511, , , , , , , , , , ,           4.4,      12.60992, ,           4.4,      13.42713, ,           4.4,      14.95382, , 
          4.6,      15.36197, ,           4.6,      15.96687, ,           4.6,      11.75905, ,           4.6,      16.30951, ,           4.6,      16.44549, , , , , , , , , , ,           4.6,      12.44036, ,           4.6,      13.24643, ,           4.6,      14.73442, , 
          4.8,       15.0528, ,           4.8,      15.58146, ,           4.8,      11.57737, ,           4.8,      15.86769, , , , , , , , , , , , , ,           4.8,      12.24712, ,           4.8,      13.03852, ,           4.8,      14.47807, , 
            5,      14.69667, ,             5,      15.17036, ,             5,      11.36315, ,             5,      15.41944, , , , , , , , , , , , , ,             5,      12.02028, ,             5,      12.79838, ,             5,      14.18728, , 

