Alpha,T1-15.8 m/s-VLM2, , 
            0,      2.623008, , 
          0.2,      2.594685, , 
          0.4,      2.567889, , 
          0.6,       2.54254, , 
          0.8,      2.518542, , 
            1,      2.495817, , 
          1.2,      2.474301, , 
          1.4,      2.453951, , 
          1.6,      2.434682, , 
          1.8,      2.416437, , 
            2,      2.399177, , 
          2.2,      2.382833, , 
          2.4,      2.367368, , 
          2.6,      2.352736, , 
          2.8,      2.338887, , 
            3,      2.325804, , 
          3.2,      2.313468, , 
          3.4,       2.30186, , 
          3.6,      2.290917, , 
          3.8,      2.280587, , 
            4,      2.270848, , 
          4.2,      2.261683, , 
          4.4,      2.253093, , 
          4.6,       2.24511, , 
          4.8,      2.237747, , 
            5,      2.230908, , 
          5.2,      2.224579, , 
          5.4,      2.218739, , 
          5.6,       2.21338, , 
          5.8,      2.208508, , 
            6,      2.204166, , 
          6.2,      2.200319, , 
          6.4,       2.19696, , 
          6.6,      2.194076, , 
          6.8,      2.191684, , 
            7,      2.189716, , 
          7.2,      2.188122, , 
          7.4,      2.186866, , 
          7.6,       2.18592, , 
          7.8,        2.1853, , 
            8,      2.184955, , 
          8.2,      2.184869, , 
          8.4,      2.185039, , 
          8.6,      2.185433, , 
          8.8,      2.186038, , 
            9,       2.18687, , 
          9.2,      2.187884, , 
          9.4,      2.189105, , 
          9.6,      2.190521, , 
          9.8,      2.192112, , 
           10,      2.193876, , 

