Alpha,T1-15.8 m/s-VLM2, , 
           -2,      2.118275, , 
         -1.8,      2.103582, , 
         -1.6,      2.089722, , 
         -1.4,      2.076647, , 
         -1.2,       2.06424, , 
           -1,      2.052556, , 
         -0.8,      2.041548, , 
         -0.6,      2.031079, , 
         -0.4,      2.021252, , 
         -0.2,      2.012092, , 
            0,      2.003611, , 
          0.2,      1.995704, , 
          0.4,      1.988347, , 
          0.6,       1.98156, , 
          0.8,      1.975417, , 
            1,       1.96975, , 
          1.2,       1.96456, , 
          1.4,      1.959832, , 
          1.6,      1.955567, , 
          1.8,      1.951746, , 
            2,      1.948357, , 
          2.2,      1.945356, , 
          2.4,      1.942747, , 
          2.6,      1.940574, , 
          2.8,      1.938795, , 
            3,      1.937368, , 
          3.2,       1.93633, , 
          3.4,      1.935675, , 
          3.6,      1.935307, , 
          3.8,      1.935294, , 
            4,       1.93567, , 
          4.2,      1.936371, , 
          4.4,      1.937402, , 
          4.6,      1.938796, , 
          4.8,      1.940486, , 
            5,      1.942583, , 
          5.2,      1.944907, , 
          5.4,       1.94759, , 
          5.6,      1.950603, , 
          5.8,      1.953916, , 
            6,      1.957546, , 
          6.2,      1.961435, , 
          6.4,      1.965629, , 
          6.6,      1.970085, , 
          6.8,      1.974784, , 
            7,      1.979742, , 

