Alpha,T1-15.8 m/s-VLM2, , 
           -3,      5.497593, , 
         -2.8,      5.455135, , 
         -2.6,      5.416297, , 
         -2.4,      5.380932, , 
         -2.2,      5.348966, , 
           -2,      5.320349, , 
         -1.8,      5.294956, , 
         -1.6,      5.272818, , 
         -1.4,      5.253867, , 
         -1.2,      5.238009, , 
           -1,      5.225218, , 
         -0.8,      5.215464, , 
         -0.6,      5.208641, , 
         -0.4,      5.204666, , 
         -0.2,      5.203395, , 
            0,      5.204695, , 
          0.2,      5.208398, , 
          0.4,      5.214439, , 
          0.6,      5.222598, , 
          0.8,      5.232666, , 
            1,      5.244525, , 
          1.2,      5.258097, , 
          1.4,      5.273293, , 
          1.6,      5.290083, , 
          1.8,      5.308401, , 
            2,      5.328202, , 
          2.2,       5.34951, , 
          2.4,      5.372325, , 
          2.6,      5.396648, , 
          2.8,      5.422487, , 
            3,      5.449844, , 
          3.2,      5.478775, , 
          3.4,      5.509311, , 
          3.6,      5.541457, , 
          3.8,      5.575481, , 
            4,      5.611419, , 
          4.2,      5.649388, , 
          4.4,      5.689704, , 
          4.6,      5.732824, , 
          4.8,      5.779141, , 
            5,      5.829596, , 
          5.2,      5.885873, , 
          5.4,      5.950907, , 
          5.6,       6.07779, , 

