Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.6571375, , 
         -0.8,     0.6574568, , 
         -0.6,      0.657733, , 
         -0.4,     0.6579731, , 
         -0.2,     0.6581824, , 
            0,     0.6583655, , 
          0.2,     0.6585261, , 
          0.4,     0.6586674, , 
          0.6,     0.6587918, , 
          0.8,     0.6589016, , 
            1,     0.6589986, , 
          1.2,     0.6590845, , 
          1.4,     0.6591605, , 
          1.6,     0.6592279, , 
          1.8,     0.6592877, , 
            2,     0.6593409, , 
          2.2,     0.6593881, , 
          2.4,       0.65943, , 
          2.6,     0.6594674, , 
          2.8,     0.6595007, , 
            3,     0.6595304, , 
          3.2,      0.659557, , 
          3.4,     0.6595809, , 
          3.6,     0.6596023, , 
          3.8,     0.6596217, , 
            4,     0.6596392, , 
          4.2,     0.6596553, , 
          4.4,       0.65967, , 
          4.6,     0.6596836, , 
          4.8,     0.6596964, , 
            5,     0.6597085, , 
          5.2,     0.6597201, , 
          5.4,     0.6597313, , 

