Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, ,            -3,      0.841685, , 
         -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, ,          -2.8,     0.8566507, , 
         -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, ,          -2.6,     0.8715985, , 
         -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, ,          -2.4,     0.8865279, , 
         -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, ,          -2.2,     0.9014384, , 
           -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, ,            -2,     0.9163299, , 
         -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, ,          -1.8,     0.9312017, , 
         -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, ,          -1.6,     0.9460535, , 
         -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, ,          -1.4,      0.960885, , 
         -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, ,          -1.2,     0.9756957, , 
