Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      7.231971, ,            -1,      7.115328, ,            -1,      7.090197, ,            -1,      8.186929, ,            -1,      7.667856, , 
         -0.8,      7.210735, ,          -0.8,      7.092122, ,          -0.8,      7.066398, ,          -0.8,      8.180956, ,          -0.8,      7.655921, , 
         -0.6,      7.192415, ,          -0.6,      7.071482, ,          -0.6,      7.045324, ,          -0.6,      8.178242, ,          -0.6,      7.647098, , 
         -0.4,      7.176996, ,          -0.4,      7.053354, ,          -0.4,       7.02673, ,          -0.4,      8.178719, ,          -0.4,      7.641307, , 
         -0.2,      7.164376, ,          -0.2,      7.037709, ,          -0.2,      7.010496, ,          -0.2,      8.182267, ,          -0.2,      7.638424, , 
            0,      7.154465, ,             0,      7.024611, ,             0,      6.996712, ,             0,      8.188811, ,             0,       7.63837, , 
          0.2,      7.147176, ,           0.2,      7.013813, ,           0.2,      6.985093, ,           0.2,      8.198235, ,           0.2,      7.640995, , 
          0.4,      7.142469, ,           0.4,      7.005263, ,           0.4,      6.975611, ,           0.4,      8.210449, ,           0.4,      7.646249, , 
          0.6,      7.140348, ,           0.6,      6.998989, ,           0.6,      6.968185, ,           0.6,      8.225394, ,           0.6,      7.654029, , 
          0.8,      7.140707, ,           0.8,      6.995118, ,           0.8,      6.962991, ,           0.8,      8.242958, ,           0.8,      7.664224, , 
            1,      7.143508, ,             1,      6.993891, ,             1,      6.960453, ,             1,      8.263094, ,             1,      7.676747, , 
          1.2,      7.148695, ,           1.2,      6.995291, ,           1.2,      6.960497, ,           1.2,       8.28575, ,           1.2,      7.691513, , 
          1.4,      7.156162, ,           1.4,       6.99937, ,           1.4,      6.963372, ,           1.4,      8.310921, ,           1.4,      7.708446, , 
          1.6,      7.165861, ,           1.6,      7.006145, ,           1.6,      6.969217, ,           1.6,      8.338606, ,           1.6,      7.727482, , 
          1.8,      7.177665, ,           1.8,      7.015428, ,           1.8,      6.977815, ,           1.8,      8.368752, ,           1.8,      7.748503, , 
            2,      7.191476, ,             2,      7.027111, ,             2,      6.988937, ,             2,      8.401365, ,             2,      7.771407, , 
          2.2,      7.207225, ,           2.2,      7.041049, ,           2.2,      7.002472, ,           2.2,      8.436519, ,           2.2,      7.796171, , 
          2.4,      7.224772, ,           2.4,      7.057014, ,           2.4,      7.018067, ,           2.4,      8.474185, ,           2.4,      7.822716, , 
          2.6,      7.244014, ,           2.6,      7.074841, ,           2.6,      7.035556, ,           2.6,      8.514367, ,           2.6,      7.851002, , 
          2.8,      7.264861, ,           2.8,      7.094363, ,           2.8,      7.054765, ,           2.8,      8.557221, ,           2.8,      7.881035, , 
            3,      7.287213, ,             3,      7.115454, ,             3,      7.075532, ,             3,      8.602798, ,             3,      7.912797, , 
          3.2,      7.310962, ,           3.2,      7.137941, ,           3.2,      7.097721, ,           3.2,      8.651123, ,           3.2,      7.946258, , 
          3.4,      7.336021, ,           3.4,      7.161713, ,           3.4,      7.121223, ,           3.4,      8.702462, ,           3.4,      7.981379, , 
          3.6,      7.362316, ,           3.6,      7.186706, ,           3.6,      7.145946, ,           3.6,      8.757088, ,           3.6,      8.018187, , 
          3.8,      7.389799, ,           3.8,       7.21283, ,           3.8,      7.171782, ,           3.8,      8.815256, ,           3.8,       8.05671, , 
            4,      7.418435, ,             4,      7.240039, ,             4,      7.198681, ,             4,      8.877254, ,             4,      8.096948, , 
          4.2,      7.448151, ,           4.2,      7.268242, ,           4.2,      7.226548, ,           4.2,      8.943354, ,           4.2,      8.138841, , 
          4.4,      7.478893, ,           4.4,      7.297382, ,           4.4,      7.255338, ,           4.4,      9.014132, ,           4.4,      8.182499, , 
          4.6,      7.510646, ,           4.6,      7.327398, ,           4.6,      7.285004, ,           4.6,       9.09022, ,           4.6,      8.227999, , 
          4.8,      7.543346, ,           4.8,      7.358186, ,           4.8,      7.315429, ,           4.8,      9.172086, ,           4.8,      8.275376, , 
            5,      7.576941, ,             5,      7.389728, ,             5,      7.346595, ,             5,       9.26071, ,             5,      8.324749, , 
          5.2,      7.611407, ,           5.2,      7.421999, ,           5.2,      7.378474, ,           5.2,      9.357093, ,           5.2,      8.376188, , 
          5.4,      7.646729, ,           5.4,      7.455022, ,           5.4,      7.411111, ,           5.4,      9.462102, ,           5.4,      8.429863, , 
          5.6,      7.682875, ,           5.6,       7.48878, ,           5.6,      7.444497, ,           5.6,      9.576239, ,           5.6,      8.485942, , 
