Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      5.247828, ,            -1,      5.294352, ,            -1,      5.112616, , 
         -0.8,      5.265021, ,          -0.8,      5.312418, ,          -0.8,      5.125503, , 
         -0.6,      5.280519, ,          -0.6,       5.32873, ,          -0.6,      5.136885, , 
         -0.4,       5.29435, ,          -0.4,      5.343295, ,          -0.4,      5.146753, , 
         -0.2,      5.306602, ,          -0.2,      5.356243, ,          -0.2,      5.155208, , 
            0,      5.317336, ,             0,      5.367522, ,             0,      5.162292, , 
          0.2,      5.326554, ,           0.2,      5.377744, ,           0.2,         5.168, , 
          0.4,      5.334371, ,           0.4,      5.386541, ,           0.4,       5.17244, , 
          0.6,      5.340798, ,           0.6,      5.393608, ,           0.6,      5.175623, , 
          0.8,      5.345893, ,           0.8,      5.398864, ,           0.8,      5.177583, , 
            1,      5.349713, ,             1,      5.403232, ,             1,      5.178371, , 
          1.2,      5.352313, ,           1.2,      5.406819, ,           1.2,      5.178037, , 
          1.4,      5.353729, ,           1.4,      5.409104, ,           1.4,      5.176602, , 
          1.6,      5.354023, ,           1.6,      5.409923, ,           1.6,      5.174111, , 
          1.8,      5.353252, ,           1.8,      5.409604, ,           1.8,      5.170614, , 
            2,      5.351426, ,             2,      5.408057, ,             2,       5.16612, , 
          2.2,      5.348601, ,           2.2,      5.405446, ,           2.2,       5.16068, , 
          2.4,      5.344857, ,           2.4,       5.40191, ,           2.4,      5.154359, , 
          2.6,      5.340166, ,           2.6,      5.397132, ,           2.6,      5.147138, , 
          2.8,      5.334618, ,           2.8,       5.39148, ,           2.8,      5.139096, , 
            3,      5.328234, ,             3,      5.385019, ,             3,       5.13026, , 
          3.2,      5.321022, ,           3.2,      5.378429, ,           3.2,       5.12065, , 
          3.4,      5.313042, ,           3.4,      5.371113, ,           3.4,      5.110319, , 
          3.6,      5.304338, ,           3.6,      5.363118, ,           3.6,      5.099301, , 
          3.8,      5.294913, ,           3.8,      5.354265, ,           3.8,        5.0876, , 
            4,      5.284809, ,             4,      5.344742, ,             4,      5.075266, , 
          4.2,      5.274038, ,           4.2,      5.334614, ,           4.2,      5.062332, , 
          4.4,      5.262612, ,           4.4,      5.323855, ,           4.4,      5.048812, , 
          4.6,      5.250589, ,           4.6,        5.3125, ,           4.6,      5.034754, , 
          4.8,      5.237977, ,           4.8,      5.300571, ,           4.8,      5.020169, , 
            5,      5.224806, ,             5,      5.288073, ,             5,      5.005094, , 
          5.2,      5.211102, ,           5.2,      5.275054, ,           5.2,      4.989558, , 
          5.4,      5.196887, ,           5.4,      5.261578, ,           5.4,      4.973585, , 
          5.6,      5.182169, ,           5.6,       5.24765, ,           5.6,      4.957193, , 
          5.8,       5.16697, ,           5.8,      5.233277, ,           5.8,      4.940412, , 
            6,      5.151315, ,             6,      5.218448, ,             6,      4.923268, , 
          6.2,      5.135235, ,           6.2,      5.203158, ,           6.2,      4.905789, , 
          6.4,      5.118735, ,           6.4,      5.187424, ,           6.4,      4.887985, , 
          6.6,      5.101847, ,           6.6,      5.171238, ,           6.6,      4.869891, , 
          6.8,      5.084593, ,           6.8,      5.154609, ,           6.8,       4.85153, , 
            7,      5.066991, ,             7,      5.137533, ,             7,      4.832911, , 
          7.2,      5.049071, ,           7.2,      5.120026, ,           7.2,      4.814058, , 
          7.4,      5.030853, ,           7.4,      5.102116, ,           7.4,       4.79499, , 
          7.6,       5.01235, ,           7.6,       5.08383, ,           7.6,       4.77572, , 
          7.8,      4.993601, ,           7.8,      5.065218, ,           7.8,      4.756285, , 
            8,      4.974627, ,             8,      5.046315, ,             8,      4.736705, , 
          8.2,       4.95544, ,           8.2,      5.027137, ,           8.2,       4.71698, , 
          8.4,      4.936056, ,           8.4,      5.007702, ,           8.4,      4.697121, , 
          8.6,      4.916512, ,           8.6,      4.988049, ,           8.6,      4.677149, , 
          8.8,      4.896823, ,           8.8,      4.968213, ,           8.8,      4.657073, , 
            9,      4.877018, ,             9,      4.948231, ,             9,      4.636914, , 
          9.2,      4.857099, ,           9.2,      4.928102, ,           9.2,      4.616666, , 
          9.4,      4.837091, ,           9.4,      4.907871, ,           9.4,      4.596344, , 
          9.6,      4.817013, ,           9.6,      4.887567, ,           9.6,      4.575957, , 
          9.8,      4.796875, ,           9.8,       4.86721, ,           9.8,      4.555515, , 
           10,      4.776684, ,            10,      4.846802, ,            10,      4.535025, , 
         10.2,      4.756469, ,          10.2,      4.826366, ,          10.2,      4.514502, , 
         10.4,       4.73624, ,          10.4,      4.805908, ,          10.4,      4.493951, , 
         10.6,      4.716002, ,          10.6,      4.785423, ,          10.6,      4.473368, , 
         10.8,      4.695767, ,          10.8,      4.764939, ,          10.8,      4.452757, , 
           11,      4.675546, ,            11,      4.744475, ,            11,      4.432133, , 
         11.2,      4.655343, ,          11.2,      4.724035, ,          11.2,      4.411506, , 
         11.4,      4.635173, ,          11.4,      4.703638, ,          11.4,      4.390888, , 
         11.6,      4.615044, ,          11.6,      4.683294, ,          11.6,      4.370267, , 
         11.8,      4.594955, ,          11.8,      4.663008, ,          11.8,      4.349638, , 
           12,      4.574916, ,            12,      4.642783, ,            12,      4.329012, , 

