Alpha,T1-15.8 m/s-VLM2, , 
           -3,     0.6640948, , 
         -2.8,      0.664165, , 
         -2.6,     0.6642243, , 
         -2.4,     0.6642736, , 
         -2.2,     0.6643135, , 
           -2,     0.6643447, , 
         -1.8,     0.6643679, , 
         -1.6,     0.6643835, , 
         -1.4,     0.6643923, , 
         -1.2,     0.6643945, , 
           -1,     0.6643907, , 
         -0.8,     0.6643814, , 
         -0.6,     0.6643669, , 
         -0.4,     0.6643476, , 
         -0.2,     0.6643239, , 
            0,     0.6642961, , 
          0.2,     0.6642645, , 
          0.4,     0.6642294, , 
          0.6,     0.6641911, , 
          0.8,     0.6641499, , 
            1,     0.6641059, , 
          1.2,     0.6640595, , 
          1.4,     0.6640108, , 
          1.6,     0.6639601, , 
          1.8,     0.6639075, , 
            2,     0.6638533, , 
          2.2,     0.6637976, , 
          2.4,     0.6637405, , 
          2.6,     0.6636824, , 
          2.8,     0.6636232, , 
            3,     0.6635631, , 
          3.2,     0.6635024, , 
          3.4,     0.6634411, , 
          3.6,     0.6633793, , 
          3.8,     0.6633172, , 
            4,     0.6632549, , 
          4.2,     0.6631926, , 
          4.4,     0.6631302, , 
          4.6,     0.6630679, , 
          4.8,     0.6630059, , 
            5,     0.6629442, , 
          5.2,     0.6628829, , 

