Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -3,     0.6542135, ,            -3,     0.6542135, ,            -3,     0.6542135, , 
         -2.8,     0.6542403, ,          -2.8,     0.6542403, ,          -2.8,     0.6542403, , 
         -2.6,     0.6542564, ,          -2.6,     0.6542564, ,          -2.6,     0.6542564, , 
         -2.4,     0.6542628, ,          -2.4,     0.6542628, ,          -2.4,     0.6542628, , 
         -2.2,     0.6542599, ,          -2.2,     0.6542599, ,          -2.2,     0.6542599, , 
           -2,     0.6542485, ,            -2,     0.6542485, ,            -2,     0.6542485, , 
         -1.8,      0.654229, ,          -1.8,      0.654229, ,          -1.8,      0.654229, , 
         -1.6,     0.6542021, ,          -1.6,     0.6542021, ,          -1.6,     0.6542021, , 
         -1.4,     0.6541683, ,          -1.4,     0.6541683, ,          -1.4,     0.6541683, , 
         -1.2,     0.6541278, ,          -1.2,     0.6541278, ,          -1.2,     0.6541278, , 
           -1,     0.6540814, ,            -1,     0.6540814, ,            -1,     0.6540814, , 
         -0.8,     0.6540292, ,          -0.8,     0.6540292, ,          -0.8,     0.6540292, , 
         -0.6,     0.6539717, ,          -0.6,     0.6539717, ,          -0.6,     0.6539717, , 
         -0.4,     0.6539092, ,          -0.4,     0.6539092, ,          -0.4,     0.6539092, , 
         -0.2,     0.6538421, ,          -0.2,     0.6538421, ,          -0.2,     0.6538421, , 
            0,     0.6537706, ,             0,     0.6537706, ,             0,     0.6537706, , 
          0.2,     0.6536951, ,           0.2,     0.6536951, ,           0.2,     0.6536951, , 
          0.4,     0.6536158, ,           0.4,     0.6536158, ,           0.4,     0.6536158, , 
          0.6,      0.653533, ,           0.6,      0.653533, ,           0.6,      0.653533, , 
          0.8,      0.653447, ,           0.8,      0.653447, ,           0.8,      0.653447, , 
            1,     0.6533578, ,             1,     0.6533578, ,             1,     0.6533578, , 
          1.2,     0.6532659, ,           1.2,     0.6532659, ,           1.2,     0.6532659, , 
          1.4,     0.6531713, ,           1.4,     0.6531713, ,           1.4,     0.6531713, , 
          1.6,     0.6530742, ,           1.6,     0.6530742, ,           1.6,     0.6530742, , 
          1.8,      0.652975, ,           1.8,      0.652975, ,           1.8,      0.652975, , 
            2,     0.6528736, ,             2,     0.6528736, ,             2,     0.6528736, , 
          2.2,     0.6527703, ,           2.2,     0.6527703, ,           2.2,     0.6527703, , 
          2.4,     0.6526652, ,           2.4,     0.6526652, ,           2.4,     0.6526652, , 
          2.6,     0.6525586, ,           2.6,     0.6525586, ,           2.6,     0.6525586, , 
          2.8,     0.6524504, ,           2.8,     0.6524504, ,           2.8,     0.6524504, , 
            3,      0.652341, ,             3,      0.652341, ,             3,      0.652341, , 
          3.2,     0.6522303, ,           3.2,     0.6522303, ,           3.2,     0.6522303, , 
          3.4,     0.6521186, ,           3.4,     0.6521186, ,           3.4,     0.6521186, , 
          3.6,     0.6520059, ,           3.6,     0.6520059, ,           3.6,     0.6520059, , 
          3.8,     0.6518923, ,           3.8,     0.6518923, ,           3.8,     0.6518923, , 
            4,     0.6517781, ,             4,     0.6517781, ,             4,     0.6517781, , 
          4.2,     0.6516631, ,           4.2,     0.6516631, ,           4.2,     0.6516631, , 
          4.4,     0.6515477, ,           4.4,     0.6515477, ,           4.4,     0.6515477, , 
          4.6,     0.6514319, ,           4.6,     0.6514319, ,           4.6,     0.6514319, , 
          4.8,     0.6513157, ,           4.8,     0.6513157, ,           4.8,     0.6513157, , 
            5,     0.6511992, ,             5,     0.6511992, ,             5,     0.6511992, , 
          5.2,     0.6510827, ,           5.2,     0.6510827, ,           5.2,     0.6510827, , 
          5.4,      0.650966, ,           5.4,      0.650966, ,           5.4,      0.650966, , 
          5.6,     0.6508494, ,           5.6,     0.6508494, ,           5.6,     0.6508494, , 

