Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -3,      5.313593, ,            -3,      5.147123, ,            -3,      5.063817, ,            -3,      5.024846, ,            -3,      4.999738, ,            -3,      4.990136, ,            -3,      6.567818, ,            -3,      6.143468, ,            -3,      5.609626, , 
         -2.8,      5.265971, ,          -2.8,      5.094036, ,          -2.8,      5.008624, ,          -2.8,      4.968816, ,          -2.8,      4.943182, ,          -2.8,      4.933379, ,          -2.8,      6.541758, ,          -2.8,       6.11057, ,          -2.8,       5.56862, , 
         -2.6,      5.222934, ,          -2.6,      5.045362, ,          -2.6,      4.957407, ,          -2.6,      4.916505, ,          -2.6,      4.890176, ,          -2.6,      4.880105, ,          -2.6,      6.521045, ,          -2.6,      6.082679, ,          -2.6,      5.532322, , 
         -2.4,      5.184279, ,          -2.4,      5.000943, ,          -2.4,      4.910246, ,          -2.4,      4.867953, ,          -2.4,      4.840653, ,          -2.4,       4.83019, ,          -2.4,      6.505486, ,          -2.4,      6.059575, ,          -2.4,      5.500514, , 
         -2.2,      5.149886, ,          -2.2,      4.960641, ,          -2.2,      4.866973, ,          -2.2,      4.823104, ,          -2.2,      4.794645, ,          -2.2,      4.783701, ,          -2.2,      6.494994, ,          -2.2,      6.041145, ,          -2.2,      5.473041, , 
           -2,      5.119565, ,            -2,      4.924355, ,            -2,      4.827424, ,            -2,      4.781665, ,            -2,      4.751718, ,            -2,      4.740133, ,            -2,      6.489429, ,            -2,      6.027158, ,            -2,      5.449693, , 
         -1.8,      5.093207, ,          -1.8,      4.892108, ,          -1.8,      4.791708, ,          -1.8,      4.743712, ,          -1.8,      4.711835, ,          -1.8,      4.699375, ,          -1.8,      6.488778, ,          -1.8,      6.017547, ,          -1.8,      5.430362, , 
         -1.6,      5.070647, ,          -1.6,       4.86378, ,          -1.6,      4.760006, ,          -1.6,       4.70962, ,          -1.6,      4.675491, ,          -1.6,      4.661959, ,          -1.6,      6.492942, ,          -1.6,      6.012129, ,          -1.6,      5.414807, , 
         -1.4,      5.051713, ,          -1.4,      4.839267, ,          -1.4,      4.732384, ,          -1.4,      4.679815, ,          -1.4,      4.643593, ,          -1.4,      4.629056, ,          -1.4,      6.501927, ,          -1.4,      6.010744, ,          -1.4,      5.402855, , 
         -1.2,      5.036267, ,          -1.2,      4.818451, ,          -1.2,       4.70883, ,          -1.2,      4.654406, ,          -1.2,       4.61649, ,          -1.2,      4.601158, ,          -1.2,      6.516028, ,          -1.2,      6.013499, ,          -1.2,      5.394416, , 
           -1,      5.024104, ,            -1,      4.801154, ,            -1,      4.689205, ,            -1,      4.633374, ,            -1,      4.594292, ,            -1,      4.578441, ,            -1,      6.535299, ,            -1,      6.020337, ,            -1,      5.389307, , 
