Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      6.728124, ,            -1,      6.835006, ,            -1,       4.93084, ,            -1,      6.895028, ,            -1,      6.920787, ,            -1,       6.94748, ,            -1,      6.957151, ,            -1,      6.961718, ,            -1,      5.340092, ,            -1,      6.178983, ,            -1,      6.564483, , 
         -0.8,      6.744769, ,          -0.8,      6.854885, ,          -0.8,      4.938664, ,          -0.8,      6.916096, ,          -0.8,      6.942642, ,          -0.8,      6.969938, ,          -0.8,      6.979096, ,          -0.8,        6.9834, ,          -0.8,      5.347989, ,          -0.8,      6.187062, ,          -0.8,       6.57769, , 
         -0.6,      6.759006, ,          -0.6,      6.872335, ,          -0.6,      4.944547, ,          -0.6,      6.934721, ,          -0.6,      6.961716, ,          -0.6,      6.989273, ,          -0.6,      6.998328, ,          -0.6,      7.002506, ,          -0.6,      5.353852, ,          -0.6,      6.192938, ,          -0.6,      6.588517, , 
         -0.4,       6.77092, ,          -0.4,      6.887459, ,          -0.4,      4.948404, ,          -0.4,      6.951013, ,          -0.4,      6.978406, ,          -0.4,      7.006166, ,          -0.4,      7.015155, ,          -0.4,      7.019222, ,          -0.4,      5.357639, ,          -0.4,      6.196686, ,          -0.4,      6.597042, , 
         -0.2,      6.780537, ,          -0.2,      6.900298, ,          -0.2,      4.950393, ,          -0.2,      6.965053, ,          -0.2,       6.99279, ,          -0.2,      7.020585, ,          -0.2,      7.029463, ,          -0.2,      7.033669, ,          -0.2,      5.359481, ,          -0.2,      6.198355, ,          -0.2,       6.60332, , 
            0,      6.787899, ,             0,       6.91091, ,             0,      4.950614, ,             0,      6.976893, ,             0,      7.004976, ,             0,      7.032699, ,             0,      7.041415, ,             0,      7.045633, ,             0,      5.359466, ,             0,      6.198008, ,             0,      6.607421, , 
          0.2,      6.793104, ,           0.2,      6.919384, ,           0.2,      4.948916, ,           0.2,      6.986619, ,           0.2,      7.015015, ,           0.2,      7.042443, ,           0.2,      7.050873, ,           0.2,      7.055097, ,           0.2,      5.357513, ,           0.2,      6.195738, ,           0.2,      6.609434, , 
          0.4,      6.796209, ,           0.4,      6.925791, ,           0.4,      4.945414, ,           0.4,      6.994309, ,           0.4,      7.022977, ,           0.4,      7.049834, ,           0.4,       7.05784, ,           0.4,      7.062068, ,           0.4,       5.35372, ,           0.4,      6.191597, ,           0.4,      6.609416, , 
          0.6,      6.797273, ,           0.6,       6.93018, ,           0.6,       4.94013, ,           0.6,      7.000052, ,           0.6,      7.029037, ,           0.6,      7.055759, ,           0.6,      7.063709, ,           0.6,      7.068018, ,           0.6,      5.348122, ,           0.6,       6.18565, ,           0.6,      6.607434, , 
          0.8,      6.796337, ,           0.8,      6.932538, ,           0.8,       4.93306, ,           0.8,      7.003909, ,           0.8,      7.033315, ,           0.8,      7.060936, ,           0.8,      7.069692, ,           0.8,      7.074261, ,           0.8,      5.340731, ,           0.8,      6.177953, ,           0.8,      6.603546, , 
            1,      6.793493, ,             1,      6.932948, ,             1,      4.924299, ,             1,      7.005868, ,             1,      7.035803, ,             1,      7.064415, ,             1,      7.074001, ,             1,      7.078841, ,             1,      5.331642, ,             1,      6.168592, ,             1,      6.597842, , 
          1.2,      6.788803, ,           1.2,      6.931478, ,           1.2,      4.914007, ,           1.2,      7.005958, ,           1.2,      7.036554, ,           1.2,      7.065926, ,           1.2,      7.075838, ,           1.2,      7.080806, ,           1.2,      5.320989, ,           1.2,      6.157638, ,           1.2,      6.590393, , 
          1.4,      6.782325, ,           1.4,      6.928185, ,           1.4,      4.902182, ,           1.4,      7.004274, ,           1.4,      7.035593, ,           1.4,      7.065748, ,           1.4,      7.075941, ,           1.4,      7.081024, ,           1.4,      5.308786, ,           1.4,      6.145142, ,           1.4,       6.58126, , 
          1.6,      6.774124, ,           1.6,      6.923097, ,           1.6,      4.888871, ,           1.6,      7.000871, ,           1.6,       7.03298, ,           1.6,      7.064005, ,           1.6,      7.074494, ,           1.6,      7.079688, ,           1.6,      5.295088, ,           1.6,      6.131177, ,           1.6,      6.570511, , 
          1.8,      6.764255, ,           1.8,      6.916247, ,           1.8,      4.874116, ,           1.8,      6.995755, ,           1.8,      7.028762, ,           1.8,      7.060778, ,           1.8,      7.071603, ,           1.8,      7.076912, ,           1.8,      5.279937, ,           1.8,      6.115785, ,           1.8,      6.558202, , 
            2,      6.752809, ,             2,      6.907688, ,             2,      4.858025, ,             2,       6.98894, ,             2,      7.022901, ,             2,      7.056081, ,             2,      7.067328, ,             2,      7.072806, ,             2,      5.263438, ,             2,      6.099058, ,             2,       6.54443, , 
          2.2,      6.739818, ,           2.2,      6.897447, ,           2.2,      4.840778, ,           2.2,      6.980362, ,           2.2,      7.015319, ,           2.2,      7.049785, ,           2.2,      7.061517, ,           2.2,      7.067202, ,           2.2,      5.245729, ,           2.2,      6.081032, ,           2.2,      6.529245, , 
          2.4,      6.725384, ,           2.4,      6.885619, ,           2.4,      4.822314, ,           2.4,      6.970052, ,           2.4,      7.005938, ,           2.4,      7.041659, ,           2.4,      7.053871, ,           2.4,      7.059781, ,           2.4,      5.226791, ,           2.4,      6.061792, ,           2.4,      6.512739, , 
          2.6,      6.709554, ,           2.6,      6.872233, ,           2.6,      4.802697, ,           2.6,      6.958043, ,           2.6,      6.994756, ,           2.6,      7.031501, ,           2.6,      7.044057, ,           2.6,      7.050354, ,           2.6,      5.206681, ,           2.6,      6.041373, ,           2.6,      6.494959, , 
          2.8,      6.692429, ,           2.8,      6.857369, ,           2.8,      4.781967, ,           2.8,      6.944398, ,           2.8,      6.981832, ,           2.8,      7.019435, ,           2.8,       7.03226, ,           2.8,      7.038749, ,           2.8,      5.185435, ,           2.8,      6.019811, ,           2.8,      6.475996, , 
            3,      6.674069, ,             3,      6.841099, ,             3,      4.760267, ,             3,      6.929161, ,             3,      6.967183, ,             3,      7.005382, ,             3,      7.018345, ,             3,      7.024959, ,             3,      5.163172, ,             3,      5.997152, ,             3,      6.455905, , 
          3.2,      6.654544, ,           3.2,      6.823486, ,           3.2,      4.737733, ,           3.2,      6.912392, ,           3.2,      6.950859, ,           3.2,      6.989449, ,           3.2,      7.002457, ,           3.2,      7.009149, ,           3.2,      5.139993, ,           3.2,      5.973419, ,           3.2,      6.434752, , 
          3.4,      6.633925, ,           3.4,      6.804606, ,           3.4,      4.714384, ,           3.4,      6.894173, ,           3.4,      6.932951, ,           3.4,      6.971792, ,           3.4,      6.984822, ,           3.4,      6.991558, ,           3.4,      5.115918, ,           3.4,      5.948627, ,           3.4,      6.412597, , 
          3.6,      6.612281, ,           3.6,      6.784548, ,           3.6,      4.690955, ,           3.6,      6.874602, ,           3.6,      6.913598, ,           3.6,      6.952693, ,           3.6,      6.965816, ,           3.6,      6.972599, ,           3.6,      5.091489, ,           3.6,      5.922821, ,           3.6,      6.389527, , 
          3.8,      6.589693, ,           3.8,       6.76342, ,           3.8,      4.666624, ,           3.8,      6.853812, ,           3.8,      6.892922, ,           3.8,      6.932175, ,           3.8,      6.945361, ,           3.8,      6.952175, ,           3.8,      5.066129, ,           3.8,      5.896055, ,           3.8,      6.365602, , 
            4,      6.566209, ,             4,      6.741276, ,             4,      4.641337, ,             4,      6.831897, ,             4,      6.871054, ,             4,      6.910374, ,             4,      6.923594, ,             4,       6.93042, ,             4,      5.039798, ,             4,      5.868334, ,             4,      6.340856, , 
          4.2,      6.541928, ,           4.2,      6.718203, ,           4.2,      4.615605, ,           4.2,      6.808969, ,           4.2,      6.848131, ,           4.2,      6.887492, ,           4.2,      6.900744, ,           4.2,       6.90758, ,           4.2,      5.012873, ,           4.2,      5.839683, ,           4.2,       6.31535, , 
