Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -3,      6.695554, ,            -3,      6.645263, ,            -3,      6.558769, ,            -3,      6.503135, ,            -3,      10.22812, ,            -3,      9.720229, ,            -3,      6.485156, ,            -3,       6.45425, ,            -3,      6.448953, ,            -3,      6.437697, ,            -3,      6.425954, ,            -3,      6.417732, ,            -3,      6.413227, ,            -3,      6.410146, ,            -3,      8.861367, ,            -3,      7.447491, ,            -3,      7.162805, ,            -3,       6.95533, ,            -3,      6.909223, , 
         -2.8,       6.64386, ,          -2.8,      6.592068, ,          -2.8,      6.503212, ,          -2.8,      6.446613, ,          -2.8,      10.17786, ,          -2.8,      9.671747, ,          -2.8,      6.428421, ,          -2.8,      6.397394, ,          -2.8,      6.392168, ,          -2.8,      6.381062, ,          -2.8,      6.368124, ,          -2.8,      6.358724, ,          -2.8,      6.353878, ,          -2.8,       6.35108, ,          -2.8,       8.81593, ,          -2.8,      7.406573, ,          -2.8,      7.118517, ,          -2.8,      6.908573, ,          -2.8,      6.861619, , 
         -2.6,      6.596649, ,          -2.6,      6.543295, ,          -2.6,      6.452036, ,          -2.6,      6.394456, ,          -2.6,      10.13559, ,          -2.6,      9.630686, ,          -2.6,      6.376043, ,          -2.6,      6.344803, ,          -2.6,      6.339601, ,          -2.6,      6.328546, ,          -2.6,       6.31481, ,          -2.6,      6.304637, ,          -2.6,      6.299589, ,          -2.6,      6.297031, ,          -2.6,      8.776928, ,          -2.6,      7.370479, ,          -2.6,      7.078965, ,          -2.6,      6.866488, ,          -2.6,      6.818655, , 
         -2.4,       6.55376, ,          -2.4,      6.498807, ,          -2.4,      6.405051, ,          -2.4,      6.346426, ,          -2.4,      10.10085, ,          -2.4,       9.59663, ,          -2.4,      6.327772, ,          -2.4,      6.296164, ,          -2.4,      6.290904, ,          -2.4,      6.279725, ,          -2.4,      6.265817, ,          -2.4,      6.255512, ,          -2.4,      6.250468, ,          -2.4,       6.24804, ,          -2.4,      8.744046, ,          -2.4,      7.339063, ,          -2.4,      7.044001, ,          -2.4,      6.828925, ,          -2.4,      6.780177, , 
         -2.2,      6.515044, ,          -2.2,      6.458424, ,          -2.2,      6.362063, ,          -2.2,      6.302295, ,          -2.2,      10.07346, ,          -2.2,      9.569404, ,          -2.2,       6.28337, ,          -2.2,      6.251347, ,          -2.2,      6.246024, ,          -2.2,      6.234711, ,          -2.2,      6.220693, ,          -2.2,      6.210318, ,          -2.2,      6.205337, ,          -2.2,      6.203122, ,          -2.2,      8.717107, ,          -2.2,      7.312138, ,          -2.2,      7.013413, ,          -2.2,      6.795653, ,          -2.2,      6.745972, , 
           -2,      6.480328, ,            -2,      6.421959, ,            -2,       6.32289, ,            -2,      6.261881, ,            -2,      10.05329, ,            -2,      9.548866, ,            -2,      6.242637, ,            -2,      6.210127, ,            -2,      6.204733, ,            -2,       6.19327, ,            -2,      6.179161, ,            -2,       6.16874, ,            -2,      6.163796, ,            -2,      6.161713, ,            -2,      8.695961, ,            -2,      7.289543, ,            -2,      6.987036, ,            -2,      6.766506, ,            -2,      6.715873, , 
         -1.8,       6.44946, ,          -1.8,      6.389289, ,          -1.8,      6.287376, ,          -1.8,      6.225028, ,          -1.8,      10.03994, ,          -1.8,      9.534666, ,          -1.8,      6.205439, ,          -1.8,      6.172382, ,          -1.8,      6.166902, ,          -1.8,      6.155255, ,          -1.8,      6.141053, ,          -1.8,       6.13059, ,          -1.8,      6.125676, ,          -1.8,      6.123703, ,          -1.8,      8.680318, ,          -1.8,      7.271084, ,          -1.8,      6.964686, ,          -1.8,      6.741305, ,          -1.8,      6.689704, , 
         -1.6,      6.422296, ,          -1.6,      6.360303, ,          -1.6,       6.25537, ,          -1.6,      6.191508, ,          -1.6,      10.03311, ,          -1.6,      9.526525, ,          -1.6,      6.171521, ,          -1.6,      6.137824, ,          -1.6,      6.132238, ,          -1.6,      6.120368, ,          -1.6,       6.10607, ,          -1.6,      6.095576, ,          -1.6,      6.090473, ,          -1.6,      6.088081, ,          -1.6,       8.66996, ,          -1.6,      7.256644, ,          -1.6,      6.946236, ,          -1.6,      6.719918, ,          -1.6,      6.667329, , 
         -1.4,       6.39871, ,          -1.4,      6.334852, ,          -1.4,      6.226865, ,          -1.4,      6.161298, ,          -1.4,      10.03219, ,          -1.4,      9.523922, ,          -1.4,      6.140803, ,          -1.4,      6.106271, ,          -1.4,      6.100552, ,          -1.4,      6.088398, ,          -1.4,      6.074021, ,          -1.4,      6.063527, ,          -1.4,      6.058357, ,          -1.4,      6.055806, ,          -1.4,      8.664504, ,          -1.4,      7.246057, ,          -1.4,      6.931525, ,          -1.4,      6.702187, ,          -1.4,      6.648599, , 
         -1.2,      6.378599, ,          -1.2,      6.312827, ,          -1.2,      6.201724, ,          -1.2,        6.1344, ,          -1.2,      10.03777, ,          -1.2,      9.527319, ,          -1.2,      6.113342, ,          -1.2,      6.077823, ,          -1.2,      6.071931, ,          -1.2,       6.05941, ,          -1.2,      6.044871, ,          -1.2,      6.034319, ,          -1.2,      6.029043, ,          -1.2,       6.02629, ,          -1.2,      8.664197, ,          -1.2,      7.239229, ,          -1.2,      6.920442, ,          -1.2,      6.687988, ,          -1.2,      6.633392, , 
           -1,      6.361804, ,            -1,      6.294107, ,            -1,      6.179811, ,            -1,      6.110615, ,            -1,      10.04942, ,            -1,      9.536345, ,            -1,      6.088937, ,            -1,      6.052312, ,            -1,      6.046222, ,            -1,       6.03328, ,            -1,      6.018528, ,            -1,      6.007884, ,            -1,      6.002477, ,            -1,      5.999501, ,            -1,      8.668756, ,            -1,      7.236012, ,            -1,      6.912827, ,            -1,      6.677153, ,            -1,      6.621541, , 
         -0.8,       6.34825, ,          -0.8,      6.278644, ,          -0.8,      6.161096, ,          -0.8,      6.089897, ,          -0.8,      10.06722, ,          -0.8,       9.55104, ,          -0.8,      6.067527, ,          -0.8,      6.029627, ,          -0.8,      6.023298, ,          -0.8,      6.009849, ,          -0.8,      5.994449, ,          -0.8,      5.983321, ,          -0.8,      5.977667, ,          -0.8,      5.974554, ,          -0.8,      8.678168, ,          -0.8,       7.23631, ,          -0.8,      6.908596, ,          -0.8,      6.669607, ,          -0.8,      6.612969, , 
         -0.6,      6.337805, ,          -0.6,      6.266288, ,          -0.6,      6.145514, ,          -0.6,      6.072195, ,          -0.6,       10.0909, ,          -0.6,      9.571156, ,          -0.6,       6.04905, ,          -0.6,      6.009679, ,          -0.6,      6.003062, ,          -0.6,      5.989001, ,          -0.6,       5.97275, ,          -0.6,      5.960973, ,          -0.6,      5.954986, ,          -0.6,      5.951683, ,          -0.6,      8.692229, ,          -0.6,      7.239987, ,          -0.6,      6.907595, ,          -0.6,      6.665183, ,          -0.6,      6.607517, , 
         -0.4,      6.330384, ,          -0.4,      6.256969, ,          -0.4,      6.133049, ,          -0.4,      6.057656, ,          -0.4,      10.12023, ,          -0.4,      9.596502, ,          -0.4,      6.033691, ,          -0.4,      5.992693, ,          -0.4,      5.985744, ,          -0.4,      5.970977, ,          -0.4,      5.953668, ,          -0.4,      5.941068, ,          -0.4,      5.934644, ,          -0.4,      5.931066, ,          -0.4,      8.710799, ,          -0.4,      7.246981, ,          -0.4,      6.909744, ,          -0.4,      6.663787, ,          -0.4,      6.605091, , 
         -0.2,      6.325848, ,          -0.2,      6.250555, ,          -0.2,      6.123582, ,          -0.2,      6.046215, ,          -0.2,      10.15489, ,          -0.2,      9.626778, ,          -0.2,      6.021464, ,          -0.2,      5.978871, ,          -0.2,      5.971586, ,          -0.2,      5.956104, ,          -0.2,      5.937687, ,          -0.2,       5.92422, ,          -0.2,      5.917327, ,          -0.2,      5.913437, ,          -0.2,      8.733627, ,          -0.2,      7.257124, ,          -0.2,      6.914875, ,          -0.2,      6.665253, ,          -0.2,      6.605531, , 
