Alpha,T1-15.8 m/s-VLM2, , 
           -3,      9.501463, , 
         -2.8,      9.588952, , 
         -2.6,      9.670909, , 
         -2.4,      9.747328, , 
         -2.2,      9.818279, , 
           -2,      9.883647, , 
         -1.8,       9.94324, , 
         -1.6,       9.99718, , 
         -1.4,      10.04541, , 
         -1.2,      10.08783, , 
           -1,       10.1244, , 
         -0.8,       10.1551, , 
         -0.6,      10.18005, , 
         -0.4,      10.19931, , 
         -0.2,        10.213, , 
            0,      10.22148, , 
          0.2,      10.22493, , 
          0.4,      10.22369, , 
          0.6,      10.21803, , 
          0.8,      10.20831, , 
            1,       10.1949, , 
          1.2,      10.17802, , 
          1.4,      10.15799, , 
          1.6,      10.13504, , 
          1.8,      10.10929, , 
            2,      10.08098, , 
          2.2,      10.05025, , 
          2.4,      10.01725, , 
          2.6,      9.982152, , 
          2.8,      9.945132, , 
            3,      9.906229, , 
          3.2,      9.865617, , 
          3.4,      9.823328, , 
          3.6,      9.779565, , 
          3.8,      9.734425, , 
            4,      9.687979, , 
          4.2,      9.640143, , 
          4.4,      9.591017, , 
          4.6,       9.54055, , 
          4.8,      9.488801, , 
            5,      9.435655, , 
          5.2,      9.381042, , 
          5.4,      9.324839, , 
          5.6,      9.267022, , 
          5.8,      9.207443, , 
            6,      9.145696, , 
          6.2,      9.081526, , 
          6.4,      9.014613, , 

