Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, ,           0.6,     0.6547556, , 
          0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, ,           0.8,     0.6546746, , 
            1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, ,             1,     0.6545906, , 
          1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, ,           1.2,     0.6545037, , 
          1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, ,           1.4,     0.6544143, , 
          1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, ,           1.6,     0.6543224, , 
          1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, ,           1.8,     0.6542284, , 
            2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, ,             2,     0.6541323, , 
          2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, ,           2.2,     0.6540343, , 
          2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, ,           2.4,     0.6539347, , 
