Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, ,            -3,     0.7589984, , 
         -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, ,          -2.8,     0.7721594, , 
         -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, ,          -2.6,     0.7853026, , 
         -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, ,          -2.4,     0.7984277, , 
         -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, ,          -2.2,     0.8115342, , 
           -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, ,            -2,     0.8246217, , 
         -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, ,          -1.8,     0.8376898, , 
         -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, ,          -1.6,     0.8507382, , 
         -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, ,          -1.4,     0.8637664, , 
         -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, ,          -1.2,     0.8767741, , 
