Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, ,            -3,     0.6347511, , 
         -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, ,          -2.8,     0.6346952, , 
         -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, ,          -2.6,     0.6346296, , 
         -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, ,          -2.4,     0.6345547, , 
         -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, ,          -2.2,     0.6344713, , 
           -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, ,            -2,     0.6343798, , 
         -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, ,          -1.8,     0.6342806, , 
         -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, ,          -1.6,     0.6341743, , 
         -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, ,          -1.4,     0.6340611, , 
         -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, ,          -1.2,     0.6339416, , 
