Alpha,T1-15.8 m/s-VLM2, , 
           -2,      0.522343, , 
         -1.8,     0.5323761, , 
         -1.6,     0.5423935, , 
         -1.4,      0.552395, , 
         -1.2,       0.56238, , 
           -1,     0.5723484, , 
         -0.8,     0.5822997, , 
         -0.6,     0.5922336, , 
         -0.4,     0.6021497, , 
         -0.2,     0.6120477, , 
            0,     0.6219272, , 
          0.2,     0.6317879, , 
          0.4,     0.6416295, , 
          0.6,     0.6514516, , 
          0.8,     0.6612538, , 
            1,     0.6710358, , 
          1.2,     0.6807973, , 
          1.4,      0.690538, , 
          1.6,     0.7002575, , 
          1.8,     0.7099554, , 
            2,     0.7196315, , 
          2.2,     0.7292854, , 
          2.4,     0.7389167, , 
          2.6,     0.7485253, , 
          2.8,     0.7581106, , 
            3,     0.7676725, , 
          3.2,     0.7772105, , 
          3.4,     0.7867244, , 
          3.6,     0.7962139, , 
          3.8,     0.8056786, , 
            4,     0.8151182, , 
          4.2,     0.8245324, , 
          4.4,     0.8339209, , 
          4.6,     0.8432834, , 
          4.8,     0.8526196, , 
            5,     0.8619292, , 
          5.2,     0.8712119, , 
          5.4,     0.8804673, , 
          5.6,     0.8896952, , 
          5.8,     0.8988953, , 
            6,     0.9080673, , 
          6.2,     0.9172109, , 
          6.4,     0.9263258, , 
          6.6,     0.9354117, , 
          6.8,     0.9444684, , 
            7,     0.9534956, , 
          7.2,     0.9624929, , 
          7.4,     0.9714601, , 
          7.6,      0.980397, , 
          7.8,     0.9893033, , 
            8,     0.9981786, , 

