Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.6348407, ,            -1,     0.6348407, ,            -1,     0.6348407, , 
         -0.8,     0.6350544, ,          -0.8,     0.6350544, ,          -0.8,     0.6350544, , 
         -0.6,     0.6352331, ,          -0.6,     0.6352331, ,          -0.6,     0.6352331, , 
         -0.4,     0.6353823, ,          -0.4,     0.6353823, ,          -0.4,     0.6353823, , 
         -0.2,     0.6355064, ,          -0.2,     0.6355064, ,          -0.2,     0.6355064, , 
            0,     0.6356089, ,             0,     0.6356089, ,             0,     0.6356089, , 
          0.2,     0.6356928, ,           0.2,     0.6356928, ,           0.2,     0.6356928, , 
          0.4,     0.6357605, ,           0.4,     0.6357605, ,           0.4,     0.6357605, , 
          0.6,     0.6358141, ,           0.6,     0.6358141, ,           0.6,     0.6358141, , 
          0.8,     0.6358553, ,           0.8,     0.6358553, ,           0.8,     0.6358553, , 
            1,     0.6358855, ,             1,     0.6358855, ,             1,     0.6358855, , 
          1.2,     0.6359061, ,           1.2,     0.6359061, ,           1.2,     0.6359061, , 
          1.4,     0.6359181, ,           1.4,     0.6359181, ,           1.4,     0.6359181, , 
          1.6,     0.6359224, ,           1.6,     0.6359224, ,           1.6,     0.6359224, , 
          1.8,     0.6359198, ,           1.8,     0.6359198, ,           1.8,     0.6359198, , 
            2,      0.635911, ,             2,      0.635911, ,             2,      0.635911, , 
          2.2,     0.6358967, ,           2.2,     0.6358967, ,           2.2,     0.6358967, , 
          2.4,     0.6358773, ,           2.4,     0.6358773, ,           2.4,     0.6358773, , 
          2.6,     0.6358534, ,           2.6,     0.6358534, ,           2.6,     0.6358534, , 
          2.8,     0.6358253, ,           2.8,     0.6358253, ,           2.8,     0.6358253, , 
            3,     0.6357935, ,             3,     0.6357935, ,             3,     0.6357935, , 
          3.2,     0.6357582, ,           3.2,     0.6357582, ,           3.2,     0.6357582, , 
          3.4,     0.6357199, ,           3.4,     0.6357199, ,           3.4,     0.6357199, , 
          3.6,     0.6356786, ,           3.6,     0.6356786, ,           3.6,     0.6356786, , 
          3.8,     0.6356348, ,           3.8,     0.6356348, ,           3.8,     0.6356348, , 
            4,     0.6355886, ,             4,     0.6355886, ,             4,     0.6355886, , 
          4.2,     0.6355402, ,           4.2,     0.6355402, ,           4.2,     0.6355402, , 
          4.4,     0.6354898, ,           4.4,     0.6354898, ,           4.4,     0.6354898, , 
          4.6,     0.6354376, ,           4.6,     0.6354376, ,           4.6,     0.6354376, , 
          4.8,     0.6353837, ,           4.8,     0.6353837, ,           4.8,     0.6353837, , 
            5,     0.6353282, ,             5,     0.6353282, ,             5,     0.6353282, , 
          5.2,     0.6352714, ,           5.2,     0.6352714, ,           5.2,     0.6352714, , 
          5.4,     0.6352133, ,           5.4,     0.6352133, ,           5.4,     0.6352133, , 
          5.6,      0.635154, ,           5.6,      0.635154, ,           5.6,      0.635154, , 
          5.8,     0.6350936, ,           5.8,     0.6350936, ,           5.8,     0.6350936, , 
            6,     0.6350323, ,             6,     0.6350323, ,             6,     0.6350323, , 
          6.2,     0.6349702, ,           6.2,     0.6349702, ,           6.2,     0.6349702, , 
          6.4,     0.6349072, , , , ,           6.4,     0.6349072, , 

