Alpha,T1-15.8 m/s-VLM2, , 
           -1,      11.07395, , 
         -0.8,      11.34848, , 
         -0.6,      11.59265, , 
         -0.4,      11.80833, , 
         -0.2,      11.99752, , 
            0,      12.16224, , 
          0.2,      12.30279, , 
          0.4,       12.4211, , 
          0.6,      12.51784, , 
          0.8,      12.59569, , 
            1,      12.65454, , 
          1.2,       12.6972, , 
          1.4,      12.72407, , 
          1.6,      12.73698, , 
          1.8,      12.73732, , 
            2,      12.72654, , 
          2.2,      12.70572, , 
          2.4,      12.67533, , 
          2.6,      12.63633, , 
          2.8,      12.58949, , 
            3,      12.53558, , 
          3.2,      12.47528, , 
          3.4,      12.40916, , 
          3.6,      12.33772, , 
          3.8,      12.26152, , 
            4,      12.18077, , 
          4.2,      12.09561, , 
          4.4,      12.00573, , 
          4.6,      11.90754, , 
          4.8,      11.78658, , 
            5,      11.63511, , 
          5.2,      11.45695, , 
          5.4,      11.25353, , 
          5.6,      11.04909, , 
          5.8,      10.85934, , 
            6,      10.67439, , 
          6.2,       10.4865, , 
          6.4,      10.30559, , 
          6.6,      10.12106, , 
          6.8,      9.942577, , 
            7,      9.751071, , 
          7.2,      9.561436, , 
          7.4,      9.373081, , 
          7.6,      9.174717, , 
          7.8,      8.986514, , 
            8,      8.780982, , 
          8.2,      8.593416, , 
          8.4,      8.412036, , 
          8.6,      8.227734, , 
          8.8,       8.05373, , 

